tile_id,tile_type,focus_cell_id,cell_id,tmrt_raster,tmrt_time_label,tmrt_hour_sgt,aggregation_mask,n_pixels,tmrt_mean_c,tmrt_p10_c,tmrt_p90_c,tmrt_min_c,tmrt_max_c
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0026,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,45.05782699584961,43.44922637939453,46.508541107177734,33.509666442871094,46.602455139160156
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0027,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,46.45023727416992,46.32309341430664,46.58619689941406,46.01093673706055,46.629634857177734
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0028,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,46.42348098754883,46.249244689941406,46.58619689941406,45.558345794677734,46.629634857177734
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0029,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,43.145530700683594,34.637454986572266,46.32236862182617,33.30638885498047,46.544105529785156
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0055,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,39.43053436279297,33.07866287231445,45.9767951965332,32.84480667114258,46.23126220703125
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0056,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,41.33891677856445,33.53867721557617,46.11789321899414,32.791297912597656,46.35557556152344
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0057,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,43.245506286621094,34.05222702026367,46.247398376464844,33.04112243652344,46.39487838745117
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0058,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,41.915225982666016,33.68100357055664,45.796627044677734,32.823978424072266,46.078277587890625
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0084,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,38.244625091552734,33.126251220703125,44.08959197998047,32.8984375,45.61994552612305
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0085,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,35.500389099121094,32.791297912597656,43.0831298828125,32.791297912597656,44.25198745727539
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0086,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,41.79874038696289,33.32611083984375,45.996429443359375,32.791297912597656,46.34076690673828
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0087,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,44.54063415527344,35.500221252441406,46.311031341552734,33.963321685791016,46.477813720703125
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0113,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,36.32621765136719,32.791297912597656,44.2460823059082,32.791297912597656,45.683834075927734
T01_clean_hazard_top,clean_hazard_top,TP_0116,TP_0114,data\solweig\v09_tiles_overhead_aware\T01_clean_hazard_top\solweig_outputs\Tmrt_2026_127_1000D.tif,1000,10.0,open_pixels_dsm_le_0p5,2500,37.50086975097656,32.82704162597656,45.069366455078125,32.791297912597656,45.677703857421875
