cell_id,cell_area_m2,inter_area_m2,overhead_fraction_cell,covered_walkway,elevated_rail,elevated_road,pedestrian_bridge,viaduct,other_overhead,overhead_confounding_flag
TP_0570,10000.00000007476,777.6032622675804,0.0777603262261767,2,0,0,2,0,0,moderate_confounding
TP_0571,10000.000000026012,2829.959210926179,0.28299592109188176,0,0,3,3,2,0,major_confounding
TP_0572,9999.999999911961,1023.1362037654251,0.10231362037744327,3,0,3,3,1,0,major_confounding
TP_0573,10000.000000006366,101.47633887604403,0.010147633887597943,3,0,0,0,0,0,clean_or_minor
TP_0574,9999.999999958163,165.98283114540928,0.016598283114610368,0,0,2,0,0,0,clean_or_minor
TP_0575,10000.00000004984,4354.587374919209,0.43545873748975056,0,0,5,0,0,0,major_confounding
TP_0576,9999.999999930878,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0577,10000.000000084401,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0578,9999.99999996071,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0579,10000.00000005657,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0580,10000.000000002,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0581,10000.00000002783,2374.7387497666095,0.23747387497600006,0,0,0,0,4,0,major_confounding
TP_0582,10000.000000122964,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0583,9999.99999986303,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0584,10000.00000003165,310.9229967367437,0.031092299673575963,2,0,0,2,0,0,moderate_confounding
TP_0585,9999.999999983083,132.37331052485624,0.013237331052508017,1,0,0,0,0,0,clean_or_minor
TP_0586,10000.000000152613,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0587,9999.999999830288,1407.175786682218,0.14071757867060994,0,0,2,0,0,0,major_confounding
TP_0588,10000.000000143518,2804.4596349058875,0.2804459634865638,0,0,2,0,0,0,major_confounding
TP_0589,9999.999999952524,3013.944766085879,0.3013944766100188,0,0,3,0,1,0,major_confounding
