scenario,shade_new_mean,shade_new_std,delta_mean,delta_std,delta_max,delta_p95,n_cells_with_delta_gt_0p05,n_cells_with_delta_gt_0p10
low_opacity,0.49094917158602147,0.24240099686487512,0.025194034446990504,0.10845185710581302,1.0,0.09698091570852714,82,48
default,0.49592220393896697,0.24269305610525252,0.03016706679993602,0.11712666264341315,1.0,0.13132613396000847,100,64
high_opacity,0.4990799750745328,0.24302818948393715,0.03332483793550186,0.12228184516146738,1.0,0.1552807706152784,109,69
pedestrian_strong,0.49347455780147587,0.2423057293290782,0.027719420662444996,0.1117153840694525,1.0,0.10910936436273307,95,51
transport_strong,0.49798201387037355,0.2433467758507758,0.03222687673134262,0.12247006830610586,1.0,0.15191136190968318,102,70
