cell_id,cell_area_m2,overhead_area_total_m2,overhead_weighted_shade_area_m2,n_overhead_features,overhead_area_covered_walkway_m2,n_covered_walkway,overhead_area_elevated_rail_m2,n_elevated_rail,overhead_area_elevated_road_m2,n_elevated_road,overhead_area_pedestrian_bridge_m2,n_pedestrian_bridge,overhead_area_viaduct_m2,n_viaduct,overhead_fraction_total,overhead_shade_proxy,overhead_fraction_covered_walkway,overhead_fraction_elevated_rail,overhead_fraction_elevated_road,overhead_fraction_pedestrian_bridge,overhead_fraction_viaduct,pedestrian_shelter_fraction,transport_deck_fraction,overhead_confounding_flag,overhead_interpretation
TP_0001,9999.999999838656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0002,10000.000000078944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0003,10000.000000041473,70.29872248011179,63.26885023210061,1.0,70.29872248011179,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007029872247982024,0.006326885023183822,0.007029872247982024,0.0,0.0,0.0,0.0,0.007029872247982024,0.0,clean_or_minor,minor_or_none
TP_0004,10000.0,304.29269615863353,273.8634265427702,1.0,304.29269615863353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030429269615863352,0.02738634265427702,0.030429269615863352,0.0,0.0,0.0,0.0,0.030429269615863352,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0005,10000.000000020373,137.18399839674976,123.46559855707478,2.0,137.18399839674976,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013718399839647028,0.012346559855682325,0.013718399839647028,0.0,0.0,0.0,0.0,0.013718399839647028,0.0,clean_or_minor,minor_or_none
TP_0006,9999.999999900137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0007,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0008,10000.00000002492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0009,9999.99999997708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0010,10000.000000004366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0011,10000.00000002583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0012,9999.999999973443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0013,9999.999999927786,102.3598725948247,92.12388533534222,1.0,102.3598725948247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010235987259556387,0.009212388533600749,0.010235987259556387,0.0,0.0,0.0,0.0,0.010235987259556387,0.0,clean_or_minor,minor_or_none
TP_0014,10000.000000233194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0015,9999.999999758438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0016,10000.000000065484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0017,10000.000000085493,786.5988922779646,596.5938625275498,5.0,0.0,0.0,0.0,0.0,465.1285323352081,2.0,132.89386638152794,2.0,188.5764935612286,1.0,0.07865988922712398,0.05965938625224494,0.0,0.0,0.04651285323312316,0.01328938663803918,0.018857649355961643,0.01328938663803918,0.0653705025890848,moderate_confounding,transport_deck_or_viaduct
TP_0018,9999.999999965803,441.1559845555251,393.78332068386715,4.0,418.8125471306276,2.0,0.0,0.0,20.454433472314342,1.0,1.8890039525831597,1.0,0.0,0.0,0.04411559845570337,0.03937833206852138,0.04188125471320598,0.0,0.002045443347238429,0.00018890039525896194,0.0,0.04207015510846494,0.002045443347238429,moderate_confounding,pedestrian_shelter_shade
TP_0019,9999.999999988358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0020,9999.999999934153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0021,10000.000000021464,172.6119656424318,155.35076907818865,1.0,172.6119656424318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017261196564206133,0.01553507690778552,0.017261196564206133,0.0,0.0,0.0,0.0,0.017261196564206133,0.0,clean_or_minor,minor_or_none
TP_0022,9999.99999997508,331.379198085042,298.2412782765378,1.0,331.379198085042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03313791980858678,0.029824127827728104,0.03313791980858678,0.0,0.0,0.0,0.0,0.03313791980858678,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0023,10000.000000064938,410.14540201856283,369.13086181670656,3.0,410.14540201856283,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04101454020158994,0.03691308618143095,0.04101454020158994,0.0,0.0,0.0,0.0,0.04101454020158994,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0024,9999.999999937063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0025,10000.000000027467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0026,10000.000000119871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0027,9999.999999860665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0028,10000.000000014734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0029,10000.00000002674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0030,9999.999999880856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0031,10000.00000004602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0032,9999.99999999327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0033,10000.000000018372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0034,9999.9999999789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0035,9999.99999993579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0036,10000.000000033833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0037,10000.000000058753,2178.8816348543,1960.9934713688701,2.0,2178.8816348543,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21788816348414983,0.19609934713573487,0.21788816348414983,0.0,0.0,0.0,0.0,0.21788816348414983,0.0,major_confounding,pedestrian_shelter_shade
TP_0038,10000.000000004366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0039,9999.999999961074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0040,9999.999999992178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0041,10000.000000012005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0042,10000.000000034925,60.70500904815108,54.63450814333597,1.0,60.70500904815108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006070500904793907,0.005463450814314516,0.006070500904793907,0.0,0.0,0.0,0.0,0.006070500904793907,0.0,clean_or_minor,minor_or_none
TP_0043,9999.999999990905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0044,9999.999999939791,269.64567422321693,205.23031871433662,2.0,0.0,0.0,0.0,0.0,209.72441328473903,1.0,59.92126093847793,1.0,0.0,0.0,0.026964567422484043,0.02052303187155723,0.0,0.0,0.020972441328600176,0.005992126093883871,0.0,0.005992126093883871,0.020972441328600176,moderate_confounding,transport_deck_or_viaduct
TP_0045,10000.000000028194,353.19536303519925,317.87582673167935,4.0,353.19536303519925,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03531953630342034,0.03178758267307831,0.03531953630342034,0.0,0.0,0.0,0.0,0.03531953630342034,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0046,10000.00000011878,350.3664762428319,315.3298286185487,4.0,350.3664762428319,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035036647623867025,0.03153298286148032,0.035036647623867025,0.0,0.0,0.0,0.0,0.035036647623867025,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0047,9999.999999852298,97.5749421281381,87.8174479153243,1.0,97.5749421281381,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009757494212957931,0.008781744791662138,0.009757494212957931,0.0,0.0,0.0,0.0,0.009757494212957931,0.0,clean_or_minor,minor_or_none
TP_0048,10000.00000001346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0049,10000.000000038744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0050,9999.999999987813,205.71959393540976,185.1476345418688,2.0,205.71959393540976,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02057195939356605,0.018514763454209444,0.02057195939356605,0.0,0.0,0.0,0.0,0.02057195939356605,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0051,10000.00000001055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0052,9999.999999964348,583.9299510953718,525.5369559858347,5.0,583.9299510953718,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05839299510974537,0.05255369559877083,0.05839299510974537,0.0,0.0,0.0,0.0,0.05839299510974537,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0053,9999.999999981446,306.2968601409727,275.6671741268754,5.0,306.2968601409727,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030629686014154098,0.027566717412738688,0.030629686014154098,0.0,0.0,0.0,0.0,0.030629686014154098,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0054,10000.00000006712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0055,10000.000000080763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0056,9999.99999988322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0057,10000.00000011496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0058,9999.999999920328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0059,9999.999999967986,1098.7556470927238,824.0667353195429,3.0,0.0,0.0,0.0,0.0,1098.7556470927238,3.0,0.0,0.0,0.0,0.0,0.10987556470962415,0.0824066735322181,0.0,0.0,0.10987556470962415,0.0,0.0,0.0,0.10987556470962415,major_confounding,transport_deck_or_viaduct
TP_0060,9999.999999998181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0061,10000.00000003256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0062,9999.999999989268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0063,10000.00000000764,149.80654812379348,134.82589331141412,2.0,149.80654812379348,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014980654812367903,0.013482589331131112,0.014980654812367903,0.0,0.0,0.0,0.0,0.014980654812367903,0.0,clean_or_minor,minor_or_none
TP_0064,9999.99999996453,420.45616201153416,378.4105458103808,3.0,420.45616201153416,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04204561620130255,0.037841054581172304,0.04204561620130255,0.0,0.0,0.0,0.0,0.04204561620130255,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0065,10000.000000062028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0066,9999.99999994343,144.6622946066724,130.19606514600517,1.0,144.6622946066724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014466229460749075,0.01301960651467417,0.014466229460749075,0.0,0.0,0.0,0.0,0.014466229460749075,0.0,clean_or_minor,minor_or_none
TP_0067,10000.00000018481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0068,9999.999999849388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0069,10000.000000011278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0070,9999.99999997035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0071,10000.000000061664,349.1303875231869,265.7270171704243,4.0,0.0,0.0,0.0,0.0,271.545856962505,2.0,77.58453056068191,2.0,0.0,0.0,0.03491303875210341,0.02657270171687857,0.0,0.0,0.027154585696083058,0.00775845305602035,0.0,0.00775845305602035,0.027154585696083058,moderate_confounding,transport_deck_or_viaduct
TP_0072,9999.99999986885,156.66843901340172,141.00159511206158,2.0,156.66843901340172,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01566684390154564,0.01410015951139108,0.01566684390154564,0.0,0.0,0.0,0.0,0.01566684390154564,0.0,clean_or_minor,minor_or_none
TP_0073,10000.000000033288,197.33758642300012,177.6038277807001,5.0,197.33758642300012,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019733758642234322,0.01776038277801089,0.019733758642234322,0.0,0.0,0.0,0.0,0.019733758642234322,0.0,clean_or_minor,minor_or_none
TP_0074,10000.000000060027,629.324159903386,566.3917439130474,8.0,629.324159903386,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06293241598996084,0.056639174390964754,0.06293241598996084,0.0,0.0,0.0,0.0,0.06293241598996084,0.0,moderate_confounding,pedestrian_shelter_shade
