cell_id,shade_base,open_pixel_fraction_v10,shade_new__low_opacity,delta__low_opacity,shade_new__default,delta__default,shade_new__high_opacity,delta__high_opacity,shade_new__pedestrian_strong,delta__pedestrian_strong,shade_new__transport_strong,delta__transport_strong
TP_0120,0.0586688894588355,0.8565936178392926,0.05866888945883553,2.7755575615628914e-17,0.05866888945883553,2.7755575615628914e-17,0.05866888945883553,2.7755575615628914e-17,0.05866888945883553,2.7755575615628914e-17,0.05866888945883553,2.7755575615628914e-17
TP_0171,0.0978237448825684,1.0,0.16526962728751016,0.06744588240494176,0.18979540270748896,0.09197165782492056,0.20818973427247311,0.11036598938990472,0.1714010711425048,0.0735773262599364,0.21432117812746776,0.11649743324489936
TP_0315,0.0358609562921677,0.7345399698340875,0.11388911428833393,0.07802815799616622,0.14226298992330344,0.10640203363113573,0.16354339664953066,0.12768244035736295,0.12098258319707622,0.08512162690490852,0.17063686555827295,0.13477590926610525
TP_0344,0.0344122023809523,0.579185520361991,0.16283688756085746,0.12842468517990516,0.20953677308082297,0.17512457069987067,0.24456168722079719,0.21014948483984489,0.17451185894084886,0.14009965655989656,0.2562366586007885,0.22182445621983618
TP_0373,0.0621745052479769,0.6593934911242604,0.17171780942032344,0.10954330417234653,0.21155173821026774,0.14937723296229083,0.24142718480272596,0.17925267955474905,0.18167629161780952,0.11950178636983261,0.2513856670002119,0.189211161752235
TP_0564,0.0463606161280579,0.6997041420118343,0.19632529162579915,0.14996467549774126,0.24911395032678418,0.2027533341987263,0.2880053751087638,0.2416447589807059,0.23159697795954814,0.18523636183149025,0.2677407226743763,0.22138010654631843
TP_0565,0.0727199354317998,0.6807692307692308,0.07271993543179978,-2.7755575615628914e-17,0.07271993543179978,-2.7755575615628914e-17,0.07271993543179978,-2.7755575615628914e-17,0.07271993543179978,-2.7755575615628914e-17,0.07271993543179978,-2.7755575615628914e-17
TP_0572,0.0684345594525235,0.9823529411764704,0.17933246032110262,0.11089790086857912,0.21814971743156386,0.14971515797904036,0.2459728682448149,0.1775383087922914,0.20159428530003165,0.13315972584750815,0.23619602046066213,0.16776146100813863
TP_0766,0.0838765412707139,0.6858974358974359,0.09044173935462874,0.006565198083914842,0.0923175102357473,0.008440968965033407,0.09306781858819457,0.009191277317480678,0.09306781858819457,0.009191277317480678,0.0899727966343491,0.0060962553636352
TP_0888,0.0396910370143774,0.6908284023668639,1.0,0.9603089629856226,1.0,0.9603089629856226,1.0,0.9603089629856226,1.0,0.9603089629856226,1.0,0.9603089629856226
TP_0916,0.0276831976313841,0.7420222991157247,1.0,0.972316802368616,1.0,0.972316802368616,1.0,0.972316802368616,1.0,0.972316802368616,1.0,0.972316802368616
TP_0945,0.0,0.0388312187620146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TP_0973,0.0845969672785315,0.397189349112426,1.0,0.9154030327214685,1.0,0.9154030327214685,1.0,0.9154030327214685,1.0,0.9154030327214685,1.0,0.9154030327214685
TP_0986,0.0806195763739852,0.5888461538461538,0.0806195763739852,0.0,0.0806195763739852,0.0,0.0806195763739852,0.0,0.0806195763739852,0.0,0.0806195763739852,0.0
