station_id,station_name,n_rows,n_ge31,low_support_warning_flag,mean_context_adjusted_score_residual_c,mean_context_adjusted_high_tail_residual_c,building_footprint_fraction_250m,distance_to_park_or_green_m_250m,green_space_fraction_250m,landuse_entropy_250m,major_road_length_m_250m,road_density_m_per_ha_250m,distance_to_water_m_250m,water_fraction_250m,water_fraction_100m,road_density_m_per_ha_500m,road_length_m_500m,building_count_50m,building_footprint_fraction_50m,building_footprint_fraction_250m_missing_flag,distance_to_park_or_green_m_250m_missing_flag,green_space_fraction_250m_missing_flag,landuse_entropy_250m_missing_flag,major_road_length_m_250m_missing_flag,road_density_m_per_ha_250m_missing_flag,distance_to_water_m_250m_missing_flag,water_fraction_250m_missing_flag,water_fraction_100m_missing_flag,road_density_m_per_ha_500m_missing_flag,road_length_m_500m_missing_flag,building_count_50m_missing_flag,building_footprint_fraction_50m_missing_flag
S124,Upper Changi Road North,62,0,True,-0.322672704382661,,0.097561,147.822343,0.152439,0.173781,0.0,112.923959,406.484369,0.0,0.0,108.397478,8513.518027,1.0,0.044164,0,0,0,0,0,0,0,0,0,0,0,0,0
S125,Woodlands Street 13,62,8,True,-0.0860036031894219,0.4667780094333425,0.172485,212.168889,0.00616,1.563587,1098.432385,446.313402,17.850515,0.014374,0.0,423.970147,33298.53745,1.0,0.009464,0,0,0,0,0,0,0,0,0,0,0,0,0
S126,Old Chua Chu Kang Road,62,8,True,-0.013653790619453,0.8099623131709625,0.081136,135.850634,0.170385,1.654676,1515.554489,258.000877,278.042696,0.0,0.0,184.262556,14471.947293,2.0,0.031646,0,0,0,0,0,0,0,0,0,0,0,0,0
S127,Stadium Road,62,10,False,0.3604238732629313,0.5478105418721132,0.040984,105.686975,0.432377,1.125607,3965.779582,464.123977,509.13735,0.0,0.0,433.143291,34018.994548,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
S128,Bishan Street,62,11,False,0.121815672986062,1.15827974882328,0.259109,11.501454,0.093117,2.528756,409.616008,203.779391,30.010074,0.05668,0.130159,303.271627,23818.897892,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
S129,Bedok North Street 2,62,10,False,0.4024329855830783,0.8411932543678887,0.190669,238.303349,0.002028,1.724528,1681.857472,339.723942,31.35657,0.0,0.0,307.773354,24172.462714,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
S130,West Coast Road,62,6,True,0.3003313237526002,0.1531099727147508,0.150713,5.394009,0.199593,1.620015,1201.44992,394.198752,274.626194,0.0,0.0,522.864933,41065.715795,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
S132,Jurong West Street 93,62,9,True,0.1734152602968251,0.1387119023890058,0.24898,212.517954,0.012245,1.347807,1575.477623,437.048024,349.286153,0.0,0.0,480.812857,37762.953476,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
S135,Mandai Wildlife Reserve,62,11,False,-0.1735075169874145,0.933017498539439,0.132383,0.0,0.378819,0.048052,37.975481,555.458328,32.799269,0.002037,0.009494,306.632204,24082.836971,6.0,0.091772,0,0,0,0,0,0,0,0,0,0,0,0,0
S137,Sakra Road,62,13,False,0.774636728182615,1.3474475166040991,0.063395,264.238004,0.0,0.0,493.710411,147.295741,368.688771,0.0,0.0,162.710701,12779.2686,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
S139,Tuas Terminal Gateway,62,1,True,-0.310599814760955,0.1108917493842842,0.046559,311.182019,0.0,0.0,2203.352949,350.776323,336.792584,0.0,0.0,236.274546,18556.95945,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
S140,Choa Chu Kang Stadium,62,4,True,-0.3372724527012875,-0.2826020842132424,0.218814,123.217747,0.096115,1.756666,1554.716096,399.110003,373.957267,0.0,0.0,434.20871,34102.672321,20.0,0.198083,0,0,0,0,0,0,0,0,0,0,0,0,0
S141,Yio Chu Kang Stadium,62,10,False,0.3463860537607035,1.273987675856267,0.121951,0.0,0.477642,2.21348,1752.974833,424.907322,73.027054,0.018293,0.031646,385.480206,30275.544571,2.0,0.164557,0,0,0,0,0,0,0,0,0,0,0,0,0
S142,Sentosa Palawan Green,62,15,False,0.7725692767321004,2.239616966087942,0.057495,50.751432,0.086242,1.824192,0.0,268.61993,30.393194,0.0,0.0,227.780081,17889.8057,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
S143,Punggol North,62,7,True,-0.2447846833665903,0.1900553343929694,0.178279,0.0,0.637295,0.488068,929.885246,437.813058,108.362594,0.067623,0.0,330.354512,25945.982707,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
S144,Upper Pickering Street,62,8,True,0.3485547602575967,0.7951497989321954,0.465587,0.0,0.07085,1.064784,2874.436942,468.491232,173.295277,0.008097,0.0,454.851968,35723.990029,2.0,0.022152,0,0,0,0,0,0,0,0,0,0,0,0,0
S145,MacRitchie Reservoir,62,8,True,-0.1656994363892334,0.8849772791642739,0.05071,0.0,0.687627,1.486742,2387.664376,407.030669,55.52819,0.312373,0.119874,275.863792,21666.291588,1.0,0.012658,0,0,0,0,0,0,0,0,0,0,0,0,0
S146,Jalan Bahar,62,3,True,-0.4430243350321282,0.1666552455191238,0.127789,100.42021,0.314402,1.020111,970.460889,220.96671,292.224558,0.0,0.0,179.870117,14126.96595,2.0,0.067093,0,0,0,0,0,0,0,0,0,0,0,0,0
S147,Marina Barrage,62,10,False,0.1148843087501657,0.8820113387213236,0.164634,0.0,0.449187,0.633581,915.181984,327.421036,109.127826,0.087398,0.0,242.52356,19047.75588,2.0,0.120253,0,0,0,0,0,0,0,0,0,0,0,0,0
S148,Pasir Ris Walk,62,5,True,-0.339386772099936,0.304485261373606,0.227181,48.518927,0.141988,1.095047,1019.905923,385.97586,5.102427,0.0,0.0,386.264278,30337.125438,3.0,0.128205,0,0,0,0,0,0,0,0,0,0,0,0,0
S149,Tampines Walk,62,5,True,-0.3536408425385032,0.2617350863379754,0.384615,0.0,0.125506,1.46846,773.588879,484.25805,248.059739,0.0,0.0,491.862724,38630.808019,1.0,0.025316,0,0,0,0,0,0,0,0,0,0,0,0,0
S150,Evans Road,62,3,True,-0.3889883945098882,0.2386862800226884,0.094456,0.0,0.371663,1.656281,1262.736292,407.60963,73.168822,0.0,0.0,373.962763,29370.966706,2.0,0.025723,0,0,0,0,0,0,0,0,0,0,0,0,0
S151,Outward Bound Singapore(Pulau ubin),62,9,True,-0.2189296344211202,0.7637863986876681,0.050916,0.0,0.989817,0.082006,0.0,82.202193,257.250158,0.0,0.0,62.193992,4884.704732,5.0,0.170347,0,0,0,0,0,0,0,0,0,0,0,0,0
S153,Bukit Batok Street 22,62,7,True,0.019284664389361,0.1801634838030354,0.221095,287.466395,0.0,0.669275,1034.792954,368.34553,249.96835,0.0,0.0,411.624278,32328.895186,1.0,0.092949,0,0,0,0,0,0,0,0,0,0,0,0,0
S180,Taman Jurong Greens,62,9,True,-0.1922859651278547,0.0789940407257709,0.235294,0.0,0.125761,0.875087,1100.566141,492.320924,328.251757,0.0,0.0,420.944104,33060.872591,1.0,0.012618,0,0,0,0,0,0,0,0,0,0,0,0,0
S184,Sengkang East Avenue,62,6,True,-0.1114300607372605,0.565122950332736,0.261224,300.850256,0.0,0.0,2421.322667,391.23721,356.304647,0.0,0.0,431.567973,33895.269341,1.0,0.047319,0,0,0,0,0,0,0,0,0,0,0,0,0
S187,Bukit Timah(West),62,8,True,-0.0328549010903315,0.7651140115647593,0.281947,468.578357,0.0,0.022279,0.0,349.76898,55.637175,0.002028,0.0,219.759375,17259.860946,8.0,0.299685,0,0,0,0,0,0,0,0,0,0,0,0,0
