candidate_feature,feature_group,base_feature,buffer_m,reason_selected,reason_excluded,collinearity_cluster,cluster_representative,allowed_for_scoped_model,recommended_role
building_footprint_fraction_250m,buildings,building_footprint_fraction,250,configured small-set preference;full all-27 coverage;interpretable station-context feature;high-tail residual r=-0.210940,,C001,building_footprint_fraction_250m,yes,primary_candidate
distance_to_park_or_green_m_250m,green,distance_to_park_or_green_m,250,configured small-set preference;full all-27 coverage;interpretable station-context feature;score residual r=0.193583,,C008,distance_to_park_or_green_m_250m,yes,primary_candidate
green_space_fraction_250m,green,green_space_fraction,250,configured small-set preference;full all-27 coverage;interpretable station-context feature;score residual r=-0.251685,,C002,green_space_fraction_250m,yes,primary_candidate
landuse_entropy_250m,landuse,landuse_entropy,250,configured small-set preference;full all-27 coverage;interpretable station-context feature;score residual r=0.200977,,C007,landuse_entropy_250m,yes,primary_candidate
major_road_length_m_250m,roads,major_road_length_m,250,configured small-set preference;full all-27 coverage;interpretable station-context feature;high-tail residual r=-0.252823,,C006,major_road_length_m_250m,yes,primary_candidate
road_density_m_per_ha_250m,roads,road_density_m_per_ha,250,configured small-set preference;full all-27 coverage;interpretable station-context feature;high-tail residual r=-0.303932,,C005,road_density_m_per_ha_250m,yes,primary_candidate
distance_to_water_m_250m,water,distance_to_water_m,250,configured small-set preference;full all-27 coverage;interpretable station-context feature;high-tail residual r=-0.471453,,C004,distance_to_water_m_250m,yes,primary_candidate
water_fraction_250m,water,water_fraction,250,configured small-set preference;full all-27 coverage;interpretable station-context feature;high-tail residual r=0.440067,,C003,water_fraction_250m,yes,primary_candidate
building_count_50m,buildings,building_count,50,full coverage numeric context feature;secondary only to keep A-L2.1c small;score residual r=-0.410353,,C018,building_count_50m,yes,secondary_sensitivity
building_count_100m,buildings,building_count,100,full coverage numeric context feature;secondary only to keep A-L2.1c small;score residual r=-0.398352,,C015,building_count_100m,yes,secondary_sensitivity
building_count_250m,buildings,building_count,250,full coverage secondary sensitivity feature;not part of the small primary set;high-tail residual r=-0.332478,,C014,building_count_250m,yes,secondary_sensitivity
building_count_500m,buildings,building_count,500,full coverage numeric context feature;secondary only to keep A-L2.1c small;high-tail residual r=-0.361429,,C014,building_count_250m,yes,secondary_sensitivity
building_footprint_fraction_50m,buildings,building_footprint_fraction,50,full coverage numeric context feature;secondary only to keep A-L2.1c small;score residual r=-0.421715,,C018,building_count_50m,yes,secondary_sensitivity
building_footprint_fraction_100m,buildings,building_footprint_fraction,100,full coverage numeric context feature;secondary only to keep A-L2.1c small;score residual r=-0.257710,,C015,building_count_100m,yes,secondary_sensitivity
building_footprint_fraction_500m,buildings,building_footprint_fraction,500,full coverage secondary sensitivity feature;not part of the small primary set;high-tail residual r=-0.341538,,C009,building_footprint_fraction_500m,yes,secondary_sensitivity
green_space_fraction_50m,green,green_space_fraction,50,full coverage numeric context feature;secondary only to keep A-L2.1c small;high-tail residual r=0.204787,,C008,distance_to_park_or_green_m_250m,yes,secondary_sensitivity
green_space_fraction_500m,green,green_space_fraction,500,full coverage secondary sensitivity feature;not part of the small primary set;score residual r=-0.304640,,C002,green_space_fraction_250m,yes,secondary_sensitivity
landuse_entropy_500m,landuse,landuse_entropy,500,full coverage secondary sensitivity feature;not part of the small primary set;high-tail residual r=0.208205,,C007,landuse_entropy_250m,yes,secondary_sensitivity
distance_to_major_road_m_50m,roads,distance_to_major_road_m,50,full coverage numeric context feature;secondary only to keep A-L2.1c small;high-tail residual r=0.308034,,C013,distance_to_major_road_m_250m,yes,secondary_sensitivity
distance_to_major_road_m_100m,roads,distance_to_major_road_m,100,full coverage numeric context feature;secondary only to keep A-L2.1c small;high-tail residual r=0.308034,,C013,distance_to_major_road_m_250m,yes,secondary_sensitivity
distance_to_major_road_m_250m,roads,distance_to_major_road_m,250,full coverage secondary sensitivity feature;not part of the small primary set;high-tail residual r=0.308034,,C013,distance_to_major_road_m_250m,yes,secondary_sensitivity
distance_to_major_road_m_500m,roads,distance_to_major_road_m,500,full coverage numeric context feature;secondary only to keep A-L2.1c small;high-tail residual r=0.308034,,C013,distance_to_major_road_m_250m,yes,secondary_sensitivity
major_road_length_m_50m,roads,major_road_length_m,50,full coverage numeric context feature;secondary only to keep A-L2.1c small;high-tail residual r=-0.194467,,C013,distance_to_major_road_m_250m,yes,secondary_sensitivity
major_road_length_m_100m,roads,major_road_length_m,100,full coverage numeric context feature;secondary only to keep A-L2.1c small;high-tail residual r=-0.372508,,C013,distance_to_major_road_m_250m,yes,secondary_sensitivity
major_road_length_m_500m,roads,major_road_length_m,500,full coverage secondary sensitivity feature;not part of the small primary set;score residual r=0.246680,,C012,major_road_length_m_500m,yes,secondary_sensitivity
road_density_m_per_ha_50m,roads,road_density_m_per_ha,50,full coverage numeric context feature;secondary only to keep A-L2.1c small;score residual r=-0.415751,,C016,road_density_m_per_ha_100m,yes,secondary_sensitivity
road_density_m_per_ha_100m,roads,road_density_m_per_ha,100,full coverage numeric context feature;secondary only to keep A-L2.1c small;score residual r=-0.375458,,C016,road_density_m_per_ha_100m,yes,secondary_sensitivity
road_density_m_per_ha_500m,roads,road_density_m_per_ha,500,full coverage secondary sensitivity feature;not part of the small primary set;high-tail residual r=-0.469402,,C011,road_density_m_per_ha_500m,yes,secondary_sensitivity
road_length_m_50m,roads,road_length_m,50,full coverage numeric context feature;secondary only to keep A-L2.1c small;score residual r=-0.415751,,C016,road_density_m_per_ha_100m,yes,secondary_sensitivity
road_length_m_100m,roads,road_length_m,100,full coverage numeric context feature;secondary only to keep A-L2.1c small;score residual r=-0.375458,,C016,road_density_m_per_ha_100m,yes,secondary_sensitivity
road_length_m_500m,roads,road_length_m,500,full coverage numeric context feature;secondary only to keep A-L2.1c small;high-tail residual r=-0.469402,,C011,road_density_m_per_ha_500m,yes,secondary_sensitivity
water_fraction_500m,water,water_fraction,500,full coverage secondary sensitivity feature;not part of the small primary set;score residual r=0.188571,,C010,water_fraction_500m,yes,secondary_sensitivity
distance_to_park_or_green_m_50m,green,distance_to_park_or_green_m,50,,near-duplicate with selected primary feature distance_to_park_or_green_m_250m,C008,distance_to_park_or_green_m_250m,no,exclude_near_duplicate
distance_to_park_or_green_m_100m,green,distance_to_park_or_green_m,100,,near-duplicate with selected primary feature distance_to_park_or_green_m_250m,C008,distance_to_park_or_green_m_250m,no,exclude_near_duplicate
distance_to_park_or_green_m_500m,green,distance_to_park_or_green_m,500,,near-duplicate with selected primary feature distance_to_park_or_green_m_250m,C008,distance_to_park_or_green_m_250m,no,exclude_near_duplicate
green_space_fraction_100m,green,green_space_fraction,100,,near-duplicate with selected primary feature distance_to_park_or_green_m_250m,C008,distance_to_park_or_green_m_250m,no,exclude_near_duplicate
road_length_m_250m,roads,road_length_m,250,,near-duplicate with selected primary feature road_density_m_per_ha_250m,C005,road_density_m_per_ha_250m,no,exclude_near_duplicate
distance_to_water_m_50m,water,distance_to_water_m,50,,near-duplicate with selected primary feature distance_to_water_m_250m,C004,distance_to_water_m_250m,no,exclude_near_duplicate
distance_to_water_m_100m,water,distance_to_water_m,100,,near-duplicate with selected primary feature distance_to_water_m_250m,C004,distance_to_water_m_250m,no,exclude_near_duplicate
distance_to_water_m_500m,water,distance_to_water_m,500,,near-duplicate with selected primary feature distance_to_water_m_250m,C004,distance_to_water_m_250m,no,exclude_near_duplicate
landuse_entropy_50m,landuse,landuse_entropy,50,,partial station coverage or schema disallows future model use,C007,landuse_entropy_250m,no,exclude_partial_coverage
landuse_entropy_100m,landuse,landuse_entropy,100,,partial station coverage or schema disallows future model use,C007,landuse_entropy_250m,no,exclude_partial_coverage
landuse_majority_50m,landuse,landuse_majority,50,,partial station coverage or schema disallows future model use,,landuse_majority_50m,no,exclude_partial_coverage
landuse_majority_100m,landuse,landuse_majority,100,,partial station coverage or schema disallows future model use,,landuse_majority_100m,no,exclude_partial_coverage
water_fraction_50m,water,water_fraction,50,,constant or near-constant across stations,C019,water_fraction_50m,no,exclude_low_variance
water_fraction_100m,water,water_fraction,100,,constant or near-constant across stations,C017,water_fraction_100m,no,exclude_low_variance
