feature_column,feature_group,base_feature,buffer_m,feature_type,n_non_null,missing_fraction,n_unique_non_null,top_value_fraction,constant_flag,near_constant_flag,outlier_stations_robust_z,zero_fraction,min,p05,p25,median,p75,p95,max,category_values
building_count_50m,buildings,building_count,50,numeric,27,0.000000,8,0.296296,no,no,S140:20.000(z=12.82);S187:8.000(z=4.72),0.296296,0.000000,0.000000,0.000000,1.000000,2.000000,7.400000,20.000000,
building_count_100m,buildings,building_count,100,numeric,27,0.000000,13,0.185185,no,no,S140:64.000(z=20.23);S187:27.000(z=7.76);S135:18.000(z=4.72),0.037037,0.000000,1.000000,2.000000,4.000000,6.000000,24.300000,64.000000,
building_count_250m,buildings,building_count,250,numeric,27,0.000000,23,0.074074,no,no,S144:319.000(z=12.14);S140:315.000(z=11.97);S187:173.000(z=5.99),0.000000,3.000000,4.000000,17.500000,31.000000,49.000000,272.400000,319.000000,
building_count_500m,buildings,building_count,500,numeric,27,0.000000,26,0.074074,no,no,S144:996.000(z=8.71);S140:589.000(z=4.67);S187:517.000(z=3.96),0.000000,6.000000,25.600000,69.000000,118.000000,255.000000,567.400000,996.000000,
building_footprint_fraction_50m,buildings,building_footprint_fraction,50,numeric,27,0.000000,19,0.333333,no,no,S187:0.300(z=7.31);S140:0.198(z=4.60);S151:0.170(z=3.86);S141:0.165(z=3.71),0.333333,0.000000,0.000000,0.000000,0.025316,0.092361,0.189762,0.299685,
building_footprint_fraction_100m,buildings,building_footprint_fraction,100,numeric,27,0.000000,25,0.074074,no,no,,0.074074,0.000000,0.001899,0.028618,0.088608,0.197521,0.231232,0.254777,
building_footprint_fraction_250m,buildings,building_footprint_fraction,250,numeric,27,0.000000,27,0.037037,no,no,,0.000000,0.040984,0.047804,0.087796,0.164634,0.231237,0.353815,0.465587,
building_footprint_fraction_500m,buildings,building_footprint_fraction,500,numeric,27,0.000000,27,0.037037,no,no,,0.000000,0.009562,0.031590,0.073489,0.174224,0.231316,0.308214,0.423108,
distance_to_park_or_green_m_50m,green,distance_to_park_or_green_m,50,numeric,27,0.000000,18,0.370370,no,no,S187:468.578(z=5.55),0.370370,0.000000,0.000000,0.000000,50.751432,212.343422,308.082490,468.578357,
distance_to_park_or_green_m_100m,green,distance_to_park_or_green_m,100,numeric,27,0.000000,18,0.370370,no,no,S187:468.578(z=5.55),0.370370,0.000000,0.000000,0.000000,50.751432,212.343422,308.082490,468.578357,
