collinearity_cluster,cluster_type,cluster_size,feature_column,feature_group,base_feature,buffer_m,representative_feature,is_representative,max_abs_spearman_in_cluster,cluster_members,representative_reason
C013,high_collinearity,6,distance_to_major_road_m_100m,roads,distance_to_major_road_m,100,distance_to_major_road_m_250m,no,1.000000,distance_to_major_road_m_100m;distance_to_major_road_m_250m;distance_to_major_road_m_500m;distance_to_major_road_m_50m;major_road_length_m_100m;major_road_length_m_50m,configured preference then 250m/500m stable-scale fallback
C013,high_collinearity,6,distance_to_major_road_m_250m,roads,distance_to_major_road_m,250,distance_to_major_road_m_250m,yes,1.000000,distance_to_major_road_m_100m;distance_to_major_road_m_250m;distance_to_major_road_m_500m;distance_to_major_road_m_50m;major_road_length_m_100m;major_road_length_m_50m,configured preference then 250m/500m stable-scale fallback
C013,high_collinearity,6,distance_to_major_road_m_500m,roads,distance_to_major_road_m,500,distance_to_major_road_m_250m,no,1.000000,distance_to_major_road_m_100m;distance_to_major_road_m_250m;distance_to_major_road_m_500m;distance_to_major_road_m_50m;major_road_length_m_100m;major_road_length_m_50m,configured preference then 250m/500m stable-scale fallback
C013,high_collinearity,6,distance_to_major_road_m_50m,roads,distance_to_major_road_m,50,distance_to_major_road_m_250m,no,1.000000,distance_to_major_road_m_100m;distance_to_major_road_m_250m;distance_to_major_road_m_500m;distance_to_major_road_m_50m;major_road_length_m_100m;major_road_length_m_50m,configured preference then 250m/500m stable-scale fallback
C013,high_collinearity,6,major_road_length_m_100m,roads,major_road_length_m,100,distance_to_major_road_m_250m,no,1.000000,distance_to_major_road_m_100m;distance_to_major_road_m_250m;distance_to_major_road_m_500m;distance_to_major_road_m_50m;major_road_length_m_100m;major_road_length_m_50m,configured preference then 250m/500m stable-scale fallback
C013,high_collinearity,6,major_road_length_m_50m,roads,major_road_length_m,50,distance_to_major_road_m_250m,no,1.000000,distance_to_major_road_m_100m;distance_to_major_road_m_250m;distance_to_major_road_m_500m;distance_to_major_road_m_50m;major_road_length_m_100m;major_road_length_m_50m,configured preference then 250m/500m stable-scale fallback
C014,high_collinearity,2,building_count_250m,buildings,building_count,250,building_count_250m,yes,0.843898,building_count_250m;building_count_500m,configured preference then 250m/500m stable-scale fallback
C014,high_collinearity,2,building_count_500m,buildings,building_count,500,building_count_250m,no,0.843898,building_count_250m;building_count_500m,configured preference then 250m/500m stable-scale fallback
C015,high_collinearity,2,building_count_100m,buildings,building_count,100,building_count_100m,yes,0.825894,building_count_100m;building_footprint_fraction_100m,configured preference then 250m/500m stable-scale fallback
C015,high_collinearity,2,building_footprint_fraction_100m,buildings,building_footprint_fraction,100,building_count_100m,no,0.825894,building_count_100m;building_footprint_fraction_100m,configured preference then 250m/500m stable-scale fallback
C016,high_collinearity,4,road_density_m_per_ha_100m,roads,road_density_m_per_ha,100,road_density_m_per_ha_100m,yes,1.000000,road_density_m_per_ha_100m;road_density_m_per_ha_50m;road_length_m_100m;road_length_m_50m,configured preference then 250m/500m stable-scale fallback
C016,high_collinearity,4,road_density_m_per_ha_50m,roads,road_density_m_per_ha,50,road_density_m_per_ha_100m,no,1.000000,road_density_m_per_ha_100m;road_density_m_per_ha_50m;road_length_m_100m;road_length_m_50m,configured preference then 250m/500m stable-scale fallback
C016,high_collinearity,4,road_length_m_100m,roads,road_length_m,100,road_density_m_per_ha_100m,no,1.000000,road_density_m_per_ha_100m;road_density_m_per_ha_50m;road_length_m_100m;road_length_m_50m,configured preference then 250m/500m stable-scale fallback
C016,high_collinearity,4,road_length_m_50m,roads,road_length_m,50,road_density_m_per_ha_100m,no,1.000000,road_density_m_per_ha_100m;road_density_m_per_ha_50m;road_length_m_100m;road_length_m_50m,configured preference then 250m/500m stable-scale fallback
C017,singleton,1,water_fraction_100m,water,water_fraction,100,water_fraction_100m,yes,0.000000,water_fraction_100m,configured preference then 250m/500m stable-scale fallback
C018,high_collinearity,2,building_count_50m,buildings,building_count,50,building_count_50m,yes,0.896853,building_count_50m;building_footprint_fraction_50m,configured preference then 250m/500m stable-scale fallback
C018,high_collinearity,2,building_footprint_fraction_50m,buildings,building_footprint_fraction,50,building_count_50m,no,0.896853,building_count_50m;building_footprint_fraction_50m,configured preference then 250m/500m stable-scale fallback
C019,singleton,1,water_fraction_50m,water,water_fraction,50,water_fraction_50m,yes,0.000000,water_fraction_50m,configured preference then 250m/500m stable-scale fallback
