station_id,station_present,station_name,n_ge31,mean_context_adjusted_score_residual_c,mean_context_adjusted_high_tail_residual_c,low_support_warning_flag,feature_column,feature_group,base_feature,buffer_m,station_value,station_q25,station_median,station_q75,station_iqr,iqr_position,comparison_note
S142,yes,Sentosa Palawan Green,15,0.772569,2.239617,False,water_fraction_100m,water,water_fraction,100,0.000000,0.000000,0.000000,0.000000,0.000000,,same_as_station_median
S142,yes,Sentosa Palawan Green,15,0.772569,2.239617,False,water_fraction_250m,water,water_fraction,250,0.000000,0.000000,0.000000,0.005067,0.005067,0.000,within_station_iqr
S142,yes,Sentosa Palawan Green,15,0.772569,2.239617,False,water_fraction_500m,water,water_fraction,500,0.004789,0.000000,0.005529,0.025814,0.025814,-0.029,within_station_iqr
S142,yes,Sentosa Palawan Green,15,0.772569,2.239617,False,water_fraction_50m,water,water_fraction,50,0.000000,0.000000,0.000000,0.000000,0.000000,,same_as_station_median
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,building_footprint_fraction_100m,buildings,building_footprint_fraction,100,0.028846,0.028618,0.088608,0.197521,0.168903,-0.354,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,building_footprint_fraction_250m,buildings,building_footprint_fraction,250,0.046559,0.087796,0.164634,0.231237,0.143441,-0.823,below_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,building_footprint_fraction_500m,buildings,building_footprint_fraction,500,0.077655,0.073489,0.174224,0.231316,0.157827,-0.612,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,building_footprint_fraction_50m,buildings,building_footprint_fraction,50,0.000000,0.000000,0.025316,0.092361,0.092361,-0.274,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,distance_to_park_or_green_m_100m,green,distance_to_park_or_green_m,100,311.182019,0.000000,50.751432,212.343422,212.343422,1.226,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,distance_to_park_or_green_m_250m,green,distance_to_park_or_green_m,250,311.182019,0.000000,50.751432,212.343422,212.343422,1.226,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,distance_to_park_or_green_m_500m,green,distance_to_park_or_green_m,500,311.182019,0.000000,50.751432,212.343422,212.343422,1.226,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,distance_to_park_or_green_m_50m,green,distance_to_park_or_green_m,50,311.182019,0.000000,50.751432,212.343422,212.343422,1.226,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,distance_to_water_m_100m,water,distance_to_water_m,100,336.792584,55.582683,248.059739,332.522171,276.939488,0.320,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,distance_to_water_m_250m,water,distance_to_water_m,250,336.792584,55.582683,248.059739,332.522171,276.939488,0.320,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,distance_to_water_m_500m,water,distance_to_water_m,500,336.792584,55.582683,248.059739,332.522171,276.939488,0.320,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,distance_to_water_m_50m,water,distance_to_water_m,50,336.792584,55.582683,248.059739,332.522171,276.939488,0.320,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,green_space_fraction_100m,green,green_space_fraction,100,0.000000,0.000000,0.096154,0.409399,0.409399,-0.235,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,green_space_fraction_250m,green,green_space_fraction,250,0.000000,0.009203,0.125761,0.375241,0.366039,-0.344,below_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,green_space_fraction_500m,green,green_space_fraction,500,0.042789,0.068554,0.131056,0.378544,0.309990,-0.285,below_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,green_space_fraction_50m,green,green_space_fraction,50,0.000000,0.000000,0.000000,0.660235,0.660235,0.000,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,landuse_majority_250m,landuse,landuse_majority,250,built_or_urban,,built_or_urban,,,,categorical; station-wide mode=built_or_urban; mode_fraction=0.519
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,landuse_majority_500m,landuse,landuse_majority,500,built_or_urban,,built_or_urban,,,,categorical; station-wide mode=built_or_urban; mode_fraction=0.593
