cell_id,old_valid_pixel_count,old_building_pixel_count,old_building_area_m2,old_building_density,old_open_pixel_fraction,old_dsm_mean_all_m,old_dsm_max_all_m,old_building_height_mean_m,old_building_height_max_m,old_building_height_p50_m,old_building_height_p90_m,v10_valid_pixel_count,v10_building_pixel_count,v10_building_area_m2,v10_building_density,v10_open_pixel_fraction,v10_dsm_mean_all_m,v10_dsm_max_all_m,v10_building_height_mean_m,v10_building_height_max_m,v10_building_height_p50_m,v10_building_height_p90_m,cell_area_m2,delta_building_area_m2,delta_building_density,delta_open_pixel_fraction,delta_building_height_mean_m,delta_building_height_max_m,delta_building_height_p50_m,delta_building_height_p90_m,lat,lon,land_use_hint,road_fraction,gvi_percent,tree_canopy_fraction,ndvi_mean,shade_fraction,svf,building_density,mean_building_height_m,max_building_height_m
TP_0001,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,863,3452.0,0.3452000000055696,0.6548,3.9612,15.0,11.475086906141367,15.0,15.0,15.0,9999.999999838656,3452.0,0.3452000000055696,-0.34519999999999995,11.475086906141367,15.0,15.0,15.0,1.3260193455325362,103.84005773633348,residential,0.3220820220423007,8.637317177462588,0.0,0.3119403817213908,0.1229405775666236,0.8361362218856812,0.0,11.87045605861922,13.2
TP_0002,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1012,4048.0,0.4047999999968043,0.5952,5.7444,21.0,14.190711462450594,21.0,15.0,15.0,10000.000000078944,4048.0,0.4047999999968043,-0.40480000000000005,14.190711462450594,21.0,15.0,15.0,1.3260193429122338,103.84095629063007,residential,0.2408424982856742,7.172960977702185,0.0,0.2793991328378263,0.4245828986167907,0.5146422386169434,0.0,13.193986794233217,13.2
TP_0003,2500,141,564.0,0.056399999999766096,0.9436,0.705,12.5,12.5,12.5,12.5,12.5,2500,391,1564.0,0.15639999999935136,0.8436,1.9674,21.0,12.57928388746803,21.0,12.5,21.0,10000.000000041473,1000.0,0.09999999999958527,-0.09999999999999998,0.07928388746802995,8.5,0.0,8.5,1.32601933996372,103.8418548449248,transport,0.4535387896289363,0.0,0.0,0.0959076282964351,0.0198025796562433,0.9370983242988586,0.0336183757961947,15.536627563679655,8.929753442676295
TP_0004,2500,559,2236.0,0.2236,0.7764,2.795,12.5,12.5,12.5,12.5,12.5,2500,1172,4688.0,0.4688,0.5312,4.2518,12.5,9.069539249146757,12.5,6.0,12.5,10000.0,2452.0,0.2452,-0.24519999999999997,-3.4304607508532428,0.0,-6.5,0.0,1.326019336686995,103.8427533992174,residential,0.1089573062999985,6.047197523840713,0.0,0.2543821671964603,0.1800198853015899,0.6916871070861816,0.1619118094187601,18.70512830847269,24.42048839272008
TP_0005,2500,292,1168.0,0.11679999999976205,0.8832,1.3726399990081788,12.5,11.752054786028927,12.5,12.5,12.5,2500,843,3372.0,0.33719999999931305,0.6628000000000001,3.5750399990081787,20.0,10.602135228375381,20.0,12.0,12.5,10000.000000020373,2204.0,0.220399999999551,-0.22039999999999993,-1.1499195576535453,7.5,-0.5,0.0,1.3260193330820584,103.84365195350765,residential,0.0233886337246692,13.469892772412472,0.0,0.4193309504980549,0.6176010370254517,0.3257160186767578,0.0724896855648343,22.263256319937152,18.22353520964302
TP_0006,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1304,5216.0,0.5216000000052088,0.47840000000000005,5.9328,12.0,11.374233128834355,12.0,12.0,12.0,9999.999999900137,5216.0,0.5216000000052088,-0.5216,11.374233128834355,12.0,12.0,12.0,1.3260193291489106,103.84455050779536,civic_institutional,0.0052474822666447,4.979082372600915,0.0,0.230646274946687,0.2218251675367355,0.7127825617790222,0.0,25.076679660487688,6.6
TP_0007,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,796,3184.0,0.3184,0.6816,9.756,87.0,30.64070351758794,87.0,27.0,87.0,10000.0,3184.0,0.3184,-0.3184,30.64070351758794,87.0,27.0,87.0,1.326019324887551,103.84544906208026,residential,0.2143815181744911,7.396193683846008,0.0,0.2843598596410224,0.4435949325561523,0.487162709236145,0.0,25.562512618026204,13.2
TP_0008,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1264,5056.0,0.5055999999987401,0.49439999999999995,8.3928,42.0,16.599683544303797,42.0,12.0,42.0,10000.00000002492,5056.0,0.5055999999987401,-0.5056,16.599683544303797,42.0,12.0,42.0,1.3260193202979802,103.84634761636218,residential,0.1237017666895889,1.965424316230283,0.0,0.1636760959162285,0.2160051465034485,0.7192140817642212,0.0,23.73899503202849,13.2
TP_0009,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,430,1720.0,0.1720000000003942,0.8280000000000001,3.276,33.0,19.046511627906977,33.0,24.0,33.0,9999.99999997708,1720.0,0.1720000000003942,-0.17199999999999993,19.046511627906977,33.0,24.0,33.0,1.3260193153801978,103.84724617064089,residential,0.2606039905906929,12.106516242539682,0.0,0.3890336942786596,0.4964738190174103,0.4493795037269592,0.0,23.59353986803494,13.2
TP_0010,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,832,3328.0,0.3327999999998547,0.6672,7.3912,36.0,22.209134615384617,36.0,21.0,27.0,10000.000000004366,3328.0,0.3327999999998547,-0.3328,22.209134615384617,36.0,21.0,27.0,1.3260193101342048,103.84814472491612,residential,0.2905641335598114,7.361087015825885,0.0,0.2835797114627974,0.3715378046035766,0.5601521730422974,0.0,25.166387850088515,13.2
