temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,station_id,station_name,station_lat,station_lon,openmeteo_endpoint,openmeteo_url,openmeteo_utc_offset_seconds,time_sgt,openmeteo_api_used
26.5,94,0.51,0.0,0.0,0.0,98,S124,Upper Changi Road North,1.36777,103.982262,https://historical-forecast-api.open-meteo.com/v1/forecast,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=1.36777%2C1.433789%2C1.372566%2C1.305738%2C1.354825%2C1.325746%2C1.310524%2C1.337859%2C1.4084245%2C1.2571%2C1.263757%2C1.390524%2C1.382564%2C1.24950363476734%2C1.41046864267577%2C1.286011%2C1.3418179%2C1.365386%2C1.280001%2C1.3715018&longitude=103.982262%2C103.780731%2C103.724358%2C103.878174%2C103.852219%2C103.939691%2C103.763426%2C103.695383%2C103.7808629%2C103.698%2C103.616417%2C103.749664%2C103.84619%2C103.819177652546%2C103.904965342662%2C103.846988%2C103.833913%2C103.692372%2C103.8697302%2C103.9642012&start_date=2026-05-07&end_date=2026-05-08&hourly=temperature_2m%2Crelative_humidity_2m%2Cwind_speed_10m%2Cshortwave_radiation%2Cdirect_radiation%2Cdiffuse_radiation%2Ccloud_cover&timezone=Asia%2FSingapore&wind_speed_unit=ms,28800,2026-05-07 00:00:00+08:00,historical_forecast
26.5,95,0.22,0.0,0.0,0.0,99,S124,Upper Changi Road North,1.36777,103.982262,https://historical-forecast-api.open-meteo.com/v1/forecast,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=1.36777%2C1.433789%2C1.372566%2C1.305738%2C1.354825%2C1.325746%2C1.310524%2C1.337859%2C1.4084245%2C1.2571%2C1.263757%2C1.390524%2C1.382564%2C1.24950363476734%2C1.41046864267577%2C1.286011%2C1.3418179%2C1.365386%2C1.280001%2C1.3715018&longitude=103.982262%2C103.780731%2C103.724358%2C103.878174%2C103.852219%2C103.939691%2C103.763426%2C103.695383%2C103.7808629%2C103.698%2C103.616417%2C103.749664%2C103.84619%2C103.819177652546%2C103.904965342662%2C103.846988%2C103.833913%2C103.692372%2C103.8697302%2C103.9642012&start_date=2026-05-07&end_date=2026-05-08&hourly=temperature_2m%2Crelative_humidity_2m%2Cwind_speed_10m%2Cshortwave_radiation%2Cdirect_radiation%2Cdiffuse_radiation%2Ccloud_cover&timezone=Asia%2FSingapore&wind_speed_unit=ms,28800,2026-05-07 01:00:00+08:00,historical_forecast
26.3,91,0.73,0.0,0.0,0.0,100,S124,Upper Changi Road North,1.36777,103.982262,https://historical-forecast-api.open-meteo.com/v1/forecast,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=1.36777%2C1.433789%2C1.372566%2C1.305738%2C1.354825%2C1.325746%2C1.310524%2C1.337859%2C1.4084245%2C1.2571%2C1.263757%2C1.390524%2C1.382564%2C1.24950363476734%2C1.41046864267577%2C1.286011%2C1.3418179%2C1.365386%2C1.280001%2C1.3715018&longitude=103.982262%2C103.780731%2C103.724358%2C103.878174%2C103.852219%2C103.939691%2C103.763426%2C103.695383%2C103.7808629%2C103.698%2C103.616417%2C103.749664%2C103.84619%2C103.819177652546%2C103.904965342662%2C103.846988%2C103.833913%2C103.692372%2C103.8697302%2C103.9642012&start_date=2026-05-07&end_date=2026-05-08&hourly=temperature_2m%2Crelative_humidity_2m%2Cwind_speed_10m%2Cshortwave_radiation%2Cdirect_radiation%2Cdiffuse_radiation%2Ccloud_cover&timezone=Asia%2FSingapore&wind_speed_unit=ms,28800,2026-05-07 02:00:00+08:00,historical_forecast
26.1,93,0.32,0.0,0.0,0.0,100,S124,Upper Changi Road North,1.36777,103.982262,https://historical-forecast-api.open-meteo.com/v1/forecast,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=1.36777%2C1.433789%2C1.372566%2C1.305738%2C1.354825%2C1.325746%2C1.310524%2C1.337859%2C1.4084245%2C1.2571%2C1.263757%2C1.390524%2C1.382564%2C1.24950363476734%2C1.41046864267577%2C1.286011%2C1.3418179%2C1.365386%2C1.280001%2C1.3715018&longitude=103.982262%2C103.780731%2C103.724358%2C103.878174%2C103.852219%2C103.939691%2C103.763426%2C103.695383%2C103.7808629%2C103.698%2C103.616417%2C103.749664%2C103.84619%2C103.819177652546%2C103.904965342662%2C103.846988%2C103.833913%2C103.692372%2C103.8697302%2C103.9642012&start_date=2026-05-07&end_date=2026-05-08&hourly=temperature_2m%2Crelative_humidity_2m%2Cwind_speed_10m%2Cshortwave_radiation%2Cdirect_radiation%2Cdiffuse_radiation%2Ccloud_cover&timezone=Asia%2FSingapore&wind_speed_unit=ms,28800,2026-05-07 03:00:00+08:00,historical_forecast
26.1,93,0.14,0.0,0.0,0.0,100,S124,Upper Changi Road North,1.36777,103.982262,https://historical-forecast-api.open-meteo.com/v1/forecast,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=1.36777%2C1.433789%2C1.372566%2C1.305738%2C1.354825%2C1.325746%2C1.310524%2C1.337859%2C1.4084245%2C1.2571%2C1.263757%2C1.390524%2C1.382564%2C1.24950363476734%2C1.41046864267577%2C1.286011%2C1.3418179%2C1.365386%2C1.280001%2C1.3715018&longitude=103.982262%2C103.780731%2C103.724358%2C103.878174%2C103.852219%2C103.939691%2C103.763426%2C103.695383%2C103.7808629%2C103.698%2C103.616417%2C103.749664%2C103.84619%2C103.819177652546%2C103.904965342662%2C103.846988%2C103.833913%2C103.692372%2C103.8697302%2C103.9642012&start_date=2026-05-07&end_date=2026-05-08&hourly=temperature_2m%2Crelative_humidity_2m%2Cwind_speed_10m%2Cshortwave_radiation%2Cdirect_radiation%2Cdiffuse_radiation%2Ccloud_cover&timezone=Asia%2FSingapore&wind_speed_unit=ms,28800,2026-05-07 04:00:00+08:00,historical_forecast
26.0,93,0.22,0.0,0.0,0.0,100,S124,Upper Changi Road North,1.36777,103.982262,https://historical-forecast-api.open-meteo.com/v1/forecast,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=1.36777%2C1.433789%2C1.372566%2C1.305738%2C1.354825%2C1.325746%2C1.310524%2C1.337859%2C1.4084245%2C1.2571%2C1.263757%2C1.390524%2C1.382564%2C1.24950363476734%2C1.41046864267577%2C1.286011%2C1.3418179%2C1.365386%2C1.280001%2C1.3715018&longitude=103.982262%2C103.780731%2C103.724358%2C103.878174%2C103.852219%2C103.939691%2C103.763426%2C103.695383%2C103.7808629%2C103.698%2C103.616417%2C103.749664%2C103.84619%2C103.819177652546%2C103.904965342662%2C103.846988%2C103.833913%2C103.692372%2C103.8697302%2C103.9642012&start_date=2026-05-07&end_date=2026-05-08&hourly=temperature_2m%2Crelative_humidity_2m%2Cwind_speed_10m%2Cshortwave_radiation%2Cdirect_radiation%2Cdiffuse_radiation%2Ccloud_cover&timezone=Asia%2FSingapore&wind_speed_unit=ms,28800,2026-05-07 05:00:00+08:00,historical_forecast
25.9,95,0.36,0.0,0.0,0.0,100,S124,Upper Changi Road North,1.36777,103.982262,https://historical-forecast-api.open-meteo.com/v1/forecast,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=1.36777%2C1.433789%2C1.372566%2C1.305738%2C1.354825%2C1.325746%2C1.310524%2C1.337859%2C1.4084245%2C1.2571%2C1.263757%2C1.390524%2C1.382564%2C1.24950363476734%2C1.41046864267577%2C1.286011%2C1.3418179%2C1.365386%2C1.280001%2C1.3715018&longitude=103.982262%2C103.780731%2C103.724358%2C103.878174%2C103.852219%2C103.939691%2C103.763426%2C103.695383%2C103.7808629%2C103.698%2C103.616417%2C103.749664%2C103.84619%2C103.819177652546%2C103.904965342662%2C103.846988%2C103.833913%2C103.692372%2C103.8697302%2C103.9642012&start_date=2026-05-07&end_date=2026-05-08&hourly=temperature_2m%2Crelative_humidity_2m%2Cwind_speed_10m%2Cshortwave_radiation%2Cdirect_radiation%2Cdiffuse_radiation%2Ccloud_cover&timezone=Asia%2FSingapore&wind_speed_unit=ms,28800,2026-05-07 06:00:00+08:00,historical_forecast
26.3,92,0.81,0.0,0.0,0.0,100,S124,Upper Changi Road North,1.36777,103.982262,https://historical-forecast-api.open-meteo.com/v1/forecast,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=1.36777%2C1.433789%2C1.372566%2C1.305738%2C1.354825%2C1.325746%2C1.310524%2C1.337859%2C1.4084245%2C1.2571%2C1.263757%2C1.390524%2C1.382564%2C1.24950363476734%2C1.41046864267577%2C1.286011%2C1.3418179%2C1.365386%2C1.280001%2C1.3715018&longitude=103.982262%2C103.780731%2C103.724358%2C103.878174%2C103.852219%2C103.939691%2C103.763426%2C103.695383%2C103.7808629%2C103.698%2C103.616417%2C103.749664%2C103.84619%2C103.819177652546%2C103.904965342662%2C103.846988%2C103.833913%2C103.692372%2C103.8697302%2C103.9642012&start_date=2026-05-07&end_date=2026-05-08&hourly=temperature_2m%2Crelative_humidity_2m%2Cwind_speed_10m%2Cshortwave_radiation%2Cdirect_radiation%2Cdiffuse_radiation%2Ccloud_cover&timezone=Asia%2FSingapore&wind_speed_unit=ms,28800,2026-05-07 07:00:00+08:00,historical_forecast
27.0,92,0.87,52.0,16.0,36.0,99,S124,Upper Changi Road North,1.36777,103.982262,https://historical-forecast-api.open-meteo.com/v1/forecast,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=1.36777%2C1.433789%2C1.372566%2C1.305738%2C1.354825%2C1.325746%2C1.310524%2C1.337859%2C1.4084245%2C1.2571%2C1.263757%2C1.390524%2C1.382564%2C1.24950363476734%2C1.41046864267577%2C1.286011%2C1.3418179%2C1.365386%2C1.280001%2C1.3715018&longitude=103.982262%2C103.780731%2C103.724358%2C103.878174%2C103.852219%2C103.939691%2C103.763426%2C103.695383%2C103.7808629%2C103.698%2C103.616417%2C103.749664%2C103.84619%2C103.819177652546%2C103.904965342662%2C103.846988%2C103.833913%2C103.692372%2C103.8697302%2C103.9642012&start_date=2026-05-07&end_date=2026-05-08&hourly=temperature_2m%2Crelative_humidity_2m%2Cwind_speed_10m%2Cshortwave_radiation%2Cdirect_radiation%2Cdiffuse_radiation%2Ccloud_cover&timezone=Asia%2FSingapore&wind_speed_unit=ms,28800,2026-05-07 08:00:00+08:00,historical_forecast
28.0,87,1.0,189.0,53.0,136.0,100,S124,Upper Changi Road North,1.36777,103.982262,https://historical-forecast-api.open-meteo.com/v1/forecast,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=1.36777%2C1.433789%2C1.372566%2C1.305738%2C1.354825%2C1.325746%2C1.310524%2C1.337859%2C1.4084245%2C1.2571%2C1.263757%2C1.390524%2C1.382564%2C1.24950363476734%2C1.41046864267577%2C1.286011%2C1.3418179%2C1.365386%2C1.280001%2C1.3715018&longitude=103.982262%2C103.780731%2C103.724358%2C103.878174%2C103.852219%2C103.939691%2C103.763426%2C103.695383%2C103.7808629%2C103.698%2C103.616417%2C103.749664%2C103.84619%2C103.819177652546%2C103.904965342662%2C103.846988%2C103.833913%2C103.692372%2C103.8697302%2C103.9642012&start_date=2026-05-07&end_date=2026-05-08&hourly=temperature_2m%2Crelative_humidity_2m%2Cwind_speed_10m%2Cshortwave_radiation%2Cdirect_radiation%2Cdiffuse_radiation%2Ccloud_cover&timezone=Asia%2FSingapore&wind_speed_unit=ms,28800,2026-05-07 09:00:00+08:00,historical_forecast
