run_id,scheduled_at_utc,started_at_utc,completed_at_utc,source,exit_code,rows_fetched,rows_added,stations_seen,station_ids_seen,warnings,api_status,commit_sha,chunk_path
gha_20260910_001015Z,2026-09-10T00:10:15Z,2026-09-10T00:10:15Z,2026-09-10T00:17:28Z,gha,0,30,30,30,"[""S124"", ""S125"", ""S126"", ""S127"", ""S128"", ""S129"", ""S131"", ""S132"", ""S133"", ""S135"", ""S137"", ""S138"", ""S139"", ""S140"", ""S141"", ""S142"", ""S143"", ""S144"", ""S145"", ""S146"", ""S147"", ""S148"", ""S149"", ""S150"", ""S151"", ""S153"", ""S180"", ""S184"", ""S187"", ""S910""]","[""openmeteo station_S135: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S147: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))""]",warn,f6517736d83571317698d3ea2e32846556d79e7f,data/calibration/v11/live_chunks/wbgt_pairs_2026-09-10.csv.gz
gha_20260910_045642Z,2026-09-10T04:56:42Z,2026-09-10T04:56:42Z,2026-09-10T05:04:36Z,gha,0,30,30,30,"[""S124"", ""S125"", ""S126"", ""S127"", ""S128"", ""S129"", ""S131"", ""S132"", ""S133"", ""S135"", ""S137"", ""S138"", ""S139"", ""S140"", ""S141"", ""S142"", ""S143"", ""S144"", ""S145"", ""S146"", ""S147"", ""S148"", ""S149"", ""S150"", ""S151"", ""S153"", ""S180"", ""S184"", ""S187"", ""S910""]","[""openmeteo station_S132: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S144: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S153: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))""]",warn,c5885e3e92442332e6555ff68fb5f47f09652780,data/calibration/v11/live_chunks/wbgt_pairs_2026-09-10.csv.gz
gha_20260910_093859Z,2026-09-10T09:38:58Z,2026-09-10T09:38:59Z,2026-09-10T09:47:25Z,gha,0,30,30,30,"[""S124"", ""S125"", ""S126"", ""S127"", ""S128"", ""S129"", ""S131"", ""S132"", ""S133"", ""S135"", ""S137"", ""S138"", ""S139"", ""S140"", ""S141"", ""S142"", ""S143"", ""S144"", ""S145"", ""S146"", ""S147"", ""S148"", ""S149"", ""S150"", ""S151"", ""S153"", ""S180"", ""S184"", ""S187"", ""S910""]","[""openmeteo station_S135: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S146: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S149: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))""]",warn,5f5af07fde7ab6624d98012c58de8639a9af5b22,data/calibration/v11/live_chunks/wbgt_pairs_2026-09-10.csv.gz
gha_20260910_135406Z,2026-09-10T13:54:05Z,2026-09-10T13:54:06Z,2026-09-10T13:59:37Z,gha,0,30,30,30,"[""S124"", ""S125"", ""S126"", ""S127"", ""S128"", ""S129"", ""S131"", ""S132"", ""S133"", ""S135"", ""S137"", ""S138"", ""S139"", ""S140"", ""S141"", ""S142"", ""S143"", ""S144"", ""S145"", ""S146"", ""S147"", ""S148"", ""S149"", ""S150"", ""S151"", ""S153"", ""S180"", ""S184"", ""S187"", ""S910""]","[""openmeteo station_S137: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S151: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))""]",warn,20ae8182581182a02c1ec6b79206d5f1f3613b29,data/calibration/v11/live_chunks/wbgt_pairs_2026-09-10.csv.gz
gha_20260910_174031Z,2026-09-10T17:40:31Z,2026-09-10T17:40:31Z,2026-09-10T17:48:28Z,gha,0,30,30,30,"[""S124"", ""S125"", ""S126"", ""S127"", ""S128"", ""S129"", ""S131"", ""S132"", ""S133"", ""S135"", ""S137"", ""S138"", ""S139"", ""S140"", ""S141"", ""S142"", ""S143"", ""S144"", ""S145"", ""S146"", ""S147"", ""S148"", ""S149"", ""S150"", ""S151"", ""S153"", ""S180"", ""S184"", ""S187"", ""S910""]","[""openmeteo station_S132: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S144: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))""]",warn,74f46e05de9741400c078ade17ba0d4be287f533,data/calibration/v11/live_chunks/wbgt_pairs_2026-09-10.csv.gz
gha_20260910_200725Z,2026-09-10T20:07:25Z,2026-09-10T20:07:25Z,2026-09-10T20:17:09Z,gha,0,30,30,30,"[""S124"", ""S125"", ""S126"", ""S127"", ""S128"", ""S129"", ""S131"", ""S132"", ""S133"", ""S135"", ""S137"", ""S138"", ""S139"", ""S140"", ""S141"", ""S142"", ""S143"", ""S144"", ""S145"", ""S146"", ""S147"", ""S148"", ""S149"", ""S150"", ""S151"", ""S153"", ""S180"", ""S184"", ""S187"", ""S910""]","[""openmeteo station_S132: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S144: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S148: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S138: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))""]",warn,871151ef98d76fd927af315f244040d998d87079,data/calibration/v11/live_chunks/wbgt_pairs_2026-09-10.csv.gz
gha_20260910_223551Z,2026-09-10T22:35:51Z,2026-09-10T22:35:51Z,2026-09-10T22:43:51Z,gha,0,30,30,30,"[""S124"", ""S125"", ""S126"", ""S127"", ""S128"", ""S129"", ""S131"", ""S132"", ""S133"", ""S135"", ""S137"", ""S138"", ""S139"", ""S140"", ""S141"", ""S142"", ""S143"", ""S144"", ""S145"", ""S146"", ""S147"", ""S148"", ""S149"", ""S150"", ""S151"", ""S153"", ""S180"", ""S184"", ""S187"", ""S910""]","[""openmeteo station_S135: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))"", ""openmeteo station_S145: ReadTimeout(ReadTimeoutError(\""HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=35)\""))""]",warn,2301a38d5a5ada12997d0c9734724e887c67670c,data/calibration/v11/live_chunks/wbgt_pairs_2026-09-10.csv.gz
