dataset,fold,n_M3,n_M4,M3_MAE,M4_MAE,delta
ablation_A_all,S124,212,212,0.7317656815586219,0.7115081031678255,-0.020257578390796338
ablation_A_all,S125,212,212,0.6953992994625433,0.750627875175936,0.05522857571339268
ablation_A_all,S126,212,212,0.7330911439925865,0.6993481436806337,-0.033743000311952764
ablation_A_all,S127,212,212,0.4826739038209812,0.4809292392044778,-0.0017446646165034108
ablation_A_all,S128,212,212,0.6515807176648638,0.631921956564313,-0.01965876110055076
ablation_A_all,S129,212,212,0.5588420519172919,0.5392170118266605,-0.019625040090631374
ablation_A_all,S130,212,212,0.5812572060979057,0.5576313361127839,-0.023625869985121728
ablation_A_all,S132,212,212,0.6265271492484719,0.6097937579116889,-0.016733391336782977
ablation_A_all,S135,212,212,0.9179889568244969,0.8971528182590426,-0.0208361385654543
ablation_A_all,S137,212,212,0.7126200677343671,0.7252299647034867,0.012609896969119516
ablation_A_all,S139,212,212,0.963739662337648,0.9323421785462888,-0.031397483791359204
ablation_A_all,S140,212,212,0.7800674344820067,0.6936551332862487,-0.08641230119575793
ablation_A_all,S141,212,212,0.6834745498935673,0.6809200946592731,-0.002554455234294206
ablation_A_all,S142,212,212,0.7176765409086231,0.7136962297317583,-0.003980311176864815
ablation_A_all,S143,212,212,0.9500009341179694,0.9340635022252349,-0.015937431892734444
ablation_A_all,S144,212,212,0.5992015765488475,0.5921330992613333,-0.007068477287514252
ablation_A_all,S145,212,212,0.5349749989863762,0.5250207590015685,-0.009954239984807711
ablation_A_all,S146,212,212,0.5804773235010056,0.5730705455670547,-0.007406777933950837
ablation_A_all,S147,212,212,0.7105672649105255,0.7293992724775885,0.018832007567063047
ablation_A_all,S148,212,212,0.621796131692473,0.6263655957502514,0.004569464057778361
ablation_A_all,S149,212,212,0.5994159818340622,0.610169809208668,0.01075382737460584
ablation_A_all,S150,212,212,0.547433423913258,0.5390583842322225,-0.008375039681035479
ablation_A_all,S151,212,212,0.6254420470504387,0.5760093334926681,-0.04943271355777057
ablation_A_all,S153,212,212,0.5175086004769576,0.4885343278708698,-0.02897427260608776
ablation_A_all,S180,212,212,0.6640449406380796,0.6214777567052386,-0.04256718393284098
ablation_A_all,S184,212,212,0.6085012984513221,0.6111325129650399,0.002631214513717839
ablation_A_all,S187,212,212,0.6218557639265275,0.6483341236780673,0.02647835975153978
ablation_B_retrospective,S124,212,212,0.7317656815586219,0.7115081031678255,-0.020257578390796338
ablation_B_retrospective,S125,212,212,0.6953992994625433,0.750627875175936,0.05522857571339268
ablation_B_retrospective,S126,212,212,0.7330911439925865,0.6993481436806337,-0.033743000311952764
ablation_B_retrospective,S127,212,212,0.4826739038209812,0.4809292392044778,-0.0017446646165034108
