n,tp,fp,tn,fn,precision,recall,f1,cv_scheme,model,event_threshold_c,score_threshold_c
5426,471,2460,2494,1,0.16069600818833163,0.9978813559322034,0.2768145753746694,loso,M0_raw_proxy,31,26.0
5426,471,2303,2651,1,0.16979091564527757,0.9978813559322034,0.2902033271719039,loso,M0_raw_proxy,31,26.1
5426,471,2198,2756,1,0.17647058823529413,0.9978813559322034,0.2999044890162369,loso,M0_raw_proxy,31,26.2
5426,461,2098,2856,11,0.18014849550605705,0.9766949152542372,0.3041900362916529,loso,M0_raw_proxy,31,26.3
5426,457,1930,3024,15,0.19145370758273983,0.9682203389830508,0.3196922000699545,loso,M0_raw_proxy,31,26.4
5426,456,1769,3185,16,0.2049438202247191,0.9661016949152542,0.3381535038932147,loso,M0_raw_proxy,31,26.5
5426,452,1603,3351,20,0.21995133819951337,0.9576271186440678,0.3577364463791056,loso,M0_raw_proxy,31,26.6
5426,448,1414,3540,24,0.24060150375939848,0.9491525423728814,0.3838903170522707,loso,M0_raw_proxy,31,26.7
5426,431,1262,3692,41,0.25457767277023036,0.913135593220339,0.39815242494226327,loso,M0_raw_proxy,31,26.8
5426,430,1172,3782,42,0.26841448189762795,0.9110169491525424,0.4146576663452266,loso,M0_raw_proxy,31,26.9
5426,419,1087,3867,53,0.2782204515272244,0.8877118644067796,0.42366026289180986,loso,M0_raw_proxy,31,27.0
5426,413,1055,3899,59,0.28133514986376024,0.875,0.4257731958762887,loso,M0_raw_proxy,31,27.1
5426,388,1017,3937,84,0.27615658362989326,0.8220338983050848,0.4134256792754396,loso,M0_raw_proxy,31,27.2
5426,357,985,3969,115,0.2660208643815201,0.7563559322033898,0.3936052921719955,loso,M0_raw_proxy,31,27.3
5426,351,916,4038,121,0.2770323599052881,0.7436440677966102,0.40368027602070156,loso,M0_raw_proxy,31,27.4
5426,333,854,4100,139,0.2805391743892165,0.7055084745762712,0.4014466546112116,loso,M0_raw_proxy,31,27.5
5426,308,816,4138,164,0.27402135231316727,0.652542372881356,0.3859649122807018,loso,M0_raw_proxy,31,27.6
5426,292,680,4274,180,0.3004115226337449,0.6186440677966102,0.40443213296398894,loso,M0_raw_proxy,31,27.7
5426,265,595,4359,207,0.3081395348837209,0.5614406779661016,0.39789789789789787,loso,M0_raw_proxy,31,27.8
5426,228,500,4454,244,0.3131868131868132,0.4830508474576271,0.37999999999999995,loso,M0_raw_proxy,31,27.9
5426,219,408,4546,253,0.3492822966507177,0.4639830508474576,0.3985441310282075,loso,M0_raw_proxy,31,28.0
5426,214,365,4589,258,0.3696027633851468,0.4533898305084746,0.40723120837297816,loso,M0_raw_proxy,31,28.1
5426,204,307,4647,268,0.39921722113502933,0.4322033898305085,0.4150559511698881,loso,M0_raw_proxy,31,28.2
5426,194,273,4681,278,0.41541755888650966,0.4110169491525424,0.4132055378061768,loso,M0_raw_proxy,31,28.3
5426,194,273,4681,278,0.41541755888650966,0.4110169491525424,0.4132055378061768,loso,M0_raw_proxy,31,28.4
5426,135,204,4750,337,0.39823008849557523,0.2860169491525424,0.33292231812577067,loso,M0_raw_proxy,31,28.5
5426,99,168,4786,373,0.3707865168539326,0.2097457627118644,0.26792963464140734,loso,M0_raw_proxy,31,28.6
5426,54,94,4860,418,0.36486486486486486,0.11440677966101695,0.17419354838709677,loso,M0_raw_proxy,31,28.7
5426,42,78,4876,430,0.35,0.08898305084745763,0.14189189189189189,loso,M0_raw_proxy,31,28.8
