ablation,filter_mode,description,n_rows,model,cv_scheme,mae,rmse,bias,r2
B_retrospective,retrospective_calibration,Valid-time-aligned weather only (proper retrospective filter),5724,M7_compact_weather_ridge,time_block,0.6876248675438767,0.9353591820517648,0.0014358311621657,0.7988093014730994
C_fresh_v11,fresh_v11_only,Only fresh v11 collector rows (excludes migrated v0.9/v10),810,M0_raw_proxy,loso,0.5951661794666557,0.7111051566793046,-0.4811325139302898,-0.3750113146981906
C_fresh_v11,fresh_v11_only,Only fresh v11 collector rows (excludes migrated v0.9/v10),810,M1_global_bias,loso,0.4237668260184485,0.5421907023556608,-0.0002704358648717,0.2006393827601293
C_fresh_v11,fresh_v11_only,Only fresh v11 collector rows (excludes migrated v0.9/v10),810,M1b_period_bias,loso,0.4237668260184485,0.5421907023556608,-0.0002704358648717,0.2006393827601293
C_fresh_v11,fresh_v11_only,Only fresh v11 collector rows (excludes migrated v0.9/v10),810,M2_linear_proxy,loso,0.4006400697831386,0.5098422643090644,-0.0014367948417869,0.2931776323935424
C_fresh_v11,fresh_v11_only,Only fresh v11 collector rows (excludes migrated v0.9/v10),810,M3_weather_ridge,loso,0.345012067938913,0.4408724471156434,-0.0086979466460462,0.4714762208739045
C_fresh_v11,fresh_v11_only,Only fresh v11 collector rows (excludes migrated v0.9/v10),810,M4_inertia_ridge,loso,0.3442458399388346,0.4305718784834616,-0.0076929686269808,0.4958846293361478
C_fresh_v11,fresh_v11_only,Only fresh v11 collector rows (excludes migrated v0.9/v10),810,M5_v10_morphology_ridge,loso,0.3423107560524391,0.4366509047984345,-0.0054979953708819,0.4815494438020014
C_fresh_v11,fresh_v11_only,Only fresh v11 collector rows (excludes migrated v0.9/v10),810,M6_v10_overhead_ridge,loso,0.342310756052439,0.4366509047984342,-0.0054979953708822,0.481549443802002
C_fresh_v11,fresh_v11_only,Only fresh v11 collector rows (excludes migrated v0.9/v10),810,M7_compact_weather_ridge,loso,0.3423107560524391,0.4366509047984345,-0.005497995370882,0.4815494438020016
C_fresh_v11,fresh_v11_only,Only fresh v11 collector rows (excludes migrated v0.9/v10),810,M0_raw_proxy,time_block,0.5951661794666557,0.7111051566793046,-0.4811325139302898,-0.3750113146981906
