dataset,n_folds,n_obs,M3_overall_MAE,M4_overall_MAE,mean_per_fold_delta,ci_low_95,ci_high_95,p_two_sided,ci_excludes_zero,note
ablation_A_all,27,5724,0.6673305426663637,0.6555089950098602,-0.01182154765650351,-0.021782051185158698,-0.0022289443648542896,0.0192,True,
ablation_B_retrospective,27,5724,0.6673305426663637,0.6555089950098602,-0.01182154765650351,-0.021506592788265187,-0.0018690820310882207,0.0172,True,
ablation_C_fresh_v11,4,810,0.34501206793891287,0.3442458399388346,-0.001048750065053436,-0.025210643938200147,0.02056956031069576,0.92,False,
ablation_D_migrated,26,5372,0.695407689315313,0.6773530180557141,-0.01786614449329399,-0.02866990525703866,-0.006997570811007375,0.0016,True,
all_stations,27,5724,0.6673305426663637,0.6555089950098602,-0.01182154765650351,-0.021664520148546498,-0.0023580411341473295,0.014,True,
hourly_max,27,1674,0.6483717248549112,0.6385250252038897,-0.009846699651021489,-0.021475594563190217,-4.475165845471598e-05,0.0492,True,
hourly_mean,27,1674,0.6049700708565096,0.5932173011879793,-0.011752769668530332,-0.024549064449712027,0.00046594500119113427,0.0616,False,
no_S142,27,5724,0.6525845934330835,0.64073161047288,-0.011852982960203488,-0.021681890706554286,-0.0019066373533343625,0.0212,True,
