cell_id,cell_area_m2,centroid_x_svy21,centroid_y_svy21,lon,lat
TP_0001,10000.0,28750.0,34250.0,103.84005773633349,1.3260193455325362
TP_0002,10000.0,28850.0,34250.0,103.84095629063009,1.3260193429122338
TP_0003,10000.0,28950.0,34250.0,103.8418548449248,1.3260193399637201
TP_0004,10000.0,29050.0,34250.0,103.84275339921739,1.326019336686995
TP_0005,10000.0,29150.0,34250.0,103.84365195350763,1.3260193330820584
TP_0006,10000.0,29250.0,34250.0,103.84455050779535,1.3260193291489106
TP_0007,10000.0,29350.0,34250.0,103.84544906208026,1.326019324887551
TP_0008,10000.0,29450.0,34250.0,103.84634761636218,1.3260193202979802
TP_0009,10000.0,29550.0,34250.0,103.84724617064089,1.3260193153801978
TP_0010,10000.0,29650.0,34250.0,103.84814472491612,1.3260193101342048
TP_0011,10000.0,29750.0,34250.0,103.84904327918771,1.3260193045599993
TP_0012,10000.0,29850.0,34250.0,103.8499418334554,1.326019298657583
TP_0013,10000.0,29950.0,34250.0,103.85084038771897,1.3260192924269556
TP_0014,10000.0,30050.0,34250.0,103.85173894197821,1.3260192858681163
TP_0015,10000.0,30150.0,34250.0,103.85263749623289,1.326019278981066
TP_0016,10000.0,30250.0,34250.0,103.85353605048279,1.3260192717658044
TP_0017,10000.0,30350.0,34250.0,103.85443460472769,1.326019264222331
TP_0018,10000.0,30450.0,34250.0,103.85533315896734,1.3260192563506468
TP_0019,10000.0,30550.0,34250.0,103.85623171320155,1.326019248150751
TP_0020,10000.0,30650.0,34250.0,103.8571302674301,1.3260192396226438
TP_0021,10000.0,30750.0,34250.0,103.85802882165274,1.3260192307663254
TP_0022,10000.0,30850.0,34250.0,103.85892737586926,1.3260192215817954
TP_0023,10000.0,30950.0,34250.0,103.85982593007945,1.3260192120690546
TP_0024,10000.0,31050.0,34250.0,103.86072448428308,1.3260192022281028
TP_0025,10000.0,31150.0,34250.0,103.8616230384799,1.326019192058939
TP_0026,10000.0,31250.0,34250.0,103.86252159266975,1.3260191815615645
