cell_id,open_pixel_fraction,building_pixel_fraction,n_total_pixels,n_open_pixels,svf_umep_mean_open_with_veg,svf_umep_p10_open_with_veg,svf_umep_p90_open_with_veg,shade_fraction_umep_10_16_open_with_veg,shade_fraction_umep_13_15_open_with_veg,shade_fraction_umep_peak_open_with_veg,shade_fraction_umep_1000_open_with_veg,shade_fraction_umep_1100_open_with_veg,shade_fraction_umep_1200_open_with_veg,shade_fraction_umep_1300_open_with_veg,shade_fraction_umep_1400_open_with_veg,shade_fraction_umep_1500_open_with_veg,shade_fraction_umep_1600_open_with_veg,svf_umep_mean_all_with_veg,dsm_mean_height_all,dsm_max_height,dsm_mean_height_buildings_only,umep_dsm_resolution_m,umep_shadow_date,umep_shadow_time_window,umep_includes_vegetation,veg_canopy_source,veg_transmissivity_pct,veg_trunk_zone_pct
TP_0001,1.0,0.0,2500,2500,0.8361362218856812,0.3584167957305908,0.9796692132949829,0.12294057756662369,0.11484799534082413,0.1742119938135147,0.14705200493335724,0.12765200436115265,0.12416000664234161,0.12416000664234161,0.11019200086593628,0.11019200086593628,0.11717600375413895,0.8361362218856812,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8),True,"ETH GlobalCanopyHeight 2020 10m, resampled bilinear to 2m",3,25
TP_0002,1.0,0.0,2500,2500,0.5146422386169434,0.029958168044686317,0.9542620182037354,0.42458289861679077,0.42266136407852173,0.4954760670661926,0.4287400245666504,0.4124440550804138,0.4074000418186188,0.4074000418186188,0.4302920401096344,0.4302920401096344,0.45551204681396484,0.5146422386169434,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8),True,"ETH GlobalCanopyHeight 2020 10m, resampled bilinear to 2m",3,25
TP_0003,0.9436,0.056400000000000006,2500,2359,0.9370983242988586,0.8672875165939331,0.976629376411438,0.019802579656243324,0.0002826056443154812,0.06909707188606262,0.06867316365242004,0.04578211158514023,0.022891055792570114,0.0,0.0004239084373693913,0.0004239084373693913,0.0004239084373693913,0.9404051899909973,0.7049999833106995,12.5,12.5,2,20260320,10:00-16:00 LST (UTC+8),True,"ETH GlobalCanopyHeight 2020 10m, resampled bilinear to 2m",3,25
TP_0004,0.7764,0.22360000000000002,2500,1941,0.6916871070861816,0.026777388527989388,0.961316704750061,0.18001988530158997,0.16722998023033142,0.2634827494621277,0.19960331916809082,0.1791963130235672,0.16580115258693695,0.15492016077041626,0.16089646518230438,0.18587327003479004,0.2138485610485077,0.7560925483703613,2.7950000762939453,12.5,12.5,2,20260320,10:00-16:00 LST (UTC+8),True,"ETH GlobalCanopyHeight 2020 10m, resampled bilinear to 2m",3,25
TP_0005,0.8832,0.11680000000000001,2500,2208,0.3257160186767578,0.027143413200974464,0.8781387805938721,0.6176010370254517,0.5984330177307129,0.7196105718612671,0.6559013724327087,0.6241123676300049,0.6024140119552612,0.5838451385498047,0.5987228751182556,0.6127310395240784,0.6454801559448242,0.39554542303085327,1.3726400136947632,12.5,11.752055168151855,2,20260320,10:00-16:00 LST (UTC+8),True,"ETH GlobalCanopyHeight 2020 10m, resampled bilinear to 2m",3,25
TP_0006,1.0,0.0,2500,2500,0.7127825617790222,0.030622432008385658,0.9500901103019714,0.22182516753673553,0.21934933960437775,0.2580200135707855,0.22969602048397064,0.21728000044822693,0.2141759991645813,0.2141759991645813,0.22193603217601776,0.22193603217601776,0.23357602953910828,0.7127825617790222,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8),True,"ETH GlobalCanopyHeight 2020 10m, resampled bilinear to 2m",3,25
TP_0007,1.0,0.0,2500,2500,0.487162709236145,0.029752293601632118,0.9348782896995544,0.44359493255615234,0.43520674109458923,0.5206960439682007,0.46637606620788574,0.4407680630683899,0.43688803911209106,0.43688803911209106,0.43378403782844543,0.43494805693626404,0.45551204681396484,0.487162709236145,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8),True,"ETH GlobalCanopyHeight 2020 10m, resampled bilinear to 2m",3,25
TP_0008,1.0,0.0,2500,2500,0.7192140817642212,0.033768247812986374,0.9540990591049194,0.2160051465034485,0.20874398946762085,0.2859559953212738,0.2343520075082779,0.21844398975372314,0.20874401926994324,0.20874401926994324,0.20874398946762085,0.20874398946762085,0.2242640107870102,0.7192140817642212,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8),True,"ETH GlobalCanopyHeight 2020 10m, resampled bilinear to 2m",3,25
TP_0009,1.0,0.0,2500,2500,0.44937950372695923,0.029790835455060005,0.9251514673233032,0.4964738190174103,0.4824134409427643,0.5691961050033569,0.5451400876045227,0.5009080767631531,0.4927600622177124,0.4927600622177124,0.47724008560180664,0.47724008560180664,0.48926812410354614,0.44937950372695923,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8),True,"ETH GlobalCanopyHeight 2020 10m, resampled bilinear to 2m",3,25
TP_0010,1.0,0.0,2500,2500,0.5601521730422974,0.029707171022892,0.9620473384857178,0.37153780460357666,0.370022714138031,0.43882808089256287,0.370540052652359,0.3585120737552643,0.3561840355396271,0.3561840355396271,0.37674805521965027,0.3771360218524933,0.40546005964279175,0.5601521730422974,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8),True,"ETH GlobalCanopyHeight 2020 10m, resampled bilinear to 2m",3,25
