,delta_solweig_minus_proxy_c,delta_solweig_minus_proxy_c,delta_solweig_minus_proxy_c,delta_solweig_minus_proxy_c,delta_solweig_minus_proxy_c,delta_solweig_minus_proxy_c,empirical_T_globe_c,empirical_T_globe_c,empirical_T_globe_c,empirical_T_globe_c,empirical_T_globe_c,empirical_T_globe_c,tmrt_mean_c,tmrt_mean_c,tmrt_mean_c,tmrt_mean_c,tmrt_mean_c,tmrt_mean_c
tile_type,clean_hazard_top,clean_shaded_reference,conservative_risk_top,open_paved_hotspot,overhead_confounded_hazard_case,social_risk_top,clean_hazard_top,clean_shaded_reference,conservative_risk_top,open_paved_hotspot,overhead_confounded_hazard_case,social_risk_top,clean_hazard_top,clean_shaded_reference,conservative_risk_top,open_paved_hotspot,overhead_confounded_hazard_case,social_risk_top
tmrt_hour_sgt,,,,,,,,,,,,,,,,,,
10,16.71755255165138,3.3154071659091926,15.298538574600599,12.309196838760755,14.782169708633802,13.074077972793958,29.60484277305565,29.60484277305565,29.60484277305565,29.60484277305565,29.60484277305565,29.60484277305565,46.32239532470703,32.920249938964844,44.90338134765625,41.914039611816406,44.38701248168945,42.67892074584961
12,29.736366275076314,3.627979281668111,27.78343582463686,25.38825226140444,27.161029818777486,26.96684646916811,32.39639663385923,32.39639663385923,32.39639663385923,32.39639663385923,32.39639663385923,32.39639663385923,62.13276290893555,36.024375915527344,60.179832458496094,57.78464889526367,59.55742645263672,59.363243103027344
13,30.69596327858084,4.476084128190216,28.672685995865997,25.943674460221466,28.063837424088653,27.11191023903006,31.643075570296112,31.643075570296112,31.643075570296112,31.643075570296112,31.643075570296112,31.643075570296112,62.33903884887695,36.11915969848633,60.31576156616211,57.58675003051758,59.706912994384766,58.75498580932617
15,29.79400150537353,5.175421640871576,27.720774576662592,24.264769480227045,27.064257547853998,24.69262974023681,30.739636495114752,30.739636495114752,30.739636495114752,30.739636495114752,30.739636495114752,30.739636495114752,60.53363800048828,35.91505813598633,58.460411071777344,55.0044059753418,57.80389404296875,55.43226623535156
16,21.403177200617634,4.362440048518025,19.71494096404537,16.04419892913326,19.168302475275844,16.552843033137165,30.136896194157757,30.136896194157757,30.136896194157757,30.136896194157757,30.136896194157757,30.136896194157757,51.54007339477539,34.49933624267578,49.851837158203125,46.181095123291016,49.3051986694336,46.68973922729492
