cell_id,old_valid_pixel_count,old_building_pixel_count,old_building_area_m2,old_building_density,old_open_pixel_fraction,old_dsm_mean_all_m,old_dsm_max_all_m,old_building_height_mean_m,old_building_height_max_m,old_building_height_p50_m,old_building_height_p90_m,v10_valid_pixel_count,v10_building_pixel_count,v10_building_area_m2,v10_building_density,v10_open_pixel_fraction,v10_dsm_mean_all_m,v10_dsm_max_all_m,v10_building_height_mean_m,v10_building_height_max_m,v10_building_height_p50_m,v10_building_height_p90_m,cell_area_m2,delta_building_area_m2,delta_building_density,delta_open_pixel_fraction,delta_building_height_mean_m,delta_building_height_max_m,delta_building_height_p50_m,delta_building_height_p90_m,lat,lon,land_use_hint,road_fraction,gvi_percent,tree_canopy_fraction,ndvi_mean,shade_fraction,svf,building_density,mean_building_height_m,max_building_height_m,hazard_rank_true_v08,hazard_score,max_utci_c,max_wbgt_proxy_c,risk_rank_v08_conditioned,risk_priority_score_v08_conditioned,risk_rank_v08_social_conditioned,risk_priority_score_v08_social_conditioned,risk_rank_v08_candidate_policy,risk_priority_score_v08_candidate_policy,vulnerability_score_v071,outdoor_exposure_score_v071,old_vs_osm_completeness,reviewed_vs_osm_completeness,coverage_gain_vs_osm,old_dsm_area_m2,reviewed_dsm_area_m2,osm_area_m2,reviewed_minus_old_dsm_area_m2,old_hazard_top20,old_hazard_top50,old_hazard_topN,low_old_completeness,zero_old_completeness,high_coverage_gain,large_building_area_gain,large_building_density_gain,v10_building_density_nontrivial,possible_old_dsm_gap_false_positive,audit_flags
TP_0001,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,863,3452.0,0.3452000000055696,0.6548,3.9612,15.0,11.475086906141367,15.0,15.0,15.0,9999.999999838656,3452.0,0.3452000000055696,-0.3451999999999999,11.475086906141367,15.0,15.0,15.0,1.3260193455325362,103.84005773633348,residential,0.3220820220423007,8.637317177462588,0.0,0.3119403817213908,0.1229405775666236,0.8361362218856812,0.0,11.87045605861922,13.2,156,0.6177714595787427,39.693254817403385,28.74244406517449,185,0.5017456681724131,185,0.4105599065734355,186,0.3040412166273039,0.2840315431333727,0.1958181485337493,0.0,0.994130233683186,0.994130233683186,0.0,3452.0,3472.382071321351,3452.0,False,False,False,True,True,True,True,True,True,False,zero_old_completeness;high_coverage_gain;large_building_density_gain
TP_0002,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1012,4048.0,0.4047999999968043,0.5952,5.7444,21.0,14.190711462450594,21.0,15.0,15.0,10000.000000078944,4048.0,0.4047999999968043,-0.4048,14.190711462450594,21.0,15.0,15.0,1.3260193429122338,103.84095629063007,residential,0.2408424982856742,7.172960977702185,0.0,0.2793991328378263,0.4245828986167907,0.5146422386169434,0.0,13.193986794233217,13.2,543,0.3496284628567234,35.484999076925995,28.103483126668955,543,0.1748142314283617,543,0.1748142314283617,531,0.1748142314283617,0.2856726342298907,0.2950342733973223,0.0,1.0028156451319772,1.0028156451319772,0.0,4048.0,4036.634270367069,4048.0,False,False,False,True,True,True,True,True,True,False,zero_old_completeness;high_coverage_gain;large_building_density_gain
TP_0003,2500,141,564.0,0.056399999999766,0.9436,0.705,12.5,12.5,12.5,12.5,12.5,2500,391,1564.0,0.1563999999993513,0.8436,1.9674,21.0,12.57928388746803,21.0,12.5,21.0,10000.000000041471,1000.0,0.0999999999995852,-0.0999999999999999,0.0792838874680299,8.5,0.0,8.5,1.32601933996372,103.8418548449248,transport,0.4535387896289363,0.0,0.0,0.0959076282964351,0.0198025796562433,0.9370983242988586,0.0336183757961947,15.536627563679655,8.929753442676295,16,0.7145702205039032,41.68238719101562,29.13617180305245,29,0.5957100105702027,59,0.4990407747874902,33,0.5818539101609534,0.3051463243719314,0.3789001132641855,0.3586194543433075,0.9944695506966896,0.6358500963533822,564.0,1564.0,1572.697725037753,1000.0,True,True,True,False,False,True,True,False,True,False,old_top20_hazard;high_coverage_gain
TP_0004,2500,559,2236.0,0.2236,0.7764,2.795,12.5,12.5,12.5,12.5,12.5,2500,1172,4688.0,0.4688,0.5312,4.2518,12.5,9.069539249146755,12.5,6.0,12.5,10000.0,2452.0,0.2452,-0.2451999999999999,-3.4304607508532428,0.0,-6.5,0.0,1.326019336686995,103.8427533992174,residential,0.1089573062999985,6.047197523840713,0.0,0.2543821671964603,0.1800198853015899,0.6916871070861816,0.1619118094187601,18.70512830847269,24.42048839272008,275,0.5287285027043075,38.3252510064611,28.458403446139336,275,0.2643642513521537,275,0.2643642513521537,237,0.2643642513521537,0.3344914283480003,0.400947227611731,0.4762687232274744,0.998545516319499,0.5222767930920246,2236.0,4688.0,4694.828551510923,2452.0,False,False,False,False,False,True,True,True,True,False,high_coverage_gain;large_building_density_gain
TP_0005,2500,292,1168.0,0.116799999999762,0.8832,1.3726399990081788,12.5,11.752054786028928,12.5,12.5,12.5,2500,843,3372.0,0.337199999999313,0.6628000000000001,3.5750399990081787,20.0,10.60213522837538,20.0,12.0,12.5,10000.000000020373,2204.0,0.220399999999551,-0.2203999999999999,-1.1499195576535453,7.5,-0.5,0.0,1.3260193330820584,103.84365195350765,residential,0.0233886337246692,13.469892772412472,0.0,0.4193309504980549,0.6176010370254517,0.3257160186767578,0.0724896855648343,22.263256319937152,18.22353520964302,830,0.1568318615587174,33.369975754845015,27.577234195252185,830,0.0784159307793587,830,0.0784159307793587,827,0.0784159307793587,0.3428969498788831,0.4228237816358512,0.548156219088577,1.582519495519419,1.034363276430842,1168.0,3372.0,2130.779437186796,2204.0,False,False,False,False,False,True,True,True,True,False,high_coverage_gain;large_building_density_gain
TP_0006,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1304,5216.0,0.5216000000052088,0.4784,5.9328,12.0,11.374233128834357,12.0,12.0,12.0,9999.999999900136,5216.0,0.5216000000052088,-0.5216,11.374233128834357,12.0,12.0,12.0,1.3260193291489106,103.84455050779536,civic_institutional,0.0052474822666447,4.979082372600915,0.0,0.230646274946687,0.2218251675367355,0.7127825617790222,0.0,25.076679660487688,6.6,383,0.4596374344698258,37.80289490760752,28.245207779214923,383,0.2298187172349129,383,0.2298187172349129,353,0.2298187172349129,0.3562541118481718,0.4229349177581431,0.0,3.626299570607711,3.626299570607711,0.0,5216.0,1438.3808889583495,5216.0,False,False,False,True,True,True,True,True,True,False,zero_old_completeness;high_coverage_gain;large_building_density_gain
TP_0007,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,796,3184.0,0.3184,0.6816,9.756,87.0,30.64070351758794,87.0,27.0,87.0,10000.0,3184.0,0.3184,-0.3184,30.64070351758794,87.0,27.0,87.0,1.326019324887551,103.84544906208026,residential,0.2143815181744911,7.396193683846008,0.0,0.2843598596410224,0.4435949325561523,0.487162709236145,0.0,25.562512618026204,13.2,570,0.3344615301816133,35.25787034580766,28.06697370264961,570,0.1672307650908066,570,0.1672307650908066,559,0.1672307650908066,0.3753101978476508,0.4130067180584987,0.0,1.1545632586214858,1.1545632586214858,0.0,3184.0,2757.752748690099,3184.0,False,False,False,True,True,True,True,True,True,False,zero_old_completeness;high_coverage_gain;large_building_density_gain
TP_0008,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1264,5056.0,0.5055999999987401,0.4943999999999999,8.3928,42.0,16.599683544303797,42.0,12.0,42.0,10000.00000002492,5056.0,0.5055999999987401,-0.5056,16.599683544303797,42.0,12.0,42.0,1.3260193202979802,103.84634761636218,residential,0.1237017666895889,1.965424316230283,0.0,0.1636760959162285,0.2160051465034485,0.7192140817642212,0.0,23.73899503202849,13.2,276,0.5285767432826209,38.15541019838879,28.481230057572347,276,0.2642883716413104,276,0.2642883716413104,238,0.2642883716413104,0.3843324052091731,0.4187299804713641,0.0,1.0024656738905673,1.0024656738905673,0.0,5056.0,5043.564215398692,5056.0,False,False,False,True,True,True,True,True,True,False,zero_old_completeness;high_coverage_gain;large_building_density_gain
TP_0009,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,430,1720.0,0.1720000000003942,0.8280000000000001,3.276,33.0,19.046511627906977,33.0,24.0,33.0,9999.99999997708,1720.0,0.1720000000003942,-0.1719999999999999,19.046511627906977,33.0,24.0,33.0,1.3260193153801978,103.84724617064089,residential,0.2606039905906929,12.106516242539682,0.0,0.3890336942786596,0.4964738190174103,0.4493795037269592,0.0,23.59353986803494,13.2,613,0.305260588500555,34.76328148107953,28.025623289435902,613,0.1526302942502775,613,0.1526302942502775,604,0.1526302942502775,0.3682180067048954,0.3671835755261697,0.0,0.9960175750591928,0.9960175750591928,0.0,1720.0,1726.8771586663831,1720.0,False,False,False,True,True,True,True,True,True,False,zero_old_completeness;high_coverage_gain;large_building_density_gain
TP_0010,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,832,3328.0,0.3327999999998547,0.6672,7.3912,36.0,22.209134615384617,36.0,21.0,27.0,10000.000000004366,3328.0,0.3327999999998547,-0.3328,22.209134615384617,36.0,21.0,27.0,1.3260193101342048,103.84814472491612,residential,0.2905641335598114,7.361087015825885,0.0,0.2835797114627974,0.3715378046035766,0.5601521730422974,0.0,25.166387850088515,13.2,435,0.4234321363999808,36.162005960989546,28.290720952713727,435,0.2117160681999904,435,0.2117160681999904,414,0.2117160681999904,0.358658373748739,0.3810185434783789,0.0,0.9993737997367252,0.9993737997367252,0.0,3328.0,3330.08530029177,3328.0,False,False,False,True,True,True,True,True,True,False,zero_old_completeness;high_coverage_gain;large_building_density_gain
TP_0011,2500,126,504.0,0.0503999999998698,0.9496,0.756,15.0,15.0,15.0,15.0,15.0,2500,829,3316.0,0.3315999999991434,0.6684,7.572,42.0,22.83474065138721,42.0,18.0,42.0,10000.00000002583,2812.0,0.2811999999992736,-0.2812,7.834740651387214,27.0,3.0,27.0,1.3260193045599993,103.84904327918773,residential,0.3948733843621772,1.9394308405605871,0.0,0.1630984631235686,0.0671717450022697,0.8799460530281067,0.0503284303022354,27.118992502648823,16.687760219944916,41,0.6947913640703177,40.84960368555237,29.08818518339473,44,0.5847575641105546,64,0.4960878674648178,44,0.5502929848556665,0.3541889281466022,0.3850210460628537,0.1394835191145876,0.9177129948094696,0.778229475694882,504.0,3316.0,3613.330113831993,2812.0,False,True,True,True,False,True,True,True,True,True,old_top50_hazard;low_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0012,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,985,3940.0,0.3940000000010463,0.606,5.1092,42.0,12.96751269035533,42.0,12.0,20.0,9999.999999973445,3940.0,0.3940000000010463,-0.394,12.96751269035533,42.0,12.0,20.0,1.326019298657583,103.8499418334554,residential,0.3005538286123534,3.183793092421727,0.0,0.1907509576093717,0.0215617157518863,0.9571115374565125,0.0,28.640912141879177,13.2,21,0.7104770564056284,41.682072516940025,29.06871140120445,26,0.5977648306011224,45,0.506658455831353,31,0.5884608936713063,0.3478511083182824,0.3917931384289149,0.0,1.0007592107930023,1.0007592107930023,0.0,3940.0,3937.010978772747,3940.0,False,True,True,True,True,True,True,True,True,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive
TP_0013,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,791,3164.0,0.3164000000022848,0.6836,7.698,48.0,24.329962073324904,48.0,20.0,48.0,9999.999999927786,3164.0,0.3164000000022848,-0.3164,24.329962073324904,48.0,20.0,48.0,1.3260192924269556,103.85084038771896,residential,0.1062399866381305,9.078672570870411,0.0,0.3217482793526758,0.2198851853609085,0.7319834232330322,0.0,29.52600081369242,13.2,326,0.4975555764324127,38.01939767427415,28.391658084741167,326,0.2487777882162063,326,0.2487777882162063,294,0.2487777882162063,0.3509060278149264,0.3238254116140686,0.0,1.0041668304276845,1.0041668304276845,0.0,3164.0,3150.870855445825,3164.0,False,False,False,True,True,True,True,True,True,False,zero_old_completeness;high_coverage_gain;large_building_density_gain
TP_0014,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,687,2748.0,0.2747999999935918,0.7252000000000001,9.926,69.0,36.12081513828239,69.0,30.0,69.0,10000.000000233194,2748.0,0.2747999999935918,-0.2747999999999999,36.12081513828239,69.0,30.0,69.0,1.3260192858681163,103.8517389419782,residential,0.0806039086542701,8.376681978979116,0.0,0.3061484884217581,0.3345668911933899,0.6017600297927856,0.0,30.0266940628069,13.2,475,0.3994376343905653,36.40965540242541,28.175917983082748,475,0.1997188171952826,475,0.1997188171952826,456,0.1997188171952826,0.3564772530046406,0.2845121971469757,0.0,0.9966663047878568,0.9966663047878568,0.0,2748.0,2757.1916365577536,2748.0,False,False,False,True,True,True,True,True,True,False,zero_old_completeness;high_coverage_gain;large_building_density_gain
