regime_variable,candidate_id,candidate_family,event_target,output_kind,validation_method,operating_point,regime_bin,threshold_mean,n,event_count,observed_event_rate,mean_output_value,probability_bias,mean_expected_exceedance_above31_c,TP,FP,FN,TN,precision,recall,F1,CSI,false_alarm_ratio,miss_rate
combined_radiation_hot_regime,M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,highradiation_not_hot,31.0,155,2,0.012903225806451613,27.03308712611448,,0.004516129032258083,0,0,2,153,,0.0,,0.0,,1.0
combined_radiation_hot_regime,M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,hot_not_highradiation,31.0,60,0,0.0,26.436513059791874,,0.0,0,0,0,60,,,,,,
combined_radiation_hot_regime,M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,other,31.0,706,0,0.0,25.760657350582758,,0.0,0,0,0,706,,,,,,
combined_radiation_hot_regime,M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,radiation_hot,31.0,753,202,0.2682602921646746,29.337405341953545,,0.2103585657370518,120,56,82,495,0.6818181818181818,0.594059405940594,0.6349206349206349,0.46511627906976744,0.3181818181818182,0.40594059405940597
combined_radiation_hot_regime,M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,highradiation_not_hot,31.0,143,2,0.013986013986013986,27.08492837596336,,0.004895104895104915,0,0,2,141,,0.0,,0.0,,1.0
combined_radiation_hot_regime,M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,hot_not_highradiation,31.0,80,0,0.0,26.28435764759545,,0.0,0,0,0,80,,,,,,
combined_radiation_hot_regime,M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,other,31.0,686,0,0.0,25.742800947332142,,0.0,0,0,0,686,,,,,,
combined_radiation_hot_regime,M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,radiation_hot,31.0,765,202,0.26405228758169935,29.305352076538302,,0.20705882352941177,117,45,85,518,0.7222222222222222,0.5792079207920792,0.6428571428571429,0.47368421052631576,0.2777777777777778,0.4207920792079208
combined_radiation_hot_regime,cost_sensitive_logistic_score_weather,weighted_logistic,ge31,probability,station_grouped_loso,best_F1,highradiation_not_hot,0.5990967741935483,155,2,0.012903225806451613,0.02689928751003835,0.013996061703586736,0.004516129032258083,0,0,2,153,,0.0,,0.0,,1.0
combined_radiation_hot_regime,cost_sensitive_logistic_score_weather,weighted_logistic,ge31,probability,station_grouped_loso,best_F1,hot_not_highradiation,0.574,60,0,0.0,1.2415466419295176e-06,1.2415466419295176e-06,0.0,0,0,0,60,,,,,,
