baseline_candidate_id,baseline_operating_point,candidate_id,candidate_family,candidate_operating_point,delta_recall,delta_miss_rate,delta_precision,delta_false_alarm_ratio,delta_F1,delta_CSI,candidate_precision,candidate_recall,candidate_F1,candidate_CSI,candidate_false_alarm_ratio,candidate_miss_rate,station_where_it_improves_misses,station_where_it_worsens_false_alarms,radiation_hot_misses_improved_count,radiation_hot_false_alarm_delta,radiation_hot_recall_delta
current_companion_m4_isotonic,best_F1,M4_inertia_ridge_fixed_score_31,fixed_score_baseline,fixed_score_31,-0.17647058823529405,0.1764705882352941,0.0035573122529644063,-0.0035573122529644063,-0.08731506184816884,-0.09961261759822904,0.6818181818181818,0.5882352941176471,0.631578947368421,0.46153846153846156,0.3181818181818182,0.4117647058823529,,,-36.0,-18.0,-0.17821782178217827
current_companion_m4_isotonic,best_F1,M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,fixed_score_31,-0.19117647058823528,0.19117647058823528,0.04396135265700485,-0.04396135265700479,-0.07954974692150785,-0.09127156106440143,0.7222222222222222,0.5735294117647058,0.639344262295082,0.46987951807228917,0.2777777777777778,0.4264705882352941,,,-39.0,-29.0,-0.19306930693069313
current_companion_m4_isotonic,best_F1,cost_sensitive_logistic_score_weather,weighted_logistic,best_F1,0.08823529411764708,-0.08823529411764705,-0.03142072086633263,0.031420720866332685,0.016835377675587737,0.020788720194413024,0.6468401486988847,0.8529411764705882,0.7357293868921776,0.5819397993311036,0.35315985130111527,0.14705882352941177,S137:3;S135:3;S128:2;S141:2;S142:2,S126:2;S140:2;S130:2;S150:2;S153:2,18.0,21.0,0.08910891089108908
current_companion_m4_isotonic,best_F1,cost_sensitive_logistic_score_weather,weighted_logistic,current_companion_threshold,0.18137254901960786,-0.18137254901960784,-0.15093846519363263,0.15093846519363274,-0.04170102676044951,-0.04921473961414413,0.5273224043715847,0.946078431372549,0.6771929824561403,0.5119363395225465,0.4726775956284153,0.05392156862745098,S137:4;S142:4;S135:3;S128:3;S129:3,S140:7;S150:6;S124:5;S187:5;S151:5,37.0,97.0,0.1831683168316831
current_companion_m4_isotonic,best_F1,cost_sensitive_logistic_score_weather,weighted_logistic,precision_70,-0.06372549019607843,0.06372549019607843,0.02617262797172848,-0.02617262797172837,-0.016191306513887227,-0.01948441247002397,0.7044334975369458,0.7009803921568627,0.7027027027027026,0.5416666666666666,0.2955665024630542,0.29901960784313725,S125:1,S125:1,-13.0,-14.0,-0.06435643564356441
current_companion_m4_isotonic,best_F1,cost_sensitive_logistic_score_weather,weighted_logistic,recall_90,0.1421568627450981,-0.14215686274509803,-0.10903010033444815,0.10903010033444821,-0.01946111696706254,-0.02336038146227204,0.5692307692307692,0.9068627450980392,0.6994328922495273,0.5377906976744186,0.4307692307692308,0.09313725490196079,S142:3;S129:3;S137:3;S135:3;S128:2,S124:4;S127:4;S147:4;S144:4;S145:4,29.0,66.0,0.14356435643564358
current_companion_m4_isotonic,best_F1,cost_sensitive_logistic_score_weather,weighted_logistic,selected_candidate_policy,0.08823529411764708,-0.08823529411764705,-0.03142072086633263,0.031420720866332685,0.016835377675587737,0.020788720194413024,0.6468401486988847,0.8529411764705882,0.7357293868921776,0.5819397993311036,0.35315985130111527,0.14705882352941177,S137:3;S135:3;S128:2;S141:2;S142:2,S126:2;S140:2;S130:2;S150:2;S153:2,18.0,21.0,0.08910891089108908
current_companion_m4_isotonic,best_F1,high_tail_residual_correction,residual_correction_isotonic,best_F1,0.02450980392156865,-0.024509803921568624,-0.01842480399144686,0.018424803991446914,-0.00014400921658985766,-0.00017546938059298522,0.6598360655737705,0.7892156862745098,0.71875,0.5609756097560976,0.3401639344262295,0.2107843137254902,S128:1;S129:1;S130:1;S135:1;S137:1,S139:2;S125:1;S127:1;S126:1;S130:1,5.0,9.0,0.024752475247524774
current_companion_m4_isotonic,best_F1,high_tail_residual_correction,residual_correction_isotonic,current_companion_threshold,0.03431372549019618,-0.03431372549019607,-0.026260869565217337,0.026260869565217393,-0.0008323352077792556,-0.0010136220920170524,0.652,0.7990196078431373,0.7180616740088106,0.5601374570446735,0.348,0.20098039215686275,S128:1;S129:1;S130:1;S135:1;S137:1,S139:2;S187:2;S127:1;S126:1;S125:1,7.0,13.0,0.034653465346534684
current_companion_m4_isotonic,best_F1,high_tail_residual_correction,residual_correction_isotonic,precision_70,-0.3444160272804774,0.34441602728047743,-0.25179028132992326,0.25179028132992326,-0.2955363449830132,-0.29263256061817206,0.4264705882352941,0.42028985507246375,0.4233576642335767,0.26851851851851855,0.5735294117647058,0.5797101449275363,,S139:1,6.0,-35.0,-0.35198737265030855
current_companion_m4_isotonic,best_F1,high_tail_residual_correction,residual_correction_isotonic,recall_90,0.1470588235294118,-0.14705882352941174,-0.15578895945285776,0.15578895945285787,-0.05460829493087549,-0.06382487592813446,0.5224719101123596,0.9117647058823529,0.6642857142857144,0.49732620320855614,0.47752808988764045,0.08823529411764706,S142:5;S137:3;S132:2;S128:2;S129:2,S130:5;S126:5;S150:5;S187:5;S184:5,30.0,96.0,0.14851485148514854
current_companion_m4_isotonic,best_F1,logistic_score_plus_regime_diagnostic,weighted_logistic,best_F1,0.02450980392156865,-0.024509803921568624,-0.034260869565217345,0.0342608695652174,-0.009642907895003994,-0.011663024529182109,0.644,0.7892156862745098,0.7092511013215859,0.5494880546075085,0.356,0.2107843137254902,S125:1;S129:1;S132:1;S135:1;S137:1,S124:1;S126:1;S127:1;S129:1;S130:1,5.0,15.0,0.024752475247524774
current_companion_m4_isotonic,best_F1,logistic_score_plus_regime_diagnostic,weighted_logistic,current_companion_threshold,0.1470588235294118,-0.14705882352941174,-0.1874956980612596,0.1874956980612596,-0.08081510698674421,-0.09263722523240847,0.49076517150395776,0.9117647058823529,0.6380789022298456,0.46851385390428213,0.5092348284960422,0.08823529411764706,S142:5;S129:3;S135:3;S128:3;S148:2,S145:9;S140:9;S146:9;S150:8;S125:7,30.0,112.0,0.14851485148514854
current_companion_m4_isotonic,best_F1,logistic_score_plus_regime_diagnostic,weighted_logistic,precision_70,-0.696078431372549,0.696078431372549,-0.3192865105908584,0.3192865105908585,-0.6036676717680302,-0.5000157079576513,0.358974358974359,0.06862745098039216,0.11522633744855967,0.0611353711790393,0.6410256410256411,0.9313725490196079,,,-142.0,-49.0,-0.7029702970297029
current_companion_m4_isotonic,best_F1,logistic_score_plus_regime_diagnostic,weighted_logistic,recall_90,0.1911764705882354,-0.19117647058823528,-0.1335681321350498,0.1335681321350498,-0.02494383128064681,-0.02981592927293042,0.5446927374301676,0.9558823529411765,0.693950177935943,0.5313351498637602,0.4553072625698324,0.04411764705882353,S142:5;S137:4;S129:3;S135:3;S128:3,S130:5;S146:5;S140:5;S150:5;S187:5,39.0,89.0,0.19306930693069302
current_companion_m4_isotonic,recall_90,M4_inertia_ridge_fixed_score_31,fixed_score_baseline,fixed_score_31,-0.3578431372549019,0.3578431372549019,0.1366204417051874,-0.13662044170518745,-0.06017732503301265,-0.06722866174920972,0.6818181818181818,0.5882352941176471,0.631578947368421,0.46153846153846156,0.3181818181818182,0.4117647058823529,,,-73.0,-105.0,-0.3613861386138614
