candidate_id,candidate_family,event_target,diagnostic_only,validation_method,bin_kind,probability_bin,n,event_count,observed_event_rate,mean_predicted_probability,calibration_gap,abs_calibration_gap,ECE,MCE,p_min,p_max,station_count,low_support,low_support_bin_count
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,fixed,"[0.00,0.10)",1239,7,0.005649717514124294,0.0036102718259043267,-0.002039445688219967,0.002039445688219967,0.04528610549827571,0.4071442035935308,1e-06,0.0989528406753231,27,False,1
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,fixed,"[0.10,0.20)",40,2,0.05,0.14107604697529513,0.09107604697529513,0.09107604697529513,0.04528610549827571,0.4071442035935308,0.1001594297961696,0.19676151398390523,19,False,1
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,fixed,"[0.20,0.30)",27,1,0.037037037037037035,0.24770304265443524,0.2106660056173982,0.2106660056173982,0.04528610549827571,0.4071442035935308,0.20403760958475733,0.29627920243509076,20,True,1
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,fixed,"[0.30,0.40)",34,11,0.3235294117647059,0.35653308893379376,0.033003677169087864,0.033003677169087864,0.04528610549827571,0.4071442035935308,0.3027405473373702,0.3921935527632476,18,False,1
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,fixed,"[0.40,0.50)",30,1,0.03333333333333333,0.44047753692686414,0.4071442035935308,0.4071442035935308,0.04528610549827571,0.4071442035935308,0.40040317917514623,0.48792407180636277,18,False,1
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,fixed,"[0.50,0.60)",39,13,0.3333333333333333,0.5481619758579473,0.21482864252461403,0.21482864252461403,0.04528610549827571,0.4071442035935308,0.5004193110295844,0.5930842777536811,23,False,1
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,fixed,"[0.60,0.70)",54,23,0.42592592592592593,0.6458160441257796,0.2198901181998537,0.2198901181998537,0.04528610549827571,0.4071442035935308,0.6003717929069966,0.6994134512281893,21,False,1
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,fixed,"[0.70,0.80)",76,55,0.7236842105263158,0.7569716700048973,0.03328745947858147,0.03328745947858147,0.04528610549827571,0.4071442035935308,0.7072252566528905,0.796823268777893,26,False,1
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,fixed,"[0.80,0.90)",88,60,0.6818181818181818,0.8462875733383545,0.1644693915201727,0.1644693915201727,0.04528610549827571,0.4071442035935308,0.8001260298937036,0.8985012901517451,27,False,1
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,fixed,"[0.90,1.00)",47,31,0.6595744680851063,0.9438096897611294,0.2842352216760231,0.2842352216760231,0.04528610549827571,0.4071442035935308,0.9004225097624751,0.9943312509119425,24,False,1
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,quantile,"(-0.000999, 0.000284]",1004,0,0.0,8.660474799078865e-06,8.660474799078865e-06,8.660474799078865e-06,0.04226714109241603,0.18970798912302334,1e-06,0.0002703379679493583,27,False,0
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,quantile,"(0.000284, 0.0184]",168,0,0.0,0.005932611651854381,0.005932611651854381,0.005932611651854381,0.04226714109241603,0.18970798912302334,0.00028711407734962545,0.01831580810993071,27,False,0
