candidate_id,candidate_family,event_target,output_kind,validation_method,operating_point,station_id,focus_station_flag,threshold_mean,n,event_count,observed_event_rate,mean_output_value,probability_bias,Brier,mean_expected_exceedance_above31_c,TP,FP,FN,TN,precision,recall,F1,CSI,false_alarm_ratio,miss_rate
M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S148,False,31.0,62,5,0.08064516129032258,27.66011740710261,,,0.014516129032258098,3,4,2,53,0.42857142857142855,0.6,0.5,0.3333333333333333,0.5714285714285714,0.4
M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S149,False,31.0,62,5,0.08064516129032258,27.663081154960533,,,0.02903225806451614,3,4,2,53,0.42857142857142855,0.6,0.5,0.3333333333333333,0.5714285714285714,0.4
M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S150,False,31.0,62,3,0.04838709677419355,27.525114530332218,,,0.008064516129032258,2,5,1,54,0.2857142857142857,0.6666666666666666,0.4,0.25,0.7142857142857143,0.3333333333333333
M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S151,False,31.0,62,9,0.14516129032258066,27.47127575635378,,,0.11774193548387109,6,0,3,53,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333
M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S153,False,31.0,62,7,0.11290322580645161,27.43457216077793,,,0.040322580645161234,5,2,2,53,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5555555555555556,0.2857142857142857,0.2857142857142857
M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S180,False,31.0,62,9,0.14516129032258066,27.445441333438758,,,0.04838709677419355,7,0,2,53,1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778,0.0,0.2222222222222222
M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S184,False,31.0,62,6,0.0967741935483871,27.480060550136887,,,0.08548387096774189,4,2,2,54,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333
M4_inertia_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S187,False,31.0,62,8,0.12903225806451613,27.51021506392724,,,0.09838709677419351,6,1,2,53,0.8571428571428571,0.75,0.7999999999999999,0.6666666666666666,0.14285714285714285,0.25
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S124,False,31.0,62,0,0.0,27.63514775665437,,,0.0,0,7,0,55,0.0,,,0.0,1.0,
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S125,False,31.0,62,8,0.12903225806451613,27.343962476598726,,,0.07419354838709685,5,1,3,53,0.8333333333333334,0.625,0.7142857142857143,0.5555555555555556,0.16666666666666666,0.375
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S126,False,31.0,62,8,0.12903225806451613,27.425531596897102,,,0.1129032258064515,4,2,4,52,0.6666666666666666,0.5,0.5714285714285715,0.4,0.3333333333333333,0.5
