split_type,model,period,official_event_threshold,criterion,selected_model_decision_threshold,selected_n,selected_event_count,selected_non_event_count,selected_tp,selected_fp,selected_fn,selected_tn,selected_precision,selected_recall,selected_f1,selected_specificity,selected_balanced_accuracy,note
LOSO,M1b_period_bias,daytime,31.0,best_f1,29.8,971.0,268.0,703.0,206.0,397.0,62.0,306.0,0.3416252072968491,0.7686567164179104,0.4730195177956373,0.4352773826458037,0.6019670495318571,
LOSO,M1b_period_bias,daytime,31.0,recall_ge_0.6,30.0,971.0,268.0,703.0,165.0,303.0,103.0,400.0,0.3525641025641026,0.6156716417910447,0.44836956521739135,0.5689900426742532,0.592330842232649,
LOSO,M1b_period_bias,daytime,31.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M1b_period_bias,daytime,33.0,best_f1,29.4,971.0,10.0,961.0,10.0,938.0,0.0,23.0,0.010548523206751054,1.0,0.020876826722338204,0.023933402705515087,0.5119667013527576,
LOSO,M1b_period_bias,daytime,33.0,recall_ge_0.6,29.4,971.0,10.0,961.0,10.0,938.0,0.0,23.0,0.010548523206751054,1.0,0.020876826722338204,0.023933402705515087,0.5119667013527576,
LOSO,M1b_period_bias,daytime,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M1b_period_bias,nighttime,31.0,best_f1,27.0,1161.0,0.0,1161.0,0.0,9.0,0.0,1152.0,0.0,,,0.9922480620155039,0.9922480620155039,
LOSO,M1b_period_bias,nighttime,31.0,recall_ge_0.6,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M1b_period_bias,nighttime,31.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M1b_period_bias,nighttime,33.0,best_f1,27.0,1161.0,0.0,1161.0,0.0,9.0,0.0,1152.0,0.0,,,0.9922480620155039,0.9922480620155039,
LOSO,M1b_period_bias,nighttime,33.0,recall_ge_0.6,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M1b_period_bias,nighttime,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M1b_period_bias,overall,31.0,best_f1,29.8,2564.0,268.0,2296.0,206.0,397.0,62.0,1899.0,0.3416252072968491,0.7686567164179104,0.4730195177956373,0.8270905923344948,0.7978736543762026,
LOSO,M1b_period_bias,overall,31.0,recall_ge_0.6,30.0,2564.0,268.0,2296.0,165.0,303.0,103.0,1993.0,0.3525641025641026,0.6156716417910447,0.44836956521739135,0.8680313588850174,0.741851500338031,
LOSO,M1b_period_bias,overall,31.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M1b_period_bias,overall,33.0,best_f1,29.4,2564.0,10.0,2554.0,10.0,938.0,0.0,1616.0,0.010548523206751054,1.0,0.020876826722338204,0.6327329678935004,0.8163664839467502,
LOSO,M1b_period_bias,overall,33.0,recall_ge_0.6,29.4,2564.0,10.0,2554.0,10.0,938.0,0.0,1616.0,0.010548523206751054,1.0,0.020876826722338204,0.6327329678935004,0.8163664839467502,
LOSO,M1b_period_bias,overall,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M1b_period_bias,peak,31.0,best_f1,29.4,431.0,205.0,226.0,205.0,222.0,0.0,4.0,0.48009367681498827,1.0,0.6487341772151899,0.017699115044247787,0.5088495575221239,
LOSO,M1b_period_bias,peak,31.0,recall_ge_0.6,29.6,431.0,205.0,226.0,194.0,206.0,11.0,20.0,0.485,0.9463414634146341,0.6413223140495868,0.08849557522123894,0.5174185193179365,
LOSO,M1b_period_bias,peak,31.0,precision_ge_0.5,31.2,431.0,205.0,226.0,3.0,3.0,202.0,223.0,0.5,0.014634146341463415,0.028436018957345974,0.9867256637168141,0.5006799050291387,
LOSO,M1b_period_bias,peak,33.0,best_f1,29.4,431.0,10.0,421.0,10.0,417.0,0.0,4.0,0.0234192037470726,1.0,0.045766590389016024,0.009501187648456057,0.504750593824228,
LOSO,M1b_period_bias,peak,33.0,recall_ge_0.6,29.4,431.0,10.0,421.0,10.0,417.0,0.0,4.0,0.0234192037470726,1.0,0.045766590389016024,0.009501187648456057,0.504750593824228,
LOSO,M1b_period_bias,peak,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M3_regime_current_ridge,daytime,31.0,best_f1,30.0,971.0,268.0,703.0,249.0,330.0,19.0,373.0,0.43005181347150256,0.9291044776119403,0.5879574970484062,0.5305832147937412,0.7298438462028407,
LOSO,M3_regime_current_ridge,daytime,31.0,recall_ge_0.6,30.3,971.0,268.0,703.0,217.0,268.0,51.0,435.0,0.44742268041237115,0.8097014925373134,0.5763612217795485,0.6187766714082503,0.7142390819727819,
LOSO,M3_regime_current_ridge,daytime,31.0,precision_ge_0.5,31.4,971.0,268.0,703.0,6.0,6.0,262.0,697.0,0.5,0.022388059701492536,0.04285714285714286,0.9914651493598862,0.5069266045306894,
LOSO,M3_regime_current_ridge,daytime,33.0,best_f1,30.2,971.0,10.0,961.0,10.0,519.0,0.0,442.0,0.01890359168241966,1.0,0.03710575139146568,0.4599375650364204,0.7299687825182102,
LOSO,M3_regime_current_ridge,daytime,33.0,recall_ge_0.6,30.2,971.0,10.0,961.0,10.0,519.0,0.0,442.0,0.01890359168241966,1.0,0.03710575139146568,0.4599375650364204,0.7299687825182102,
LOSO,M3_regime_current_ridge,daytime,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M3_regime_current_ridge,nighttime,31.0,best_f1,27.0,1161.0,0.0,1161.0,0.0,9.0,0.0,1152.0,0.0,,,0.9922480620155039,0.9922480620155039,
LOSO,M3_regime_current_ridge,nighttime,31.0,recall_ge_0.6,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M3_regime_current_ridge,nighttime,31.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
