split_type,model,period,official_event_threshold,model_decision_threshold,n,event_count,non_event_count,tp,fp,fn,tn,precision,recall,f1,specificity,balanced_accuracy
LOSO,M1b_period_bias,overall,31.0,27.0,2564,268,2296,268,740,0,1556,0.26587301587301587,1.0,0.4200626959247649,0.6777003484320557,0.8388501742160279
LOSO,M1b_period_bias,overall,31.0,27.1,2564,268,2296,268,709,0,1587,0.2743091095189355,1.0,0.43052208835341366,0.6912020905923345,0.8456010452961673
LOSO,M1b_period_bias,overall,31.0,27.2,2564,268,2296,268,704,0,1592,0.2757201646090535,1.0,0.4322580645161291,0.6933797909407665,0.8466898954703832
LOSO,M1b_period_bias,overall,31.0,27.3,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,27.4,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,27.5,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,27.6,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,27.7,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,27.8,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,27.9,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,28.0,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,28.1,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,28.2,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,28.3,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,28.4,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,28.5,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,28.6,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,28.7,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,28.8,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,28.9,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,29.0,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,29.1,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,29.2,2564,268,2296,268,703,0,1593,0.2760041194644696,1.0,0.43260694108151737,0.693815331010453,0.8469076655052266
LOSO,M1b_period_bias,overall,31.0,29.3,2564,268,2296,268,694,0,1602,0.2785862785862786,1.0,0.4357723577235772,0.6977351916376306,0.8488675958188153
LOSO,M1b_period_bias,overall,31.0,29.4,2564,268,2296,263,685,5,1611,0.27742616033755274,0.9813432835820896,0.4325657894736842,0.7016550522648084,0.8414991679234489
LOSO,M1b_period_bias,overall,31.0,29.5,2564,268,2296,256,658,12,1638,0.2800875273522976,0.9552238805970149,0.4331641285956007,0.7134146341463414,0.8343192573716782
LOSO,M1b_period_bias,overall,31.0,29.6,2564,268,2296,240,592,28,1704,0.28846153846153844,0.8955223880597015,0.43636363636363634,0.7421602787456446,0.8188413334026731
LOSO,M1b_period_bias,overall,31.0,29.7,2564,268,2296,230,497,38,1799,0.31636863823933975,0.8582089552238806,0.4623115577889447,0.7835365853658537,0.8208727702948672
LOSO,M1b_period_bias,overall,31.0,29.8,2564,268,2296,206,397,62,1899,0.3416252072968491,0.7686567164179104,0.4730195177956373,0.8270905923344948,0.7978736543762026
LOSO,M1b_period_bias,overall,31.0,29.9,2564,268,2296,182,345,86,1951,0.34535104364326374,0.6791044776119403,0.45786163522012574,0.8497386759581882,0.7644215767850642
LOSO,M1b_period_bias,overall,31.0,30.0,2564,268,2296,165,303,103,1993,0.3525641025641026,0.6156716417910447,0.44836956521739135,0.8680313588850174,0.741851500338031
