timestamp_sgt,station_id,station_name,official_wbgt_c,heat_stress_category,M0_raw_proxy,M1_global_bias,M1b_period_bias,M2_linear_proxy,M3_regime_current_ridge,M4_inertia_ridge,M5_inertia_morphology_ridge,M1b_period_bias_event31_bestF1_decision,M1b_period_bias_decision_threshold31_bestF1,M3_regime_current_ridge_event31_bestF1_decision,M3_regime_current_ridge_decision_threshold31_bestF1,M4_inertia_ridge_event31_bestF1_decision,M4_inertia_ridge_decision_threshold31_bestF1,M5_inertia_morphology_ridge_event31_bestF1_decision,M5_inertia_morphology_ridge_decision_threshold31_bestF1
2026-05-07 02:00:00+08:00,S127,Stadium Road,25.9,Low,25.36502499647249,26.485073494353617,25.47840848384573,25.67826787755485,25.50547865521352,25.474380834437483,25.60880238192118,False,29.8,False,30.0,False,30.1,False,30.1
2026-05-07 02:00:00+08:00,S128,Bishan Street,25.1,Low,24.74886834933417,25.877551260153083,24.874812537178403,24.491646067308924,25.04834517155725,25.016540645957527,24.930048960901143,False,29.8,False,30.0,False,30.1,False,30.1
2026-05-07 02:00:00+08:00,S145,MacRitchie Reservoir,24.7,Low,24.52942689456677,25.67518875940885,24.64757579767144,24.00946949204582,24.86174718022924,24.831168636262056,25.115829383196992,False,29.8,False,30.0,False,30.1,False,30.1
2026-05-07 02:15:00+08:00,S127,Stadium Road,25.9,Low,25.36502499647249,26.485073494353617,25.47840848384573,25.67826787755485,25.501084028327902,25.46734337333548,25.59455009503001,False,29.8,False,30.0,False,30.1,False,30.1
2026-05-07 02:15:00+08:00,S128,Bishan Street,25.0,Low,24.74744910463909,25.876132015458005,24.873393292483325,24.488909814091794,25.03583570068348,25.003701785883017,24.92036184477709,False,29.8,False,30.0,False,30.1,False,30.1
2026-05-07 02:15:00+08:00,S145,MacRitchie Reservoir,24.8,Low,24.504303105101634,25.65006496994372,24.6224520082063,23.96005584553355,24.8344306215317,24.8029451365077,25.085725410955085,False,29.8,False,30.0,False,30.1,False,30.1
2026-05-07 02:30:00+08:00,S127,Stadium Road,25.9,Low,25.36502499647249,26.485073494353617,25.47840848384573,25.67826787755485,25.496180961673247,25.460121379175604,25.58075296008708,False,29.8,False,30.0,False,30.1,False,30.1
2026-05-07 02:30:00+08:00,S128,Bishan Street,25.0,Low,24.746007790850765,25.87469070166968,24.871951978695,24.486131012449004,25.022865927729832,24.990575567157183,24.911106907313048,False,29.8,False,30.0,False,30.1,False,30.1
2026-05-07 02:30:00+08:00,S145,MacRitchie Reservoir,24.9,Low,24.47917931518285,25.624941180024933,24.597328218287515,23.91064219812905,24.80670939546945,24.774543521438297,25.056287094706267,False,29.8,False,30.0,False,30.1,False,30.1
2026-05-07 02:45:00+08:00,S127,Stadium Road,25.7,Low,25.36502499647249,26.485073494353617,25.47840848384573,25.67826787755485,25.49079300987519,25.452748259998604,25.56746840047997,False,29.8,False,30.0,False,30.1,False,30.1
