archive_run_utc,archive_source,archive_status,api_name,variable,value,unit,timestamp,record_updated_timestamp,station_id,device_id,station_name,station_town_center,station_lat,station_lon,heat_stress_category,reading_type,reading_unit,api_version,endpoint_url,fetch_timestamp_utc,value_missing
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,26.6,deg C,2026-05-07 02:08:00+08:00,,S109,S109,Ang Mo Kio Avenue 5,,1.3764,103.8492,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,26.1,deg C,2026-05-07 02:08:00+08:00,,S106,S106,Pulau Ubin,,1.4168,103.9673,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,27.3,deg C,2026-05-07 02:08:00+08:00,,S117,S117,Banyan Road,,1.256,103.679,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,28.5,deg C,2026-05-07 02:08:00+08:00,,S107,S107,East Coast Parkway,,1.3135,103.9625,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,26.2,deg C,2026-05-07 02:08:00+08:00,,S104,S104,Woodlands Avenue 9,,1.44387,103.78538,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,26.9,deg C,2026-05-07 02:08:00+08:00,,S115,S115,Tuas South Avenue 3,,1.29377,103.61843,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,27.5,deg C,2026-05-07 02:08:00+08:00,,S116,S116,West Coast Highway,,1.281,103.754,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,28.9,deg C,2026-05-07 02:08:00+08:00,,S102,S102,Semakau Island Landfill,,1.189,103.768,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,27.9,deg C,2026-05-07 02:08:00+08:00,,S60,S60,Sentosa,,1.25,103.8279,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,26.4,deg C,2026-05-07 02:08:00+08:00,,S50,S50,Clementi Road,,1.3337,103.7768,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
2026-05-06T18:13:57+00:00,live_v2,ok,air_temperature,air_temperature_c,26.1,deg C,2026-05-07 02:08:00+08:00,,S44,S44,Nanyang Avenue,,1.34583,103.68166,,DBT 1M F,deg C,v2,https://api-open.data.gov.sg/v2/real-time/api/air-temperature,2026-05-06T18:13:51+00:00,False
