building_id,source_name,geometry_source,area_m2,height_m,height_source,height_confidence,lu_desc_v10,height_warning
v10_bldg_000816,osm,osm,2064.6351643683156,133.0,explicit:height_m_original,medium_high,RESIDENTIAL,
v10_bldg_000891,osm,osm,1473.59700666876,133.0,explicit:height_m_original,medium_high,RESIDENTIAL,
v10_bldg_000973,osm,osm,1131.8036843932455,120.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000981,osm,osm,1099.7070635404336,120.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000987,osm,osm,1087.0675888893009,120.0,osm_levels_x_3m:levels_original,medium_high,EDUCATIONAL INSTITUTION,
v10_bldg_001005,osm,osm,1031.9561930386583,120.0,osm_levels_x_3m:levels_original,medium_high,EDUCATIONAL INSTITUTION,
v10_bldg_001067,osm,osm,891.5952804561699,120.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001090,osm,osm,852.8965220883804,120.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000641,ura,ura,840.5029449973605,120.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001158,osm,osm,738.5398014253841,120.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001165,osm,osm,724.7978631413889,120.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001185,osm,osm,692.5875757668794,120.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001326,osm,osm,506.7143221333981,120.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001369,osm,osm,464.48977619451193,120.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000461,hdb3d,hdb3d,757.2416315257211,118.9,height_m,high,RESIDENTIAL,
v10_bldg_000462,hdb3d,hdb3d,757.0910622569995,118.9,height_m,high,RESIDENTIAL,
v10_bldg_001003,osm,osm,1035.6685162556403,117.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001114,osm,osm,810.3725806199343,117.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001115,osm,osm,810.1443369747636,117.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001122,osm,osm,802.3148763016774,117.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001137,osm,osm,766.257394735601,117.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
