source_name,n,area_sum_m2,area_mean_m2,height_non_null
hdb3d,599,820945.9803529172,1370.5275131100454,599
osm,5215,2522823.078398716,483.7628146498018,154
ura,678,800203.297474482,1180.2408517322742,0
