candidate_id,source_name,source_building_id,area_m2,dedup_status,canonical_building_id,best_candidate_overlap,best_iou,best_existing_overlap,best_centroid_distance_m,best_area_ratio,best_existing_building_id
cand_osm_001459,osm,osm_453366964,420.06412339248345,accepted_new,v10_bldg_001434,0.0,,,,,
cand_osm_002165,osm,osm_453941692,419.94026326997755,accepted_new,v10_bldg_001435,0.0,,,,,
cand_osm_001338,osm,osm_439331300,419.6463039463815,merged_duplicate,v10_bldg_000663,0.9943549808445921,0.9830648696508489,0.9885820715001539,0.25844082307227106,0.9941943174664497,v10_bldg_000663
cand_osm_001327,osm,osm_439331277,418.8465688939531,merged_duplicate,v10_bldg_000662,0.9912063204829753,0.9661994143261602,0.9745531139382891,0.19136011696251015,0.9831990512968363,v10_bldg_000662
cand_osm_002341,osm,osm_453978625,418.47263940536544,accepted_new,v10_bldg_001436,0.0,,,,,
cand_osm_000808,osm,osm_261019237,417.2843824444736,accepted_new,v10_bldg_001437,0.0,,,,,
cand_osm_001678,osm,osm_453477094,417.18993035220836,accepted_new,v10_bldg_001438,0.0,,,,,
cand_osm_002590,osm,osm_455099101,417.05133492891446,accepted_new,v10_bldg_001439,0.0,,,,,
cand_osm_001679,osm,osm_453477095,416.84983969300646,accepted_new,v10_bldg_001440,0.0,,,,,
cand_osm_002468,osm,osm_454209277,416.7901127012083,accepted_new,v10_bldg_001441,0.0,,,,,
cand_osm_002322,osm,osm_453978596,416.45068852889233,accepted_new,v10_bldg_001442,0.0,,,,,
cand_osm_002235,osm,osm_453956986,416.2632798046278,accepted_new,v10_bldg_001443,0.0,,,,,
cand_osm_002794,osm,osm_541984277,415.7766220839639,accepted_new,v10_bldg_001444,0.0,,,,,
cand_osm_000555,osm,osm_170403708,414.9211727878064,merged_duplicate,v10_bldg_000551,0.8448222459435746,0.6716245565011123,0.7661390189627029,3.0566757845229082,0.9068641630133791,v10_bldg_000551
cand_osm_000543,osm,osm_170402475,414.88863968454837,merged_duplicate,v10_bldg_000546,0.8797057171960552,0.6826097172912909,0.752886085555212,3.016963212494219,0.855838572875184,v10_bldg_000546
cand_osm_000549,osm,osm_170403422,414.8424674590523,merged_duplicate,v10_bldg_000550,0.90983269776075,0.762591831790671,0.8249366376441338,2.2613053082071617,0.9066904714179216,v10_bldg_000550
cand_osm_000544,osm,osm_170402476,414.8402057768677,merged_duplicate,v10_bldg_000549,0.8729901101608081,0.6994979840247857,0.7787504924690081,2.615833607968966,0.8920496159178244,v10_bldg_000549
cand_osm_002298,osm,osm_453978562,414.7148455285079,accepted_new,v10_bldg_001445,0.0,,,,,
cand_osm_000830,osm,osm_261019276,414.3617704354235,accepted_new,v10_bldg_001446,0.0,,,,,
cand_osm_000906,osm,osm_261166425,413.05596124726003,accepted_new,v10_bldg_001447,0.0,,,,,
cand_osm_001113,osm,osm_292213189,412.551795777292,accepted_new,v10_bldg_001448,0.0,,,,,
cand_osm_000868,osm,osm_261166387,411.7617936006488,accepted_new,v10_bldg_001449,0.0,,,,,
cand_osm_000687,osm,osm_231917956,411.54083007376727,accepted_new,v10_bldg_001450,0.0,,,,,
cand_osm_001364,osm,osm_439331470,410.98163270616976,merged_duplicate,v10_bldg_000562,0.7818808091963747,0.780841417883909,0.9983004382469647,0.87316323542528,1.2767936321049091,v10_bldg_000562
cand_osm_001369,osm,osm_439331497,410.9427905324772,merged_duplicate,v10_bldg_000556,0.5507253063651488,0.407318850750892,0.6100195080287611,4.16876517452447,1.1076656565048026,v10_bldg_000556
cand_osm_001649,osm,osm_453477048,408.8190323681224,accepted_new,v10_bldg_001451,0.0,,,,,
cand_osm_001880,osm,osm_453775673,408.17841984930726,accepted_new,v10_bldg_001452,0.0,,,,,
cand_osm_001640,osm,osm_453470920,407.6313364203713,accepted_new,v10_bldg_001453,0.0,,,,,
cand_osm_001023,osm,osm_271791531,406.5363880917812,accepted_new,v10_bldg_001454,0.0,,,,,
