cell_id,old_dsm_area_m2,new_dsm_area_m2,osm_area_m2,osm_count_intersections,old_vs_osm_completeness,new_vs_osm_completeness,coverage_gain_vs_osm,new_minus_old_dsm_area_m2
TP_0001,0.0,3452.0,3472.382071321351,21.0,0.0,0.994130233683186,0.994130233683186,3452.0
TP_0002,0.0,4048.0,4036.634270367069,22.0,0.0,1.0028156451319772,1.0028156451319772,4048.0
TP_0003,564.0,1564.0,1572.6977250377527,6.0,0.35861945434330755,0.9944695506966897,0.6358500963533822,1000.0
TP_0004,2236.0,4688.0,4694.828551510922,19.0,0.47626872322747443,0.9985455163194992,0.5222767930920247,2452.0
TP_0005,1168.0,2180.0,2130.779437186796,10.0,0.548156219088577,1.0230997924769674,0.4749435733883903,1012.0
TP_0006,0.0,1436.0,1438.3808889583495,2.0,0.0,0.9983447437485952,0.9983447437485952,1436.0
TP_0007,0.0,2784.0,2757.7527486900985,5.0,0.0,1.0095176231162741,1.0095176231162741,2784.0
TP_0008,0.0,5056.0,5043.564215398692,15.0,0.0,1.0024656738905673,1.0024656738905673,5056.0
TP_0009,0.0,1720.0,1726.8771586663831,5.0,0.0,0.9960175750591929,0.9960175750591929,1720.0
TP_0010,0.0,3328.0,3330.0853002917706,15.0,0.0,0.9993737997367251,0.9993737997367251,3328.0
TP_0011,504.0,3316.0,3613.330113831993,8.0,0.13948351911458767,0.9177129948094696,0.7782294756948819,2812.0
TP_0012,0.0,3940.0,3937.0109787727474,13.0,0.0,1.0007592107930023,1.0007592107930023,3940.0
TP_0013,0.0,3164.0,3150.870855445825,5.0,0.0,1.0041668304276843,1.0041668304276843,3164.0
TP_0014,0.0,2748.0,2757.191636557754,7.0,0.0,0.9966663047878568,0.9966663047878568,2748.0
TP_0015,0.0,3776.0,3768.0998054406887,9.0,0.0,1.002096599073067,1.002096599073067,3776.0
TP_0016,0.0,1836.0,1831.5200784744543,5.0,0.0,1.0024460127836967,1.0024460127836967,1836.0
TP_0017,24.0,900.0,940.5506012956442,4.0,0.02551696842991657,0.9568863161218714,0.9313693476919548,876.0
TP_0018,796.0,1168.0,1672.604608809485,4.0,0.47590446409601334,0.6983120779700297,0.22240761387401636,372.0
TP_0019,636.0,696.0,855.8303515505332,7.0,0.7431379348111924,0.8132452871518708,0.07010735234067844,60.0
TP_0020,2980.0,2980.0,3204.6064796406276,6.0,0.929911369440339,0.929911369440339,0.0,0.0
TP_0021,3428.0,3588.0,3576.632449419083,7.0,0.9584434656003795,1.003178283131319,0.04473481753093944,160.0
TP_0022,2388.0,2492.0,2509.903089355718,6.0,0.951431156894982,0.992867019674328,0.04143586277934597,104.0
TP_0023,1556.0,1248.0,1531.8263824711146,3.0,1.0157809121226187,0.8147137392860078,-0.2010671728366109,-308.0
TP_0024,428.0,456.0,472.6248112249007,2.0,0.9055808959558287,0.9648245059716306,0.05924361001580192,28.0
TP_0025,0.0,20.0,21.53692122527822,1.0,0.0,0.9286378396799673,0.9286378396799673,20.0
TP_0026,0.0,2908.0,2920.657425187301,9.0,0.0,0.9956662410736208,0.9956662410736208,2908.0
TP_0027,0.0,4104.0,4103.66000846949,45.0,0.0,1.0000828508038697,1.0000828508038697,4104.0
TP_0028,0.0,4308.0,4313.566972261906,42.0,0.0,0.9987094271868957,0.9987094271868957,4308.0
TP_0029,0.0,1864.0,1852.4454064726394,17.0,0.0,1.0062374812704264,1.0062374812704264,1864.0
TP_0030,0.0,2800.0,2807.004832983517,15.0,0.0,0.9975045169494519,0.9975045169494519,2800.0
TP_0031,0.0,2520.0,2514.50610883795,7.0,0.0,1.0021848788287848,1.0021848788287848,2520.0
TP_0032,0.0,1704.0,1711.5280270684534,5.0,0.0,0.9956015753470613,0.9956015753470613,1704.0
TP_0033,0.0,2636.0,2641.637318333204,15.0,0.0,0.9978659756605949,0.9978659756605949,2636.0
TP_0034,0.0,3404.0,3431.7492114609768,13.0,0.0,0.9919139745502664,0.9919139745502664,3404.0
TP_0035,288.0,2200.0,2197.4641153925754,16.0,0.1310601606563887,1.0011540050140804,0.8700938443576917,1912.0
TP_0036,0.0,3496.0,3591.716920288796,12.0,0.0,0.973350650284238,0.973350650284238,3496.0
TP_0037,0.0,5972.0,5951.928614252068,6.0,0.0,1.003372249072321,1.003372249072321,5972.0
TP_0038,0.0,2092.0,2055.6188594344007,4.0,0.0,1.0176983882000428,1.0176983882000428,2092.0
TP_0039,0.0,3632.0,3617.2690972538016,6.0,0.0,1.0040723823277018,1.0040723823277018,3632.0
TP_0040,0.0,1832.0,1845.9647733612185,10.0,0.0,0.9924349729947496,0.9924349729947496,1832.0
TP_0041,0.0,3380.0,3374.729424435467,33.0,0.0,1.0015617772276408,1.0015617772276408,3380.0
TP_0042,0.0,2740.0,2740.5847264133236,19.0,0.0,0.9997866417309824,0.9997866417309824,2740.0
TP_0043,0.0,3272.0,3259.588543656887,5.0,0.0,1.0038076757777499,1.0038076757777499,3272.0
TP_0044,516.0,2096.0,1941.2342248660407,6.0,0.265810273376778,1.079725451545982,0.813915178169204,1580.0
TP_0045,0.0,2508.0,2510.539900999327,6.0,0.0,0.998988304866887,0.998988304866887,2508.0
TP_0046,0.0,2608.0,2587.322319661065,3.0,0.0,1.0079919228392247,1.0079919228392247,2608.0
TP_0047,1016.0,1380.0,1453.513538975223,4.0,0.69899589701539,0.9494235609067305,0.2504276638913405,364.0
TP_0048,3000.0,3000.0,3348.5210735926116,8.0,0.8959179094492945,0.8959179094492945,0.0,0.0
TP_0049,3548.0,3596.0,3529.764394378193,9.0,1.0051662387582725,1.0187648800943483,0.0135986413360758,48.0
TP_0050,2036.0,2036.0,1853.378935594766,3.0,1.0985341210574562,1.0985341210574562,0.0,0.0
TP_0051,528.0,636.0,520.7567197434219,4.0,1.0139091441011974,1.2212996508491696,0.20739050674797221,108.0
TP_0052,2148.0,2004.0,2262.536128975399,5.0,0.9493771049626212,0.8857317124511604,-0.06364539251146073,-144.0
TP_0053,2876.0,3044.0,1071.623725197901,3.0,2.683777833930354,2.840549279027816,0.156771445097462,168.0
TP_0054,48.0,760.0,722.6321863059994,1.0,0.06642383346550017,1.0517106965370862,0.985286863071586,712.0
TP_0055,0.0,1932.0,1959.5682004223142,6.0,0.0,0.9859314922459076,0.9859314922459076,1932.0
TP_0056,0.0,3700.0,3696.5009954021702,16.0,0.0,1.0009465720696902,1.0009465720696902,3700.0
TP_0057,0.0,3364.0,3365.605312456482,14.0,0.0,0.9995230241494627,0.9995230241494627,3364.0
TP_0058,0.0,1220.0,1222.3554369232954,9.0,0.0,0.9980730343628821,0.9980730343628821,1220.0
TP_0059,0.0,0.0,0.0,0.0,,,,0.0
TP_0060,0.0,28.0,27.427729394864414,1.0,0.0,1.0208646730065354,1.0208646730065354,28.0
TP_0061,0.0,1472.0,1467.4913326588,5.0,0.0,1.003072363864004,1.003072363864004,1472.0
TP_0062,0.0,1636.0,1625.913855962011,6.0,0.0,1.0062033692627714,1.0062033692627714,1636.0
TP_0063,24.0,2316.0,2388.786738911781,10.0,0.010046941239691104,0.9695298296301916,0.9594828883905006,2292.0
TP_0064,1524.0,1524.0,1604.4592488723592,4.0,0.9498527314240562,0.9498527314240562,0.0,0.0
TP_0065,0.0,184.0,176.1981437898309,3.0,0.0,1.0442788785531993,1.0442788785531993,184.0
TP_0066,0.0,1464.0,1483.6066581368639,5.0,0.0,0.9867844633688243,0.9867844633688243,1464.0
TP_0067,0.0,1756.0,1764.4171973572209,5.0,0.0,0.9952294744293876,0.9952294744293876,1756.0
TP_0068,0.0,1736.0,1721.3171766732576,4.0,0.0,1.008529992918051,1.008529992918051,1736.0
TP_0069,0.0,1492.0,1488.4487053942532,3.0,0.0,1.002385903251403,1.002385903251403,1492.0
TP_0070,0.0,1712.0,1695.4101755083939,6.0,0.0,1.0097851391546777,1.0097851391546777,1712.0
TP_0071,336.0,1596.0,1493.2609186587897,10.0,0.22501091122225778,1.0688018283057243,0.8437909170834665,1260.0
TP_0072,992.0,1908.0,1563.9217304368085,6.0,0.6343028430987598,1.2200099038633405,0.5857070607645807,916.0
TP_0073,368.0,1636.0,1780.7307475173784,6.0,0.20665673376676988,0.9187239577240096,0.7120672239572398,1268.0
TP_0074,1120.0,3504.0,3378.5094896336395,5.0,0.331507134562304,1.0371437495592082,0.7056366149969042,2384.0
TP_0075,820.0,1972.0,1885.9405109112058,6.0,0.43479632324341505,1.0456321334585543,0.6108358102151392,1152.0
TP_0076,1796.0,1796.0,2133.8908529154915,3.0,0.8416550441397516,0.8416550441397516,0.0,0.0
TP_0077,2692.0,2692.0,2629.247461873118,10.0,1.023867109900023,1.023867109900023,0.0,0.0
TP_0078,3148.0,3328.0,3187.6555053341353,12.0,0.9875596640641446,1.0440274974604427,0.05646783339629802,180.0
TP_0079,704.0,704.0,694.4150264485548,4.0,1.0138029466333203,1.0138029466333203,0.0,0.0
TP_0080,644.0,644.0,841.5463552321582,2.0,0.7652579040905466,0.7652579040905466,0.0,0.0
TP_0081,3800.0,3800.0,3855.7501229941895,6.0,0.9855410435801538,0.9855410435801538,0.0,0.0
TP_0082,1724.0,1724.0,1285.9519863395344,3.0,1.3406410335018575,1.3406410335018575,0.0,0.0
TP_0083,2056.0,2056.0,234.81977357391784,2.0,8.755651062549045,8.755651062549045,0.0,0.0
TP_0084,0.0,2664.0,2667.3233042052534,3.0,0.0,0.9987540677202446,0.9987540677202446,2664.0
TP_0085,0.0,2772.0,2755.7757417399384,6.0,0.0,1.0058873652214595,1.0058873652214595,2772.0
TP_0086,0.0,996.0,981.6773467451998,8.0,0.0,1.0145899804067882,1.0145899804067882,996.0
TP_0087,0.0,4012.0,4007.910900627475,17.0,0.0,1.001020257055087,1.001020257055087,4012.0
TP_0088,0.0,0.0,0.0,0.0,,,,0.0
TP_0089,0.0,352.0,349.75190414346383,1.0,0.0,1.0064276872546032,1.0064276872546032,352.0
TP_0090,0.0,644.0,642.6976336388352,2.0,0.0,1.0020264060313884,1.0020264060313884,644.0
TP_0091,0.0,1204.0,1208.9202017150483,4.0,0.0,0.995930085618498,0.995930085618498,1204.0
