scenario,hour,metric,available,n_rows,n_cells,non_missing_count,missing_count
base,10,tmrt_mean_c,True,8,8,8,0
base,10,tmrt_p75_c,True,8,8,8,0
base,10,tmrt_p90_c,True,8,8,8,0
base,10,tmrt_p95_c,True,8,8,8,0
base,10,tmrt_max_c,True,8,8,8,0
base,10,delta_tmrt_p90_c,True,8,8,8,0
base,10,m_rad_pct,True,8,8,8,0
base,12,tmrt_mean_c,True,8,8,8,0
base,12,tmrt_p75_c,True,8,8,8,0
base,12,tmrt_p90_c,True,8,8,8,0
base,12,tmrt_p95_c,True,8,8,8,0
base,12,tmrt_max_c,True,8,8,8,0
base,12,delta_tmrt_p90_c,True,8,8,8,0
base,12,m_rad_pct,True,8,8,8,0
base,13,tmrt_mean_c,True,8,8,8,0
base,13,tmrt_p75_c,True,8,8,8,0
base,13,tmrt_p90_c,True,8,8,8,0
base,13,tmrt_p95_c,True,8,8,8,0
base,13,tmrt_max_c,True,8,8,8,0
base,13,delta_tmrt_p90_c,True,8,8,8,0
base,13,m_rad_pct,True,8,8,8,0
base,15,tmrt_mean_c,True,8,8,8,0
base,15,tmrt_p75_c,True,8,8,8,0
base,15,tmrt_p90_c,True,8,8,8,0
base,15,tmrt_p95_c,True,8,8,8,0
base,15,tmrt_max_c,True,8,8,8,0
base,15,delta_tmrt_p90_c,True,8,8,8,0
base,15,m_rad_pct,True,8,8,8,0
base,16,tmrt_mean_c,True,8,8,8,0
base,16,tmrt_p75_c,True,8,8,8,0
base,16,tmrt_p90_c,True,8,8,8,0
base,16,tmrt_p95_c,True,8,8,8,0
base,16,tmrt_max_c,True,8,8,8,0
base,16,delta_tmrt_p90_c,True,8,8,8,0
base,16,m_rad_pct,True,8,8,8,0
overhead_as_canopy,10,tmrt_mean_c,True,8,8,8,0
overhead_as_canopy,10,tmrt_p75_c,True,8,8,8,0
overhead_as_canopy,10,tmrt_p90_c,True,8,8,8,0
overhead_as_canopy,10,tmrt_p95_c,True,8,8,8,0
overhead_as_canopy,10,tmrt_max_c,True,8,8,8,0
overhead_as_canopy,10,delta_tmrt_p90_c,True,8,8,8,0
overhead_as_canopy,10,m_rad_pct,True,8,8,8,0
overhead_as_canopy,12,tmrt_mean_c,True,8,8,8,0
overhead_as_canopy,12,tmrt_p75_c,True,8,8,8,0
overhead_as_canopy,12,tmrt_p90_c,True,8,8,8,0
overhead_as_canopy,12,tmrt_p95_c,True,8,8,8,0
overhead_as_canopy,12,tmrt_max_c,True,8,8,8,0
overhead_as_canopy,12,delta_tmrt_p90_c,True,8,8,8,0
overhead_as_canopy,12,m_rad_pct,True,8,8,8,0
overhead_as_canopy,13,tmrt_mean_c,True,8,8,8,0
overhead_as_canopy,13,tmrt_p75_c,True,8,8,8,0
overhead_as_canopy,13,tmrt_p90_c,True,8,8,8,0
overhead_as_canopy,13,tmrt_p95_c,True,8,8,8,0
overhead_as_canopy,13,tmrt_max_c,True,8,8,8,0
overhead_as_canopy,13,delta_tmrt_p90_c,True,8,8,8,0
overhead_as_canopy,13,m_rad_pct,True,8,8,8,0
overhead_as_canopy,15,tmrt_mean_c,True,8,8,8,0
overhead_as_canopy,15,tmrt_p75_c,True,8,8,8,0
overhead_as_canopy,15,tmrt_p90_c,True,8,8,8,0
overhead_as_canopy,15,tmrt_p95_c,True,8,8,8,0
overhead_as_canopy,15,tmrt_max_c,True,8,8,8,0
overhead_as_canopy,15,delta_tmrt_p90_c,True,8,8,8,0
overhead_as_canopy,15,m_rad_pct,True,8,8,8,0
overhead_as_canopy,16,tmrt_mean_c,True,8,8,8,0
overhead_as_canopy,16,tmrt_p75_c,True,8,8,8,0
overhead_as_canopy,16,tmrt_p90_c,True,8,8,8,0
overhead_as_canopy,16,tmrt_p95_c,True,8,8,8,0
overhead_as_canopy,16,tmrt_max_c,True,8,8,8,0
overhead_as_canopy,16,delta_tmrt_p90_c,True,8,8,8,0
overhead_as_canopy,16,m_rad_pct,True,8,8,8,0
