cell_id,hour,typology_label_base,typology_label_overhead,base_tmrt_mean_c,overhead_tmrt_mean_c,delta_overhead_minus_base_tmrt_mean_c,base_tmrt_p75_c,overhead_tmrt_p75_c,delta_overhead_minus_base_tmrt_p75_c,base_tmrt_p90_c,overhead_tmrt_p90_c,delta_overhead_minus_base_tmrt_p90_c,base_tmrt_p95_c,overhead_tmrt_p95_c,delta_overhead_minus_base_tmrt_p95_c,base_tmrt_max_c,overhead_tmrt_max_c,delta_overhead_minus_base_tmrt_max_c,base_delta_tmrt_p90_c,overhead_delta_tmrt_p90_c,delta_overhead_minus_base_delta_tmrt_p90_c,base_m_rad_pct,overhead_m_rad_pct,delta_overhead_minus_base_m_rad_pct,delta_overhead_minus_base_p90,delta_m_rad_pct
TP_0565,10,school_gate_road_edge_hot_anchor,school_gate_road_edge_hot_anchor,43.72013854980469,43.71132278442383,-0.008815765380859375,46.18529891967773,46.184715270996094,-0.0005836486816335196,46.27227020263672,46.27227020263672,0.0,46.31975936889648,46.31975936889648,0.0,46.40394973754883,46.39608001708984,-0.00786972045899148,0.7377433776855469,0.7636852264404297,0.025941848754882812,0.875,0.875,0.0,0.0,0.0
TP_0986,10,low_rise_residential_null_control,low_rise_residential_null_control,43.92170333862305,43.92170333862305,0.0,46.22195053100586,46.22195053100586,0.0,46.358978271484375,46.358978271484375,0.0,46.38434219360352,46.38434219360352,0.0,46.4929084777832,46.4929084777832,0.0,0.8244514465332031,0.8503932952880859,0.025941848754882812,1.0,1.0,0.0,0.0,0.0
TP_0366,10,school_gate_bus_stop_waiting_node,school_gate_bus_stop_waiting_node,44.12714385986328,44.0047492980957,-0.12239456176757812,45.20793151855469,45.10152816772461,-0.10640335083007812,45.43788528442383,45.38600158691406,-0.051883697509765625,45.549564361572266,45.52678298950195,-0.0227813720703125,45.888816833496094,45.750091552734375,-0.13872528076171875,-0.0966415405273437,-0.1225833892822265,-0.0259418487548828,0.5,0.5,0.0,-0.051883697509765625,0.0
TP_0542,10,river_edge_shaded_walkway,river_edge_shaded_walkway,34.1285285949707,34.0413818359375,-0.08714675903320312,33.25111770629883,33.11180114746094,-0.13931655883789062,41.4174690246582,41.66117477416992,0.24370574951171875,43.83330154418945,43.75722885131836,-0.07607269287109375,46.56342697143555,46.56342697143555,0.0,-4.117057800292969,-3.847410202026367,0.26964759826660156,0.25,0.25,0.0,0.24370574951171875,0.0
TP_0627,10,street_canyon_wall_adjacent_low_svf,street_canyon_wall_adjacent_low_svf,40.64068603515625,40.64063262939453,-5.340576171875e-05,45.22010040283203,45.22010040283203,0.0,45.63116836547852,45.63116836547852,0.0,45.83673477172852,45.836544036865234,-0.00019073486328835543,46.09939193725586,46.09939193725586,0.0,0.0966415405273437,0.1225833892822265,0.0259418487548828,0.625,0.625,0.0,0.0,0.0
TP_0326,10,stable_high_rise_residential_estate,stable_high_rise_residential_estate,37.99396133422852,37.87701416015625,-0.11694717407227273,43.217041015625,43.08622741699219,-0.1308135986328125,43.96406173706055,43.96406173706055,0.0,46.464874267578125,46.464874267578125,0.0,46.63214111328125,46.63214111328125,0.0,-1.570465087890625,-1.5445232391357422,0.025941848754882812,0.375,0.375,0.0,0.0,0.0
TP_0059,10,open_paved_hardscape_parking_lot,open_paved_hardscape_parking_lot,44.780792236328125,43.42411422729492,-1.3566780090332031,45.78042602539063,45.54067993164063,-0.23974609375,45.90140914916992,45.71444320678711,-0.1869659423828125,45.95795440673828,45.79055404663086,-0.16740036010742188,46.10767364501953,45.9470100402832,-0.16066360473632812,0.36688232421875,0.2058582305908203,-0.1610240936279297,0.75,0.75,0.0,-0.1869659423828125,0.0
TP_0835,10,grass_park_green_mixed,grass_park_green_mixed,32.770137786865234,32.770137786865234,0.0,32.773468017578125,32.773468017578125,0.0,32.77476119995117,32.77476119995117,0.0,32.776031494140625,32.776031494140625,0.0,32.77632522583008,32.77632522583008,0.0,-12.759765625,-12.733823776245115,0.02594184875488459,0.125,0.125,0.0,0.0,0.0
TP_0565,12,school_gate_road_edge_hot_anchor,school_gate_road_edge_hot_anchor,60.030982971191406,60.0234489440918,-0.007534027099609375,62.14275741577149,62.14266586303711,-9.155273438210543e-05,62.20014572143555,62.20014572143555,0.0,62.22365951538086,62.22365951538086,0.0,62.28049087524414,62.27033996582031,-0.010150909423828125,0.416086196899414,0.4819984436035156,0.06591224670410162,0.875,0.875,0.0,0.0,0.0
TP_0986,12,low_rise_residential_null_control,low_rise_residential_null_control,60.95865631103516,60.95865631103516,0.0,62.11238861083984,62.11238861083984,0.0,62.24909591674805,62.24909591674805,0.0,62.26665496826172,62.26665496826172,0.0,62.29424285888672,62.29424285888672,0.0,0.465036392211914,0.5309486389160156,0.06591224670410162,1.0,1.0,0.0,0.0,0.0
