scenario,hour,metric_a,metric_b,spearman_r,n_cells,caveat
base,13,tmrt_p95_c,m_rad_pct,0.7619047619047621,8,Core 8 diagnostic sample
base,13,tmrt_max_c,delta_tmrt_p90_c,0.14285714285714288,8,Core 8 diagnostic sample
base,13,tmrt_max_c,m_rad_pct,0.14285714285714288,8,Core 8 diagnostic sample
base,13,delta_tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
base,15,tmrt_mean_c,tmrt_p75_c,0.7142857142857144,8,Core 8 diagnostic sample
base,15,tmrt_mean_c,tmrt_p90_c,0.7142857142857144,8,Core 8 diagnostic sample
base,15,tmrt_mean_c,tmrt_p95_c,0.3571428571428572,8,Core 8 diagnostic sample
base,15,tmrt_mean_c,tmrt_max_c,-0.11904761904761905,8,Core 8 diagnostic sample
base,15,tmrt_mean_c,delta_tmrt_p90_c,0.7142857142857144,8,Core 8 diagnostic sample
base,15,tmrt_mean_c,m_rad_pct,0.7142857142857144,8,Core 8 diagnostic sample
base,15,tmrt_p75_c,tmrt_p90_c,1.0,8,Core 8 diagnostic sample
base,15,tmrt_p75_c,tmrt_p95_c,0.6428571428571429,8,Core 8 diagnostic sample
base,15,tmrt_p75_c,tmrt_max_c,0.1666666666666667,8,Core 8 diagnostic sample
base,15,tmrt_p75_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
base,15,tmrt_p75_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
base,15,tmrt_p90_c,tmrt_p95_c,0.6428571428571429,8,Core 8 diagnostic sample
base,15,tmrt_p90_c,tmrt_max_c,0.1666666666666667,8,Core 8 diagnostic sample
base,15,tmrt_p90_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
base,15,tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
base,15,tmrt_p95_c,tmrt_max_c,0.6428571428571429,8,Core 8 diagnostic sample
base,15,tmrt_p95_c,delta_tmrt_p90_c,0.6428571428571429,8,Core 8 diagnostic sample
base,15,tmrt_p95_c,m_rad_pct,0.6428571428571429,8,Core 8 diagnostic sample
base,15,tmrt_max_c,delta_tmrt_p90_c,0.1666666666666667,8,Core 8 diagnostic sample
base,15,tmrt_max_c,m_rad_pct,0.1666666666666667,8,Core 8 diagnostic sample
base,15,delta_tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
