scenario,hour,metric_a,metric_b,spearman_r,n_cells,caveat
base,16,tmrt_mean_c,tmrt_p75_c,0.7142857142857144,8,Core 8 diagnostic sample
base,16,tmrt_mean_c,tmrt_p90_c,0.7142857142857144,8,Core 8 diagnostic sample
base,16,tmrt_mean_c,tmrt_p95_c,0.3571428571428572,8,Core 8 diagnostic sample
base,16,tmrt_mean_c,tmrt_max_c,-0.11904761904761905,8,Core 8 diagnostic sample
base,16,tmrt_mean_c,delta_tmrt_p90_c,0.7142857142857144,8,Core 8 diagnostic sample
base,16,tmrt_mean_c,m_rad_pct,0.7142857142857144,8,Core 8 diagnostic sample
base,16,tmrt_p75_c,tmrt_p90_c,1.0,8,Core 8 diagnostic sample
base,16,tmrt_p75_c,tmrt_p95_c,0.6428571428571429,8,Core 8 diagnostic sample
base,16,tmrt_p75_c,tmrt_max_c,0.1666666666666667,8,Core 8 diagnostic sample
base,16,tmrt_p75_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
base,16,tmrt_p75_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
base,16,tmrt_p90_c,tmrt_p95_c,0.6428571428571429,8,Core 8 diagnostic sample
base,16,tmrt_p90_c,tmrt_max_c,0.1666666666666667,8,Core 8 diagnostic sample
base,16,tmrt_p90_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
base,16,tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
base,16,tmrt_p95_c,tmrt_max_c,0.6428571428571429,8,Core 8 diagnostic sample
base,16,tmrt_p95_c,delta_tmrt_p90_c,0.6428571428571429,8,Core 8 diagnostic sample
base,16,tmrt_p95_c,m_rad_pct,0.6428571428571429,8,Core 8 diagnostic sample
base,16,tmrt_max_c,delta_tmrt_p90_c,0.1666666666666667,8,Core 8 diagnostic sample
base,16,tmrt_max_c,m_rad_pct,0.1666666666666667,8,Core 8 diagnostic sample
base,16,delta_tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_mean_c,tmrt_p75_c,0.7619047619047621,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_mean_c,tmrt_p90_c,0.7619047619047621,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_mean_c,tmrt_p95_c,0.38095238095238104,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_mean_c,tmrt_max_c,-0.09523809523809526,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_mean_c,delta_tmrt_p90_c,0.7619047619047621,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_mean_c,m_rad_pct,0.7619047619047621,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p75_c,tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p75_c,tmrt_p95_c,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p75_c,tmrt_max_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p75_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p75_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p90_c,tmrt_p95_c,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p90_c,tmrt_max_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p90_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p95_c,tmrt_max_c,0.6428571428571429,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p95_c,delta_tmrt_p90_c,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_p95_c,m_rad_pct,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_max_c,delta_tmrt_p90_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,10,tmrt_max_c,m_rad_pct,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,10,delta_tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_mean_c,tmrt_p75_c,0.8095238095238096,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_mean_c,tmrt_p90_c,0.8333333333333335,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_mean_c,tmrt_p95_c,0.5952380952380953,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_mean_c,tmrt_max_c,0.0,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_mean_c,delta_tmrt_p90_c,0.8333333333333335,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_mean_c,m_rad_pct,0.8333333333333335,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p75_c,tmrt_p90_c,0.9523809523809524,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p75_c,tmrt_p95_c,0.6904761904761906,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p75_c,tmrt_max_c,0.11904761904761905,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p75_c,delta_tmrt_p90_c,0.9523809523809524,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p75_c,m_rad_pct,0.9523809523809524,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p90_c,tmrt_p95_c,0.7619047619047621,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p90_c,tmrt_max_c,0.1666666666666667,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p90_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p95_c,tmrt_max_c,0.5952380952380953,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p95_c,delta_tmrt_p90_c,0.7619047619047621,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_p95_c,m_rad_pct,0.7619047619047621,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_max_c,delta_tmrt_p90_c,0.1666666666666667,8,Core 8 diagnostic sample
overhead_as_canopy,12,tmrt_max_c,m_rad_pct,0.1666666666666667,8,Core 8 diagnostic sample
overhead_as_canopy,12,delta_tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_mean_c,tmrt_p75_c,0.8333333333333335,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_mean_c,tmrt_p90_c,0.8333333333333335,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_mean_c,tmrt_p95_c,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_mean_c,tmrt_max_c,0.023809523809523815,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_mean_c,delta_tmrt_p90_c,0.8333333333333335,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_mean_c,m_rad_pct,0.8333333333333335,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p75_c,tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p75_c,tmrt_p95_c,0.7380952380952381,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p75_c,tmrt_max_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p75_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p75_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p90_c,tmrt_p95_c,0.7380952380952381,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p90_c,tmrt_max_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p90_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p95_c,tmrt_max_c,0.5952380952380953,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p95_c,delta_tmrt_p90_c,0.7380952380952381,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_p95_c,m_rad_pct,0.7380952380952381,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_max_c,delta_tmrt_p90_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,13,tmrt_max_c,m_rad_pct,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,13,delta_tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_mean_c,tmrt_p75_c,0.7380952380952381,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_mean_c,tmrt_p90_c,0.7380952380952381,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_mean_c,tmrt_p95_c,0.3571428571428572,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_mean_c,tmrt_max_c,-0.11904761904761905,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_mean_c,delta_tmrt_p90_c,0.7380952380952381,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_mean_c,m_rad_pct,0.7380952380952381,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p75_c,tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p75_c,tmrt_p95_c,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p75_c,tmrt_max_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p75_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p75_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p90_c,tmrt_p95_c,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p90_c,tmrt_max_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p90_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p95_c,tmrt_max_c,0.6428571428571429,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p95_c,delta_tmrt_p90_c,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_p95_c,m_rad_pct,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_max_c,delta_tmrt_p90_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,15,tmrt_max_c,m_rad_pct,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,15,delta_tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_mean_c,tmrt_p75_c,0.6904761904761906,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_mean_c,tmrt_p90_c,0.6904761904761906,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_mean_c,tmrt_p95_c,0.28571428571428575,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_mean_c,tmrt_max_c,-0.19047619047619052,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_mean_c,delta_tmrt_p90_c,0.6904761904761906,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_mean_c,m_rad_pct,0.6904761904761906,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p75_c,tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p75_c,tmrt_p95_c,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p75_c,tmrt_max_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p75_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p75_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p90_c,tmrt_p95_c,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p90_c,tmrt_max_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p90_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p95_c,tmrt_max_c,0.6428571428571429,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p95_c,delta_tmrt_p90_c,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_p95_c,m_rad_pct,0.6190476190476191,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_max_c,delta_tmrt_p90_c,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,16,tmrt_max_c,m_rad_pct,0.14285714285714288,8,Core 8 diagnostic sample
overhead_as_canopy,16,delta_tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
