forcing_day_id,hour_sgt,scenario,success_count
FD01_high_shortwave_hot_20260507,10,base,150
FD01_high_shortwave_hot_20260507,10,overhead_as_canopy,150
FD01_high_shortwave_hot_20260507,12,base,150
FD01_high_shortwave_hot_20260507,12,overhead_as_canopy,150
FD01_high_shortwave_hot_20260507,13,base,150
FD01_high_shortwave_hot_20260507,13,overhead_as_canopy,150
FD01_high_shortwave_hot_20260507,15,base,150
FD01_high_shortwave_hot_20260507,15,overhead_as_canopy,150
FD01_high_shortwave_hot_20260507,16,base,150
FD01_high_shortwave_hot_20260507,16,overhead_as_canopy,150
FD02_humid_hot_cloudy_or_diffuse_20260508,10,base,150
FD02_humid_hot_cloudy_or_diffuse_20260508,10,overhead_as_canopy,150
FD02_humid_hot_cloudy_or_diffuse_20260508,12,base,150
FD02_humid_hot_cloudy_or_diffuse_20260508,12,overhead_as_canopy,150
FD02_humid_hot_cloudy_or_diffuse_20260508,13,base,150
FD02_humid_hot_cloudy_or_diffuse_20260508,13,overhead_as_canopy,150
FD02_humid_hot_cloudy_or_diffuse_20260508,15,base,150
FD02_humid_hot_cloudy_or_diffuse_20260508,15,overhead_as_canopy,150
FD02_humid_hot_cloudy_or_diffuse_20260508,16,base,150
FD02_humid_hot_cloudy_or_diffuse_20260508,16,overhead_as_canopy,150
