cell_id,hour,tmrt_mean_c_base,tmrt_p75_c_base,tmrt_p90_c_base,tmrt_p95_c_base,tmrt_max_c_base,pct_pixels_tmrt_ge_40_base,pct_pixels_tmrt_ge_45_base,pct_pixels_tmrt_ge_50_base,pct_pixels_tmrt_ge_55_base,tmrt_mean_c_overhead_as_canopy,tmrt_p75_c_overhead_as_canopy,tmrt_p90_c_overhead_as_canopy,tmrt_p95_c_overhead_as_canopy,tmrt_max_c_overhead_as_canopy,pct_pixels_tmrt_ge_40_overhead_as_canopy,pct_pixels_tmrt_ge_45_overhead_as_canopy,pct_pixels_tmrt_ge_50_overhead_as_canopy,pct_pixels_tmrt_ge_55_overhead_as_canopy,delta_tmrt_mean_c,delta_tmrt_p75_c,delta_tmrt_p90_c,delta_tmrt_p95_c,delta_tmrt_max_c,delta_pct_pixels_ge_40,delta_pct_pixels_ge_45,delta_pct_pixels_ge_50,delta_pct_pixels_ge_55,hour_sgt,source
TP_0005,10,37.305023193359375,43.86498260498047,45.378231048583984,45.69548797607422,46.22352600097656,37.92,14.32,0.0,0.0,37.19248580932617,43.72516632080078,45.378231048583984,45.69548797607422,46.22352600097656,36.68,14.32,0.0,0.0,-0.1125373840332031,-0.1398162841796875,0.0,0.0,0.0,-1.240000000000002,0.0,0.0,0.0,10,solweig_b7_new
TP_0005,12,47.822635650634766,61.08539581298828,61.562965393066406,61.74673461914063,62.07234191894531,48.6,46.760000000000005,46.760000000000005,46.68,47.67801284790039,61.032020568847656,61.5621223449707,61.74673461914063,62.07234191894531,48.52,46.36,46.0,45.92,-0.144622802734375,-0.053375244140625,-0.0008430480957031,0.0,0.0,-0.0799999999999983,-0.4000000000000057,-0.7600000000000051,-0.759999999999998,12,solweig_b7_new
TP_0005,13,47.53071212768555,60.57359313964844,61.44207382202149,61.74003219604492,62.24656677246094,48.2,46.48,46.48,45.64,47.3816032409668,60.425968170166016,61.44207382202149,61.74003219604492,62.24656677246094,47.92,46.08,45.68,44.76,-0.14910888671875,-0.1476249694824218,0.0,0.0,0.0,-0.279999999999994,-0.3999999999999986,-0.7999999999999972,-0.8800000000000026,13,solweig_b7_new
TP_0005,15,45.13542938232422,57.5936279296875,59.52803802490234,59.907657623291016,60.49763488769531,43.04,41.0,41.0,36.88,44.98033142089844,57.246768951416016,59.52803802490234,59.907657623291016,60.49763488769531,43.04,40.48,40.16,35.64,-0.1550979614257812,-0.3468589782714844,0.0,0.0,0.0,0.0,-0.5200000000000031,-0.8399999999999963,-1.240000000000002,15,solweig_b7_new
TP_0005,16,39.88134765625,47.76235580444336,50.49081039428711,50.89179611206055,51.491825103759766,35.64,34.599999999999994,14.72,0.0,39.70865631103516,47.335845947265625,50.49081039428711,50.89179611206055,51.491825103759766,34.4,33.08,14.72,0.0,-0.1726913452148437,-0.4265098571777344,0.0,0.0,0.0,-1.240000000000002,-1.519999999999996,0.0,0.0,16,solweig_b7_new
TP_0006,10,40.45783996582031,45.15644454956055,45.39290237426758,45.49520111083984,45.70246505737305,64.36,30.76,0.0,0.0,40.45783996582031,45.15644454956055,45.39290237426758,45.49520111083984,45.70246505737305,64.36,30.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,solweig_b7_new
TP_0006,12,55.03829193115234,61.498531341552734,61.64630126953125,61.68882369995117,61.808223724365234,80.47999999999999,75.03999999999999,75.03999999999999,74.96000000000001,55.03829193115234,61.498531341552734,61.64630126953125,61.68882369995117,61.808223724365234,80.47999999999999,75.03999999999999,75.03999999999999,74.96000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,solweig_b7_new
TP_0006,13,54.8311882019043,61.44993591308594,61.64959335327149,61.71140670776367,61.90304946899414,79.96,75.92,75.88000000000001,75.28,54.8311882019043,61.44993591308594,61.64959335327149,61.71140670776367,61.90304946899414,79.96,75.92,75.88000000000001,75.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,solweig_b7_new
TP_0006,15,51.96051406860352,59.43777084350586,59.71195602416992,59.78770446777344,60.02943420410156,75.56,70.24000000000001,70.24000000000001,62.24,51.96051406860352,59.43777084350586,59.71195602416992,59.78770446777344,60.02943420410156,75.56,70.24000000000001,70.24000000000001,62.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,solweig_b7_new
TP_0006,16,44.528228759765625,50.33716583251953,50.63304901123047,50.71694564819336,50.947059631347656,66.44,65.44,37.24,0.0,44.528228759765625,50.33716583251953,50.63304901123047,50.71694564819336,50.947059631347656,66.44,65.44,37.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,solweig_b7_new
