run_id,source_run_id,cell_id,scenario,hour_sgt,source,target_version,reference_domain_version,tmrt_p90_c,tmrt_ref_p90_c,delta_tmrt_p90_c,rank_average_delta_tmrt_p90_c,n_reference_cells,m_rad_pct01,primary_modifier_delta,normalized_modifier,reference_rule,rank_rule,hour,tmrt_output_path,n_pixels,valid_pixel_count,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,selection_status,reuse_existing_n24_label
v12_n150_base_TP_0006_h10,v12_n150_base_TP_0006_h10,TP_0006,base,10,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,45.39290237426758,45.56442070007324,-0.171518325805664,67.0,150,0.4429530201342282,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,40.45783996582031,43.62635040283203,45.15644454956055,45.49520111083984,45.70246505737305,64.36,30.76,0.0,0.0,selected_new,False
v12_n150_base_TP_0006_h12,v12_n150_base_TP_0006_h12,TP_0006,base,12,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,61.64630126953125,61.820411682128906,-0.1741104125976562,64.0,150,0.4228187919463087,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,55.03829193115234,60.81630325317383,61.498531341552734,61.68882369995117,61.808223724365234,80.47999999999999,75.03999999999999,75.03999999999999,74.96000000000001,selected_new,False
v12_n150_base_TP_0006_h13,v12_n150_base_TP_0006_h13,TP_0006,base,13,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,61.64959335327149,61.75910568237305,-0.1095123291015554,68.0,150,0.4496644295302013,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,54.8311882019043,60.1543083190918,61.44993591308594,61.71140670776367,61.90304946899414,79.96,75.92,75.88000000000001,75.28,selected_new,False
v12_n150_base_TP_0006_h15,v12_n150_base_TP_0006_h15,TP_0006,base,15,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,59.71195602416992,59.77000427246094,-0.0580482482910156,73.0,150,0.4832214765100671,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,51.96051406860352,57.24510192871094,59.43777084350586,59.78770446777344,60.02943420410156,75.56,70.24000000000001,70.24000000000001,62.24,selected_new,False
v12_n150_base_TP_0006_h16,v12_n150_base_TP_0006_h16,TP_0006,base,16,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,50.63304901123047,50.70027732849121,-0.0672283172607421,70.0,150,0.4630872483221476,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,44.528228759765625,47.94969940185547,50.33716583251953,50.71694564819336,50.947059631347656,66.44,65.44,37.24,0.0,selected_new,False
v12_n150_overhead_TP_0006_h10,v12_n150_overhead_TP_0006_h10,TP_0006,overhead_as_canopy,10,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,45.39290237426758,45.30916595458984,0.0837364196777343,78.0,150,0.5167785234899329,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,40.45783996582031,43.62635040283203,45.15644454956055,45.49520111083984,45.70246505737305,64.36,30.76,0.0,0.0,selected_new,False
v12_n150_overhead_TP_0006_h12,v12_n150_overhead_TP_0006_h12,TP_0006,overhead_as_canopy,12,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,61.64630126953125,61.65906524658203,-0.0127639770507812,75.0,150,0.4966442953020134,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,55.03829193115234,60.81630325317383,61.498531341552734,61.68882369995117,61.808223724365234,80.47999999999999,75.03999999999999,75.03999999999999,74.96000000000001,selected_new,False
v12_n150_overhead_TP_0006_h13,v12_n150_overhead_TP_0006_h13,TP_0006,overhead_as_canopy,13,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,61.64959335327149,61.50412178039551,0.1454715728759836,77.0,150,0.5100671140939598,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,54.8311882019043,60.1543083190918,61.44993591308594,61.71140670776367,61.90304946899414,79.96,75.92,75.88000000000001,75.28,selected_new,False
v12_n150_overhead_TP_0006_h15,v12_n150_overhead_TP_0006_h15,TP_0006,overhead_as_canopy,15,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,59.71195602416992,59.58326530456543,0.1286907196044922,83.0,150,0.5503355704697986,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,51.96051406860352,57.24510192871094,59.43777084350586,59.78770446777344,60.02943420410156,75.56,70.24000000000001,70.24000000000001,62.24,selected_new,False
v12_n150_overhead_TP_0006_h16,v12_n150_overhead_TP_0006_h16,TP_0006,overhead_as_canopy,16,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,50.63304901123047,50.49507141113281,0.1379776000976562,80.0,150,0.5302013422818792,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,44.528228759765625,47.94969940185547,50.33716583251953,50.71694564819336,50.947059631347656,66.44,65.44,37.24,0.0,selected_new,False
