run_id,cell_id,scenario,hour,tmrt_output_path,n_pixels,valid_pixel_count,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,hour_sgt,source_run_id,selection_status,reuse_existing_n24_label,source,target_version,reference_domain_version
v12_n150_base_TP_0006_h12,TP_0006,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,55.03829193115234,60.81630325317383,61.498531341552734,61.64630126953125,61.68882369995117,61.808223724365234,80.47999999999999,75.03999999999999,75.03999999999999,74.96000000000001,12,v12_n150_base_TP_0006_h12,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0006_h13,TP_0006,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,54.8311882019043,60.1543083190918,61.44993591308594,61.64959335327149,61.71140670776367,61.90304946899414,79.96,75.92,75.88000000000001,75.28,13,v12_n150_base_TP_0006_h13,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0006_h15,TP_0006,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,51.96051406860352,57.24510192871094,59.43777084350586,59.71195602416992,59.78770446777344,60.02943420410156,75.56,70.24000000000001,70.24000000000001,62.24,15,v12_n150_base_TP_0006_h15,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0006_h16,TP_0006,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,44.528228759765625,47.94969940185547,50.33716583251953,50.63304901123047,50.71694564819336,50.947059631347656,66.44,65.44,37.24,0.0,16,v12_n150_base_TP_0006_h16,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0006_h10,TP_0006,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,40.45783996582031,43.62635040283203,45.15644454956055,45.39290237426758,45.49520111083984,45.70246505737305,64.36,30.76,0.0,0.0,10,v12_n150_overhead_TP_0006_h10,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0006_h12,TP_0006,overhead_as_canopy,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,55.03829193115234,60.81630325317383,61.498531341552734,61.64630126953125,61.68882369995117,61.808223724365234,80.47999999999999,75.03999999999999,75.03999999999999,74.96000000000001,12,v12_n150_overhead_TP_0006_h12,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0006_h13,TP_0006,overhead_as_canopy,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,54.8311882019043,60.1543083190918,61.44993591308594,61.64959335327149,61.71140670776367,61.90304946899414,79.96,75.92,75.88000000000001,75.28,13,v12_n150_overhead_TP_0006_h13,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0006_h15,TP_0006,overhead_as_canopy,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,51.96051406860352,57.24510192871094,59.43777084350586,59.71195602416992,59.78770446777344,60.02943420410156,75.56,70.24000000000001,70.24000000000001,62.24,15,v12_n150_overhead_TP_0006_h15,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0006_h16,TP_0006,overhead_as_canopy,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0006\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,44.528228759765625,47.94969940185547,50.33716583251953,50.63304901123047,50.71694564819336,50.947059631347656,66.44,65.44,37.24,0.0,16,v12_n150_overhead_TP_0006_h16,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0018_h10,TP_0018,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.809112548828125,34.17935562133789,43.28471755981445,43.8294677734375,44.07586669921875,45.34462738037109,45.52,1.36,0.0,0.0,10,v12_n150_base_TP_0018_h10,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
