cell_id,hazard_score_base_v10,rank_base_v10_hazard_score,hazard_score_overhead_sens,rank_overhead_sens_hazard_score,rank_change_base_minus_overhead,score_change_overhead_minus_base,overhead_fraction_total,overhead_shade_proxy,pedestrian_shelter_fraction,transport_deck_fraction,overhead_confounding_flag,overhead_interpretation,in_base_top,in_overhead_top
TP_0565,0.7271600160094414,9.0,0.7259755158445065,1.0,8.0,-0.0011845001649348763,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,True,True
TP_0610,0.7430527677609041,2.0,0.7246284092653411,2.0,0.0,-0.01842435849556301,0.1010908367276316,0.0758181275457237,0.0,0.1010908367276316,major_confounding,transport_deck_or_viaduct,True,True
TP_0766,0.7255016667367133,10.0,0.7234710072178747,3.0,7.0,-0.002030659518838629,0.0070219053198072,0.0063197147878264,0.0070219053198072,0.0,clean_or_minor,minor_or_none,True,True
TP_0120,0.7232450398772873,13.0,0.7218807756804513,4.0,9.0,-0.0013642641968359959,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,True,True
TP_0059,0.7381973430429909,4.0,0.7177876771482985,5.0,-1.0,-0.020409665894692397,0.1098755647096241,0.0824066735322181,0.0,0.1098755647096241,major_confounding,transport_deck_or_viaduct,True,True
TP_0003,0.7197039341344056,18.0,0.7175288299797551,6.0,12.0,-0.002175104154650498,0.007029872247982,0.0063268850231838,0.007029872247982,0.0,clean_or_minor,minor_or_none,True,True
TP_0986,0.7181390916669094,19.0,0.7171889007790878,7.0,12.0,-0.0009501908878215559,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,True,True
TP_0144,0.7150522327173847,21.0,0.7151163834961028,8.0,13.0,6.415077871813057e-05,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0116,0.7135363447598606,23.0,0.7145530670727335,9.0,14.0,0.0010167223128728642,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0452,0.7117349286712051,26.0,0.71278755459866,10.0,16.0,0.0010526259274548089,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0171,0.7315705557117919,6.0,0.7111103933567028,11.0,-5.0,-0.020460162355089073,0.1359256313877737,0.1019442235408302,0.0,0.1359256313877737,major_confounding,transport_deck_or_viaduct,True,True
TP_0639,0.7147002541443678,22.0,0.7104456219729006,12.0,10.0,-0.004254632171467154,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0366,0.7125360898339931,25.0,0.70783559548583,13.0,12.0,-0.004700494348163109,0.0103916666339772,0.0079063999184797,0.0022529988599356,0.0081386677740416,clean_or_minor,minor_or_none,False,True
TP_0527,0.7071938377996078,29.0,0.7065899851451913,14.0,15.0,-0.0006038526544164258,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0060,0.7047495648640012,32.0,0.7060106059154007,15.0,17.0,0.0012610410513994585,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0030,0.7024794244297159,34.0,0.7049688377897491,16.0,18.0,0.002489413360033166,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0985,0.7011120066133673,35.0,0.7043259385752517,17.0,18.0,0.003213931961884464,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0136,0.70041246034148,37.0,0.6999342027834492,18.0,19.0,-0.0004782575580307702,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0641,0.6996900700290926,38.0,0.6982753745641879,19.0,19.0,-0.0014146954649046917,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0984,0.6939741094522868,40.0,0.6970500356941975,20.0,20.0,0.003075926241910776,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none,False,True
TP_0373,0.7281587064427889,8.0,0.6968782949555585,22.0,-14.0,-0.031280411487230375,0.1400379575783538,0.1050284681837653,0.0,0.1400379575783538,major_confounding,transport_deck_or_viaduct,True,False
