cell_id,hazard_score_base_v10,rank_base_v10_hazard_score,hazard_score_overhead_sens,rank_overhead_sens_hazard_score,rank_change_base_minus_overhead,score_change_overhead_minus_base,overhead_fraction_total,overhead_shade_proxy,pedestrian_shelter_fraction,transport_deck_fraction,overhead_confounding_flag,overhead_interpretation
TP_0641,0.6996900700290926,38.0,0.6982753745641879,19.0,19.0,-0.0014146954649046917,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0797,0.4740138188757642,376.0,0.4690658990448843,354.0,22.0,-0.004947919830879888,0.0234474424756172,0.0211026982280555,0.0234474424756172,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0384,0.5116203139748176,316.0,0.5222049584456185,275.0,41.0,0.010584644470800986,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0652,0.5109658062839749,317.0,0.519470559693593,281.0,36.0,0.008504753409618093,0.0085188752905522,0.007666987761497,0.0085188752905522,0.0,clean_or_minor,minor_or_none
TP_0174,0.6948697919406248,39.0,0.6946038686085465,24.0,15.0,-0.00026592333207831054,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0219,0.5212845732971431,302.0,0.5336420492685233,262.0,40.0,0.01235747597138026,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0275,0.4002810152068484,484.0,0.4132807388380745,445.0,39.0,0.01299972363122609,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0612,0.4981649720450702,338.0,0.4231291679032561,426.0,-88.0,-0.0750358041418141,0.2465527688204129,0.1849145766153097,0.0,0.2465527688204129,major_confounding,transport_deck_or_viaduct
TP_0666,0.4309535828475431,439.0,0.4332194175895298,407.0,32.0,0.0022658347419867164,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0280,0.4875275327185325,354.0,0.4980933430671244,319.0,35.0,0.010565810348591886,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0977,0.4848230249450811,360.0,0.4391563352244678,403.0,-43.0,-0.04566668972061333,0.1624964873069843,0.1218723654802382,0.0,0.1624964873069843,major_confounding,transport_deck_or_viaduct
TP_0387,0.4847156422186593,361.0,0.4927832689088788,324.0,37.0,0.008067626690219487,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0207,0.6892216391251386,44.0,0.6915640766516777,30.0,14.0,0.002342437526539176,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0361,0.5036886349883711,324.0,0.5149540650993573,287.0,37.0,0.01126543011098613,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0738,0.5016147629206745,329.0,0.509257222548447,300.0,29.0,0.0076424596277724355,0.012379677569428,0.0111417098124852,0.012379677569428,0.0,clean_or_minor,minor_or_none
TP_0546,0.4942596850604076,347.0,0.3862188612830971,486.0,-139.0,-0.1080408237773105,0.3641345234877898,0.2731008926158423,0.0,0.3641345234877898,major_confounding,transport_deck_or_viaduct
TP_0382,0.3868457108967559,504.0,0.3828411162085873,487.0,17.0,-0.004004594688168606,0.0303265374713837,0.0272938837242454,0.0303265374713837,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0328,0.5008245983644268,331.0,0.5145877085545005,288.0,43.0,0.013763110190073702,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0933,0.6573451059200577,96.0,0.6603102757102316,79.0,17.0,0.002965169790173916,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0035,0.4973203273309709,340.0,0.5073151329417315,305.0,35.0,0.009994805610760549,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0555,0.6853014412530877,55.0,0.6866318357479655,41.0,14.0,0.001330394494877818,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0674,0.6849189366928563,57.0,0.6624411627689584,76.0,-19.0,-0.022477773923897937,0.0511733186631162,0.0460559867968046,0.0511733186631162,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0508,0.536497924973875,277.0,0.5448744204922304,247.0,30.0,0.008376495518355398,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0259,0.6833941946672506,61.0,0.6849999167835763,44.0,17.0,0.001605722116325703,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0276,0.4542116754008056,401.0,0.4615809982527019,365.0,36.0,0.007369322851896287,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0230,0.6828328349849091,62.0,0.6820398989892718,47.0,15.0,-0.000792935995637345,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0751,0.3970166719929185,488.0,0.3984573049207063,464.0,24.0,0.0014406329277877883,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0193,0.4970921623329981,342.0,0.5082395271348614,301.0,41.0,0.011147364801863346,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0798,0.389125563834675,497.0,0.3908001904688123,475.0,22.0,0.0016746266341373106,0.0095068730033988,0.0085561857030589,0.0095068730033988,0.0,clean_or_minor,minor_or_none
TP_0043,0.5995561820677652,183.0,0.6079324251277262,155.0,28.0,0.008376243059960986,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0664,0.3872768786080713,502.0,0.3909925507361078,474.0,28.0,0.0037156721280364735,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0597,0.4619181355504024,389.0,0.455286342962364,377.0,12.0,-0.006631792588038421,0.0276569188561275,0.0238146072384929,0.0204794539759815,0.007177464880146,moderate_confounding,pedestrian_shelter_shade
TP_0246,0.4935228582418993,349.0,0.5031899056268837,311.0,38.0,0.009667047384984417,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0217,0.4767282778362393,370.0,0.4841337712545762,336.0,34.0,0.007405493418336906,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
