cell_id,park_distance_m,nearest_park_name,large_park_distance_m,nearest_large_park_name
TP_0001,334.97969794520753,NOVENA RISE PK,1780.6753152735653,MACRITCHIE RESERVOIR PK
TP_0002,241.41521131212508,NOVENA RISE PK,1820.3805199145431,MACRITCHIE RESERVOIR PK
TP_0003,150.19866494531198,NOVENA RISE PK,1863.8810425915578,MACRITCHIE RESERVOIR PK
TP_0004,82.21811810399538,NOVENA RISE PK,1910.7550353602808,MACRITCHIE RESERVOIR PK
TP_0005,104.69001355320847,NOVENA RISE PK,1960.90570488462,MACRITCHIE RESERVOIR PK
TP_0006,187.51047685657304,NOVENA RISE PK,2013.9248625119988,MACRITCHIE RESERVOIR PK
TP_0007,281.70970683344916,NOVENA RISE PK,2067.986054583852,MACRITCHIE RESERVOIR PK
TP_0008,378.8938359453691,NOVENA RISE PK,2123.2141071491533,MACRITCHIE RESERVOIR PK
TP_0009,439.66986464315573,TOA PAYOH TOWN PK,2181.4601359617704,MACRITCHIE RESERVOIR PK
TP_0010,436.1747722161421,TOA PAYOH TOWN PK,2242.654343581176,MACRITCHIE RESERVOIR PK
TP_0011,426.51226795617845,TOA PAYOH TOWN PK,2306.5620921138643,MACRITCHIE RESERVOIR PK
TP_0012,425.3931178134,TOA PAYOH TOWN PK,2372.964151598135,MACRITCHIE RESERVOIR PK
TP_0013,447.17055434811493,TOA PAYOH TOWN PK,2441.657028487626,MACRITCHIE RESERVOIR PK
TP_0014,488.8391398701576,TOA PAYOH TOWN PK,2512.452830354471,MACRITCHIE RESERVOIR PK
TP_0015,545.8625327515992,TOA PAYOH TOWN PK,2585.178795509,MACRITCHIE RESERVOIR PK
TP_0016,613.9772835007708,TOA PAYOH TOWN PK,2659.676594013365,MACRITCHIE RESERVOIR PK
TP_0017,689.9060114595184,TOA PAYOH TOWN PK,2729.6518713604087,MACRITCHIE RESERVOIR PK
TP_0018,724.1363824592262,MAR THOMA ROAD PARK,2801.3137451586335,MACRITCHIE RESERVOIR PK
