cell_id,road_fraction
TP_0001,0.32208202204230074
TP_0002,0.24084249828567422
TP_0003,0.45353878962893635
TP_0004,0.10895730629999857
TP_0005,0.023388633724669212
TP_0006,0.005247482266644706
TP_0007,0.2143815181744911
TP_0008,0.1237017666895889
TP_0009,0.26060399059069295
TP_0010,0.2905641335598114
TP_0011,0.3948733843621772
TP_0012,0.30055382861235347
TP_0013,0.10623998663813054
TP_0014,0.08060390865427018
TP_0015,0.1070215626908324
TP_0016,0.1482765295787187
TP_0017,0.17799843226460718
TP_0018,0.02999615025595228
TP_0019,0.34955333494861063
TP_0020,0.08038655451079556
TP_0021,0.0
TP_0022,0.09522454336303335
TP_0023,0.17770879592648064
TP_0024,0.3321261031389391
TP_0025,0.0071931509366881105
TP_0026,0.12699949937904134
TP_0027,0.3329306553551248
TP_0028,0.32175324373872266
TP_0029,0.18165418052562876
TP_0030,0.3527385771027578
TP_0031,0.1461400252647973
TP_0032,0.43141102452308905
TP_0033,0.3039215020454251
TP_0034,0.3868423968095693
TP_0035,0.53553107223388
TP_0036,0.33503270696116716
TP_0037,0.21249195729063036
TP_0038,0.35882334297143825
TP_0039,0.18303375211325712
TP_0040,0.16736337009327884
TP_0041,0.17012789773629114
TP_0042,0.19453508072837275
TP_0043,0.18252361575950315
TP_0044,0.0681578715744937
TP_0045,0.0
TP_0046,0.03363055884419761
TP_0047,0.4245428660756147
TP_0048,0.003193360715943271
TP_0049,0.0
TP_0050,0.1353222268973522
TP_0051,0.2753311428025294
TP_0052,0.14043012837457203
TP_0053,0.059915520024265985
TP_0054,0.372118879840677
TP_0055,0.1990004565283758
TP_0056,0.25185859707782265
TP_0057,0.06730997442091018
TP_0058,0.03690498677860049
TP_0059,0.3651908662704279
TP_0060,0.42126376398340715
TP_0061,0.02182911939755404
TP_0062,0.14005191736781003
TP_0063,0.14001473294696895
TP_0064,0.05331643335741824
TP_0065,0.16926860042313843
TP_0066,0.23628409393723843
TP_0067,0.1677517787233872
TP_0068,0.11737721623256757
TP_0069,0.25698973387282914
TP_0070,0.18588465440524943
TP_0071,0.3019381378405528
TP_0072,0.16664883567460131
TP_0073,0.1864229744316538
TP_0074,0.10813917354099403
TP_0075,0.1661564424212638
TP_0076,0.13963649883503026
TP_0077,0.2090177291888367
TP_0078,0.2525750343263691
TP_0079,0.2940466284146819
TP_0080,0.07980047327707988
TP_0081,0.01816848591711855
