cell_id,building_density
TP_0001,0.0
TP_0002,0.0
TP_0003,0.03361837579619474
TP_0004,0.1619118094187601
TP_0005,0.07248968556483439
TP_0006,0.0
TP_0007,0.0
TP_0008,0.0
TP_0009,0.0
TP_0010,0.0
TP_0011,0.05032843030223542
TP_0012,0.0
TP_0013,0.0
TP_0014,0.0
TP_0015,0.0
TP_0016,0.0
TP_0017,0.009549324603618015
TP_0018,0.0
TP_0019,0.07815472907989418
TP_0020,0.3300004669843038
TP_0021,0.3219928818856151
TP_0022,0.2264826741814709
TP_0023,0.15551737522413525
TP_0024,0.04478904867541563
TP_0025,0.0
TP_0026,0.0
TP_0027,0.0
TP_0028,0.0
TP_0029,0.0
TP_0030,0.0
TP_0031,0.0
TP_0032,0.0
TP_0033,0.0
TP_0034,0.0
TP_0035,0.025492484864346493
TP_0036,0.0
TP_0037,0.0
TP_0038,0.0
TP_0039,0.0
TP_0040,0.0
TP_0041,0.0
TP_0042,0.0
TP_0043,0.0
TP_0044,0.03586912293911411
TP_0045,0.0
TP_0046,0.0
TP_0047,0.11076272054459489
TP_0048,0.33423538936534847
TP_0049,0.3415765096304993
TP_0050,0.17569802644239144
TP_0051,0.03818253778838666
TP_0052,0.22653876175443582
TP_0053,0.3591529388060688
TP_0054,0.00038113928149676314
TP_0055,0.0
TP_0056,0.0
TP_0057,0.0
TP_0058,0.0
TP_0059,0.0
TP_0060,0.0
TP_0061,0.0
TP_0062,0.0
TP_0063,0.0036507492790353816
TP_0064,0.15903469147997848
TP_0065,0.0
TP_0066,0.0
TP_0067,0.0
TP_0068,0.0
TP_0069,0.0
TP_0070,0.0
TP_0071,0.022510152201876146
TP_0072,0.06754443614747917
TP_0073,0.04962666591172977
TP_0074,0.09530505128587628
TP_0075,0.07518592928808229
TP_0076,0.20969889077006032
TP_0077,0.26348823831103074
TP_0078,0.3002351918922942
TP_0079,0.06933450869240722
TP_0080,0.08057074014652114
TP_0081,0.3827685915932189
TP_0082,0.2825172665978897
TP_0083,0.18334125437167434
TP_0084,0.0
TP_0085,0.0
TP_0086,0.0
TP_0087,0.0
TP_0088,0.0
TP_0089,0.0
TP_0090,0.0
TP_0091,0.0
TP_0092,0.010858768530400055
TP_0093,0.2218773777837865
TP_0094,0.005717362694809623
TP_0095,0.0
TP_0096,0.0
TP_0097,0.0
TP_0098,0.0
TP_0099,0.0
TP_0100,0.16023986247193853
TP_0101,0.100806536125414
TP_0102,0.0
TP_0103,0.1067926745576289
TP_0104,0.14002130821661393
TP_0105,0.10931711370921393
TP_0106,0.07176881661896402
TP_0107,0.10430563565007685
TP_0108,0.050337308871640986
TP_0109,0.0
TP_0110,0.03191675577094158
TP_0111,0.043073113765509416
TP_0112,0.09028381263777914
TP_0113,0.0
TP_0114,0.0
TP_0115,0.0
TP_0116,0.0
TP_0117,0.0
TP_0118,0.0
TP_0119,0.05833947181631306
TP_0120,0.12746009779381978
TP_0121,0.0
TP_0122,0.003262481569015702
TP_0123,0.0
TP_0124,0.0
TP_0125,0.0
TP_0126,0.0
TP_0127,0.0
TP_0128,0.0
TP_0129,0.0
TP_0130,0.0
TP_0131,0.0
TP_0132,0.0
TP_0133,0.0
TP_0134,0.046165287818443985
TP_0135,0.03499671389972882
TP_0136,0.0
TP_0137,0.05274839532855311
TP_0138,0.012182676178050144
TP_0139,0.0
TP_0140,0.0
TP_0141,0.0
TP_0142,0.0
TP_0143,0.0
TP_0144,0.0
TP_0145,0.362316837397037
TP_0146,0.0
TP_0147,0.0
TP_0148,0.27837365067021047
TP_0149,0.3018340869046879
TP_0150,0.0003554700679819847
TP_0151,0.22141051275607596
TP_0152,0.31238040411157086
TP_0153,0.0
TP_0154,0.016526223627983505
TP_0155,0.0
TP_0156,0.0
TP_0157,0.0
TP_0158,0.0
TP_0159,0.0
TP_0160,0.0
TP_0161,0.0
TP_0162,0.0
TP_0163,0.17772305696591376
TP_0164,0.31392360029599164
TP_0165,0.01117395560316189
TP_0166,0.1551807239152032
TP_0167,0.3547917427652982
TP_0168,0.09563751204058514
TP_0169,0.0
TP_0170,0.0
TP_0171,0.0
TP_0172,0.0
TP_0173,0.0
TP_0174,0.010943468535232662
TP_0175,0.0
TP_0176,0.0
TP_0177,0.032663616156245835
TP_0178,0.2064117128063294
TP_0179,0.06460931617288036
TP_0180,0.0806664652629259
TP_0181,0.11331299048191931
TP_0182,0.0
TP_0183,0.12562345333090755
TP_0184,0.18004864645138272
TP_0185,0.1105914273607151
TP_0186,0.0016608300030646354
TP_0187,0.0429597792258414
TP_0188,0.02296496759458151
TP_0189,0.0
TP_0190,0.0
TP_0191,0.0
TP_0192,0.1895788990895299
TP_0193,0.34656304123180115
TP_0194,0.2398443404442196
TP_0195,0.38057494854764334
TP_0196,0.38466982837554076
TP_0197,0.3046820479693817
TP_0198,0.01617967950913643
TP_0199,0.0
TP_0200,0.0
TP_0201,0.0
TP_0202,0.0
TP_0203,0.0
TP_0204,0.0
TP_0205,0.0
TP_0206,0.0
TP_0207,0.0
TP_0208,0.11476255110134577
TP_0209,0.1338972625498123
TP_0210,0.26259762141925425
TP_0211,0.08241229851539786
TP_0212,0.7776572031952336
TP_0213,0.6672624612032174
TP_0214,0.4535692851032253
TP_0215,0.27451767430380764
TP_0216,0.021290869241764848
TP_0217,0.0
TP_0218,0.0
TP_0219,0.01428858635072344
TP_0220,0.0
TP_0221,0.11114045087432674
TP_0222,0.1561745368816713
TP_0223,0.17550623232076323
TP_0224,0.17456058916900247
TP_0225,0.12798352783371367
TP_0226,0.12980048983224013
TP_0227,0.0512300918852766
TP_0228,0.0
TP_0229,0.0
TP_0230,0.0
TP_0231,0.0
TP_0232,0.09215265546327278
TP_0233,0.0
TP_0234,0.0
TP_0235,0.0
TP_0236,0.0
TP_0237,0.0
TP_0238,0.0
TP_0239,0.4167356619062516
TP_0240,0.10682941688638384
TP_0241,0.37684798847959183
TP_0242,0.46989541251866984
TP_0243,0.5504139936849102
TP_0244,0.3195393619967511
TP_0245,0.09879220633246252
TP_0246,0.0
TP_0247,0.0
TP_0248,0.08264808952670574
TP_0249,0.1221008229783119
TP_0250,0.2352756219555863
TP_0251,0.1114446937359761
TP_0252,0.21598256905152421
TP_0253,0.127125704273086
TP_0254,0.0
TP_0255,0.0
TP_0256,0.0
TP_0257,0.0
TP_0258,0.0
TP_0259,0.0
TP_0260,0.0
TP_0261,0.11755535159585132
TP_0262,0.0
TP_0263,0.0
TP_0264,0.0
TP_0265,0.0
TP_0266,0.10914504935314308
TP_0267,0.14928548314823584
TP_0268,0.4834770687555523
TP_0269,0.08626746769437661
TP_0270,0.03183825987438324
TP_0271,0.1825633777527021
TP_0272,0.18356820938534196
TP_0273,0.15341069041542543
TP_0274,0.04203348095148694
TP_0275,0.2795789041977406
TP_0276,0.26670312252574313
TP_0277,0.018510639640354664
TP_0278,0.1512800979512174
TP_0279,0.12043575967907307
TP_0280,0.09080098447846574
TP_0281,0.16331996428059356
TP_0282,0.07111580370497755
TP_0283,0.0
TP_0284,0.0
TP_0285,0.0
TP_0286,0.0
TP_0287,0.03291498637984436
TP_0288,0.018387225563210624
TP_0289,0.0
TP_0290,0.1877210084020987
TP_0291,0.0
TP_0292,0.0
TP_0293,0.0
TP_0294,0.0
TP_0295,0.16662611229027396
TP_0296,0.047044804457602875
TP_0297,0.4308848139765885
TP_0298,0.2281966477935517
TP_0299,0.23185924949808337
TP_0300,0.4351865790406206
TP_0301,0.39487602455354603
TP_0302,0.19263263799076263
TP_0303,0.030182376638290032
TP_0304,0.16498464826610704
TP_0305,0.09889443816714283
TP_0306,0.05360959005282475
TP_0307,0.416480182383461
TP_0308,0.24015110770346845
TP_0309,0.10506403648235987
TP_0310,0.186747972565021
TP_0311,0.0278684946035396
TP_0312,0.0
TP_0313,0.0
TP_0314,0.0
TP_0315,0.0
TP_0316,0.1626139188555068
TP_0317,0.1534733928265547
TP_0318,0.0
TP_0319,0.2629269046325296
TP_0320,0.0
TP_0321,0.0
TP_0322,0.0
TP_0323,0.0
TP_0324,0.16711106554692715
TP_0325,0.19750526630460497
TP_0326,0.23097171860501667
TP_0327,0.05757196481447995
TP_0328,0.4638148070776382
TP_0329,0.4091309326778873
TP_0330,0.5069877959352057
TP_0331,0.18201153140601553
TP_0332,0.22355480870705288
TP_0333,0.20961693976005513
TP_0334,0.25688599918831145
TP_0335,0.13906697726955267
TP_0336,0.19315875296408228
TP_0337,0.0
TP_0338,0.2881753962280499
TP_0339,0.2999181013702715
TP_0340,0.16506653395174609
TP_0341,0.2185228383991353
TP_0342,0.0062674890737634
TP_0343,0.0
TP_0344,0.0
TP_0345,0.17907078558360429
TP_0346,0.2862952624248374
TP_0347,0.0
