cell_id,water_distance_m,nearest_water_name
TP_0001,498.65563825953967,None
TP_0002,428.6495084537443,None
TP_0003,372.59006512150097,None
TP_0004,337.5000920842127,None
TP_0005,329.66649469570484,None
TP_0006,279.1421768435902,None
TP_0007,186.6124876271883,None
TP_0008,108.29628887379673,None
TP_0009,87.12087979904659,None
TP_0010,139.3923444610286,None
TP_0011,226.42968818537065,None
TP_0012,237.49237764107508,Whampoa River
TP_0013,191.71917377146391,Whampoa River
TP_0014,145.94596990185272,Whampoa River
TP_0015,100.17276603224154,Whampoa River
TP_0016,54.39956216263036,Whampoa River
TP_0017,1.6503497309294686,Whampoa River
TP_0018,38.2683368076197,Whampoa River
TP_0019,91.36613715320686,Whampoa River
TP_0020,147.56804693072073,Whampoa River
TP_0021,208.45940771255624,Whampoa River
TP_0022,269.69076532208396,Whampoa River
TP_0023,331.23409675606234,Whampoa River
TP_0024,392.22704878283946,None
TP_0025,361.3752299770734,None
TP_0026,275.4119946650687,None
TP_0027,193.21029323442025,None
TP_0028,111.84805862558103,None
TP_0029,30.516746009730344,None
TP_0030,439.11996247188955,None
TP_0031,357.64409259894313,None
TP_0032,288.08375952234644,None
TP_0033,240.9879831654202,None
TP_0034,229.69473128871059,None
TP_0035,232.07097228994758,None
TP_0036,165.20547507546183,None
TP_0037,65.22178666529616,None
TP_0038,8.005969595366091,None
TP_0039,105.54827805212378,None
TP_0040,194.356561678551,Whampoa River
TP_0041,148.58335780893987,Whampoa River
TP_0042,102.81015393932869,Whampoa River
TP_0043,57.036950069717506,Whampoa River
TP_0044,11.26374620010633,Whampoa River
TP_0045,25.13512815301449,Whampoa River
TP_0046,72.78371438808226,Whampoa River
TP_0047,123.00689708840429,Whampoa River
TP_0048,176.10469743399148,Whampoa River
TP_0049,229.20249777957864,Whampoa River
TP_0050,268.6584195184658,None
TP_0051,250.66295857162123,None
TP_0052,269.12937906545,None
TP_0053,295.8681445829739,None
TP_0054,299.946849299217,None
TP_0055,224.3764631645729,None
TP_0056,138.3318675064424,None
TP_0057,53.88936207068114,None
TP_0058,0.0,None
TP_0059,396.2262451107933,None
TP_0060,303.44388747214236,None
TP_0061,217.1661768642021,None
TP_0062,149.14457383164037,None
TP_0063,129.7229678817163,None
TP_0064,132.09920888295332,None
TP_0065,135.79883288007795,None
TP_0066,115.4013749946848,None
TP_0067,77.4174193075809,None
TP_0068,128.95549263067085,None
TP_0069,105.44754184641579,Whampoa River
TP_0070,59.67433797680465,Whampoa River
TP_0071,13.901134107193473,Whampoa River
TP_0072,22.37511072463984,Whampoa River
TP_0073,68.17859797083305,Whampoa River
TP_0074,100.34600941845265,None
TP_0075,91.70216125156668,None
TP_0076,104.18895115725455,None
TP_0077,178.7533295646177,None
TP_0078,194.21273373159525,Ban Yue Chi
