cell_id,land_use_hint,land_use_raw,land_use_fraction,gpr_area_weighted
TP_0001,residential,RESIDENTIAL,0.7464125719039746,0.0
TP_0002,residential,RESIDENTIAL,0.682753908239668,0.0049428979798329265
TP_0003,transport,ROAD,0.5584789186817296,0.49829698190774463
TP_0004,residential,COMMERCIAL & RESIDENTIAL,0.8720976333475102,2.6162929000425303
TP_0005,residential,COMMERCIAL & RESIDENTIAL,0.5117502303384036,1.5352506910152106
TP_0006,civic_institutional,EDUCATIONAL INSTITUTION,0.677438872341014,0.9256139111465239
TP_0007,residential,RESIDENTIAL,0.2567918303908028,1.6856948579657671
TP_0008,residential,RESIDENTIAL,0.3706811564761483,1.726269649283179
TP_0009,residential,RESIDENTIAL,0.4250581403217602,1.6165162092212455
TP_0010,residential,RESIDENTIAL,0.4504223631780421,2.046387256956722
TP_0011,residential,COMMERCIAL & RESIDENTIAL,0.4334497022276166,1.4232293645753031
TP_0012,residential,COMMERCIAL & RESIDENTIAL,0.3625045678148996,1.914591944958391
TP_0013,residential,RESIDENTIAL,0.6717110382997066,2.5267641249473867
TP_0014,residential,RESIDENTIAL,0.4245340481768107,2.1148288869634757
TP_0015,commercial,BUSINESS 1,0.739201168799813,1.8622136370677822
TP_0016,commercial,BUSINESS 1,0.42553712672563115,1.9095951392176662
TP_0017,transport,ROAD,0.2522580595873023,0.9548145257179783
TP_0018,transport,TRANSPORT FACILITIES,0.5938354204989067,0.037980866351815135
TP_0019,park_open_space,PARK,0.4074073224497554,0.9748296076190253
TP_0020,residential,RESIDENTIAL,0.9434869724287751,2.830460917286325
TP_0021,residential,RESIDENTIAL,1.0,3.0
TP_0022,residential,RESIDENTIAL,0.8885276512498458,2.6655829537495372
TP_0023,residential,RESIDENTIAL,0.6995146401089397,2.098543899637213
TP_0024,transport,ROAD,0.6609896491554493,0.37165174587967115
TP_0025,civic_institutional,SPORTS & RECREATION,0.8752865923319597,0.20471232191233418
TP_0026,residential,RESIDENTIAL,0.461536991416277,1.2326209099386174
TP_0027,residential,RESIDENTIAL,0.6682135266482694,1.1420149397854176
TP_0028,residential,RESIDENTIAL,0.7250980372436554,1.245371644690889
TP_0029,residential,RESIDENTIAL,0.54534440592807,1.1557779259933711
TP_0030,residential,RESIDENTIAL,0.5423470297663697,0.0
TP_0031,transport,ROAD,0.4513848120067457,0.0
TP_0032,transport,ROAD,0.479087039184055,1.3311497836013966
TP_0033,transport,ROAD,0.46474648411174296,1.5494131132138254
TP_0034,residential,RESIDENTIAL,0.37134230877359165,1.8220657243675213
TP_0035,transport,ROAD,0.4070067617606156,1.7304096401955362
TP_0036,residential,COMMERCIAL & RESIDENTIAL,0.3315537890522098,1.5887017236547887
TP_0037,other,HOTEL,0.6670744277225719,2.303070328754718
TP_0038,other,HOTEL,0.40432318356958763,1.2129695507087628
TP_0039,commercial,BUSINESS 1,0.42553902448534947,1.5010874764841344
TP_0040,residential,RESIDENTIAL,0.49561167410788537,2.0207033801336505
TP_0041,residential,RESIDENTIAL,0.8040787205862906,1.518162814444972
TP_0042,residential,RESIDENTIAL,0.6759746939193164,1.5501402775058102
TP_0043,civic_institutional,CIVIC & COMMUNITY INSTITUTION,0.36527887770338463,0.6939849811159855
TP_0044,commercial,BUSINESS 1,0.31906351415929796,1.4671311074949147
TP_0045,residential,RESIDENTIAL,0.7638865387715408,0.39631003050350466
TP_0046,residential,RESIDENTIAL,0.7249220484082359,0.0
TP_0047,residential,RESIDENTIAL,0.4624630827168792,1.0715379080195475
TP_0048,residential,RESIDENTIAL,0.8986365824618592,1.7429830100968775
TP_0049,residential,RESIDENTIAL,0.9501220971080476,1.901989656411006
TP_0050,residential,RESIDENTIAL,0.6724985648249228,2.0174956944747677
TP_0051,civic_institutional,EDUCATIONAL INSTITUTION,0.6213040750692963,0.394143999696496
TP_0052,residential,RESIDENTIAL,0.8213128026276146,2.474108310694907
TP_0053,residential,RESIDENTIAL,0.8317369513557418,2.8797271227755132
TP_0054,transport,ROAD,0.6477925715335253,0.9138934578463839
TP_0055,residential,RESIDENTIAL,0.5379930709199593,1.506380598575886
TP_0056,civic_institutional,PLACE OF WORSHIP,0.3979547959462851,1.0181330024471023
TP_0057,residential,RESIDENTIAL,0.894983375113293,2.396615714648023
TP_0058,water,WATERBODY,0.612862378554141,0.5414990717422999
TP_0059,transport,TRANSPORT FACILITIES,0.9497502090680621,0.0
TP_0060,transport,ROAD,0.5073688910364035,0.2993645067743355
TP_0061,residential,RESIDENTIAL,0.9437737286018273,2.6425664400851163
TP_0062,residential,RESIDENTIAL,0.6710447017646298,1.878925164940963
TP_0063,residential,RESIDENTIAL,0.8417603608139343,2.356929010279016
TP_0064,residential,RESIDENTIAL,0.9247026310881938,2.5891673670469424
TP_0065,other,RESERVE SITE,0.5573971043188146,0.6544219600890379
TP_0066,other,RESERVE SITE,0.271918275246994,0.47068194832980254
TP_0067,civic_institutional,CIVIC & COMMUNITY INSTITUTION,0.26449746436028515,0.7457826873101063
TP_0068,residential,RESIDENTIAL,0.842370283816124,2.3694162985410157
TP_0069,residential,RESIDENTIAL,0.7513551962320644,2.10379454944978
TP_0070,residential,RESIDENTIAL,0.7787413735076242,2.1804758458213476
TP_0071,residential,RESIDENTIAL,0.4725659982317755,1.3231847950489712
TP_0072,residential,RESIDENTIAL,0.5952352120717824,0.7778153666634233
TP_0073,residential,RESIDENTIAL,0.7506796842242487,0.8918841073079365
TP_0074,residential,RESIDENTIAL,0.8624196543423255,1.4952072630983861
TP_0075,residential,RESIDENTIAL,0.781165077330309,1.2700693741854776
TP_0076,residential,RESIDENTIAL,0.776424712178973,2.111328199725541
TP_0077,residential,RESIDENTIAL,0.6310541583245249,0.11164842549584421
TP_0078,residential,RESIDENTIAL,0.7418278621777226,0.03193664520226226
TP_0079,civic_institutional,EDUCATIONAL INSTITUTION,0.42580752633743424,0.03756954002058967
TP_0080,civic_institutional,EDUCATIONAL INSTITUTION,0.604725135172891,0.8224094173165948
TP_0081,residential,RESIDENTIAL,0.9776765274204839,2.933029582261452
TP_0082,residential,RESIDENTIAL,0.8218108222648645,2.8382619725146006
TP_0083,transport,ROAD,0.5420313032687242,1.5717021876492008
TP_0084,residential,RESIDENTIAL,0.5959975515879457,1.6687931444462476
TP_0085,residential,RESIDENTIAL,0.5950668769682059,1.6566556975175728
TP_0086,water,WATERBODY,0.5103573330193896,0.8204710534948033
