station_id,buffer_m,feature_name,feature_value,feature_unit,feature_group,source_name,extraction_method,coverage_status,notes
S124,50,water_fraction,0.000000,fraction,water,osm_station_context_water,deterministic_grid_polygon_union_fraction,usable_all_27,Polygonal OSM water sampled inside metric station buffer.
S124,50,distance_to_water_m,406.484369,m,water,osm_station_context_water,nearest_geometry_distance,usable_all_27,Nearest OSM water geometry; repeated across buffer sizes.
S124,50,green_space_fraction,0.000000,fraction,green,osm_station_context_green,deterministic_grid_polygon_union_fraction,usable_all_27,Polygonal OSM green/park features sampled inside metric station buffer.
S124,50,distance_to_park_or_green_m,147.822343,m,green,osm_station_context_green,nearest_geometry_distance,usable_all_27,Nearest OSM green/park geometry; repeated across buffer sizes.
S124,50,road_length_m,75.810267,m,roads,osm_station_context_roads,line_circle_intersection_length,usable_all_27,OSM highway line length clipped to metric station buffer.
S124,50,road_density_m_per_ha,96.524630,m/ha,roads,osm_station_context_roads,line_circle_intersection_length_per_buffer_ha,usable_all_27,Road length divided by circular buffer area in hectares.
S124,50,major_road_length_m,0.000000,m,roads,osm_station_context_roads,line_circle_intersection_length,usable_all_27,Major roads use configured OSM highway classes.
S124,50,distance_to_major_road_m,388.030451,m,roads,osm_station_context_roads,nearest_major_highway_distance,usable_all_27,Nearest configured major OSM highway class; repeated across buffer sizes.
S124,50,building_footprint_fraction,0.044164,fraction,buildings,osm_station_context_buildings,deterministic_grid_polygon_union_fraction,usable_all_27,Polygonal OSM building footprints sampled inside metric station buffer.
S124,50,building_count,1.000000,count,buildings,osm_station_context_buildings,polygon_intersects_metric_buffer_count,usable_all_27,Count of building footprint features intersecting the buffer.
S124,50,landuse_majority,,category,landuse,osm_station_context_landuse,deterministic_grid_majority_class,partial_no_polygon_at_buffer,OSM landuse polygons are not exhaustive; sampled source-covered fraction=0.000000.
S124,50,landuse_entropy,,bits,landuse,osm_station_context_landuse,deterministic_grid_class_entropy,partial_no_polygon_at_buffer,OSM landuse polygons are not exhaustive; sampled source-covered fraction=0.000000.
S124,100,water_fraction,0.000000,fraction,water,osm_station_context_water,deterministic_grid_polygon_union_fraction,usable_all_27,Polygonal OSM water sampled inside metric station buffer.
S124,100,distance_to_water_m,406.484369,m,water,osm_station_context_water,nearest_geometry_distance,usable_all_27,Nearest OSM water geometry; repeated across buffer sizes.
S124,100,green_space_fraction,0.000000,fraction,green,osm_station_context_green,deterministic_grid_polygon_union_fraction,usable_all_27,Polygonal OSM green/park features sampled inside metric station buffer.
S124,100,distance_to_park_or_green_m,147.822343,m,green,osm_station_context_green,nearest_geometry_distance,usable_all_27,Nearest OSM green/park geometry; repeated across buffer sizes.
S124,100,road_length_m,317.140871,m,roads,osm_station_context_roads,line_circle_intersection_length,usable_all_27,OSM highway line length clipped to metric station buffer.
S124,100,road_density_m_per_ha,100.949075,m/ha,roads,osm_station_context_roads,line_circle_intersection_length_per_buffer_ha,usable_all_27,Road length divided by circular buffer area in hectares.
S124,100,major_road_length_m,0.000000,m,roads,osm_station_context_roads,line_circle_intersection_length,usable_all_27,Major roads use configured OSM highway classes.
S124,100,distance_to_major_road_m,388.030451,m,roads,osm_station_context_roads,nearest_major_highway_distance,usable_all_27,Nearest configured major OSM highway class; repeated across buffer sizes.
S124,100,building_footprint_fraction,0.060127,fraction,buildings,osm_station_context_buildings,deterministic_grid_polygon_union_fraction,usable_all_27,Polygonal OSM building footprints sampled inside metric station buffer.
S124,100,building_count,3.000000,count,buildings,osm_station_context_buildings,polygon_intersects_metric_buffer_count,usable_all_27,Count of building footprint features intersecting the buffer.
S124,100,landuse_majority,,category,landuse,osm_station_context_landuse,deterministic_grid_majority_class,partial_no_polygon_at_buffer,OSM landuse polygons are not exhaustive; sampled source-covered fraction=0.000000.
S124,100,landuse_entropy,,bits,landuse,osm_station_context_landuse,deterministic_grid_class_entropy,partial_no_polygon_at_buffer,OSM landuse polygons are not exhaustive; sampled source-covered fraction=0.000000.
S124,250,water_fraction,0.000000,fraction,water,osm_station_context_water,deterministic_grid_polygon_union_fraction,usable_all_27,Polygonal OSM water sampled inside metric station buffer.
S124,250,distance_to_water_m,406.484369,m,water,osm_station_context_water,nearest_geometry_distance,usable_all_27,Nearest OSM water geometry; repeated across buffer sizes.
S124,250,green_space_fraction,0.152439,fraction,green,osm_station_context_green,deterministic_grid_polygon_union_fraction,usable_all_27,Polygonal OSM green/park features sampled inside metric station buffer.
S124,250,distance_to_park_or_green_m,147.822343,m,green,osm_station_context_green,nearest_geometry_distance,usable_all_27,Nearest OSM green/park geometry; repeated across buffer sizes.
S124,250,road_length_m,2217.256752,m,roads,osm_station_context_roads,line_circle_intersection_length,usable_all_27,OSM highway line length clipped to metric station buffer.
S124,250,road_density_m_per_ha,112.923959,m/ha,roads,osm_station_context_roads,line_circle_intersection_length_per_buffer_ha,usable_all_27,Road length divided by circular buffer area in hectares.
S124,250,major_road_length_m,0.000000,m,roads,osm_station_context_roads,line_circle_intersection_length,usable_all_27,Major roads use configured OSM highway classes.
S124,250,distance_to_major_road_m,388.030451,m,roads,osm_station_context_roads,nearest_major_highway_distance,usable_all_27,Nearest configured major OSM highway class; repeated across buffer sizes.
S124,250,building_footprint_fraction,0.097561,fraction,buildings,osm_station_context_buildings,deterministic_grid_polygon_union_fraction,usable_all_27,Polygonal OSM building footprints sampled inside metric station buffer.
S124,250,building_count,31.000000,count,buildings,osm_station_context_buildings,polygon_intersects_metric_buffer_count,usable_all_27,Count of building footprint features intersecting the buffer.
S124,250,landuse_majority,green_space,category,landuse,osm_station_context_landuse,deterministic_grid_majority_class,usable_all_27,OSM landuse polygons are not exhaustive; sampled source-covered fraction=0.156504.
S124,250,landuse_entropy,0.173781,bits,landuse,osm_station_context_landuse,deterministic_grid_class_entropy,usable_all_27,OSM landuse polygons are not exhaustive; sampled source-covered fraction=0.156504.
S124,500,water_fraction,0.000000,fraction,water,osm_station_context_water,deterministic_grid_polygon_union_fraction,usable_all_27,Polygonal OSM water sampled inside metric station buffer.
S124,500,distance_to_water_m,406.484369,m,water,osm_station_context_water,nearest_geometry_distance,usable_all_27,Nearest OSM water geometry; repeated across buffer sizes.
