model_name,event_target,official_event_threshold_c,output_kind,output_id,validation_method,operating_point,threshold_source,status,n_folds_evaluated,n_folds_skipped,threshold,threshold_min,threshold_max,precision,recall,F1,CSI,false_alarm_ratio,miss_rate,TP,FP,FN,TN,n,fold_F1_std,fold_recall_std,fold_precision_std
M4_inertia_ridge,ge31,31.0,probability,empirical_score_bin,station_grouped_loso,best_F1,train_selected,evaluated_on_heldout,27,0,0.10703703703703701,0.09,0.12,0.5522388059701493,0.9068627450980392,0.6864564007421151,0.5225988700564972,0.44776119402985076,0.09313725490196079,185.0,150.0,19.0,1320.0,1674.0,0.17981634545645958,0.09991170314443246,0.23773205159631033
M4_inertia_ridge,ge31,31.0,probability,empirical_score_bin,station_grouped_loso,max_Youden,train_selected,evaluated_on_heldout,27,0,0.10703703703703701,0.09,0.12,0.5522388059701493,0.9068627450980392,0.6864564007421151,0.5225988700564972,0.44776119402985076,0.09313725490196079,185.0,150.0,19.0,1320.0,1674.0,0.17981634545645958,0.09991170314443246,0.23773205159631033
M4_inertia_ridge,ge31,31.0,probability,empirical_score_bin,station_grouped_loso,precision_70,train_selected,evaluated_on_heldout,1,26,0.45,0.45,0.45,0.0,,,0.0,1.0,,0.0,7.0,0.0,55.0,62.0,,,0.0
M4_inertia_ridge,ge31,31.0,probability,empirical_score_bin,station_grouped_loso,recall_90,train_selected,evaluated_on_heldout,27,0,0.4292592592592592,0.41,0.44,0.5522388059701493,0.9068627450980392,0.6864564007421151,0.5225988700564972,0.44776119402985076,0.09313725490196079,185.0,150.0,19.0,1320.0,1674.0,0.17981634545645958,0.09991170314443246,0.23773205159631033
M4_inertia_ridge,ge31,31.0,probability,isotonic_score_only,station_grouped_loso,best_F1,train_selected,evaluated_on_heldout,27,0,0.3085185185185185,0.28,0.34,0.6782608695652174,0.7647058823529411,0.7188940092165899,0.5611510791366906,0.3217391304347826,0.23529411764705882,156.0,74.0,48.0,1396.0,1674.0,0.1771563816490753,0.14026166715264068,0.2726803925032969
M4_inertia_ridge,ge31,31.0,probability,isotonic_score_only,station_grouped_loso,max_Youden,train_selected,evaluated_on_heldout,27,0,0.06407407407407407,0.04,0.07,0.5462184873949579,0.9558823529411765,0.695187165775401,0.5327868852459017,0.453781512605042,0.04411764705882353,195.0,162.0,9.0,1308.0,1674.0,0.18230584086925786,0.06064458827925567,0.22728686705300147
M4_inertia_ridge,ge31,31.0,probability,isotonic_score_only,station_grouped_loso,precision_70,train_selected,evaluated_on_heldout,27,0,0.6137037037037038,0.31,0.66,0.652542372881356,0.37745098039215685,0.4782608695652174,0.3142857142857143,0.3474576271186441,0.6225490196078431,77.0,41.0,127.0,1429.0,1674.0,0.14351618439792532,0.18968393319663984,0.28273866125782254
M4_inertia_ridge,ge31,31.0,probability,isotonic_score_only,station_grouped_loso,recall_90,train_selected,evaluated_on_heldout,27,0,0.2959259259259259,0.27,0.31,0.5451977401129944,0.946078431372549,0.6917562724014337,0.5287671232876713,0.4548022598870056,0.05392156862745098,193.0,161.0,11.0,1309.0,1674.0,0.18018912090221795,0.06841577136147403,0.22688519210089467
M4_inertia_ridge,ge31,31.0,probability,isotonic_score_only,station_grouped_loso,selected_candidate_policy,selected_policy_from_best_F1,evaluated_on_heldout,27,0,0.3085185185185185,0.28,0.34,0.6782608695652174,0.7647058823529411,0.7188940092165899,0.5611510791366906,0.3217391304347826,0.23529411764705882,156.0,74.0,48.0,1396.0,1674.0,0.1771563816490753,0.14026166715264068,0.2726803925032969
M4_inertia_ridge,ge31,31.0,probability,logistic_score_hour_diagnostic,station_grouped_loso,best_F1,train_selected,evaluated_on_heldout,27,0,0.42111111111111116,0.4,0.44,0.6639004149377593,0.7843137254901961,0.7191011235955055,0.5614035087719298,0.3360995850622407,0.21568627450980393,160.0,81.0,44.0,1389.0,1674.0,0.17926564131771827,0.12338013202127483,0.27134858989977595
