model_name,event_target,official_event_threshold_c,calibrator_id,calibrator_family,diagnostic_only,validation_method,bin_kind,probability_bin,n,event_count,observed_event_rate,mean_predicted_probability,calibration_gap,abs_calibration_gap,p_min,p_max,mean_score,station_count,low_support
M4_inertia_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,quantile,"(-0.000999, 0.0807]",1178,5,0.004244482173174873,0.0013242930485400037,-0.0029201891246348694,0.0029201891246348694,1e-06,0.08074534161490683,26.277696128793497,27,False
M4_inertia_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,quantile,"(0.0807, 0.234]",161,14,0.08695652173913043,0.10323675784113268,0.016280236102002243,0.016280236102002243,0.08695652173913043,0.11180124223602485,29.380130533905515,26,False
M4_inertia_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,quantile,"(0.234, 0.447]",168,73,0.43452380952380953,0.4336364980774919,-0.0008873114463176512,0.0008873114463176512,0.4161490683229814,0.4472049689440994,30.532219699628172,27,False
M4_inertia_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,quantile,"(0.447, 0.704]",167,112,0.6706586826347305,0.6741332150513788,0.0034745324166483016,0.0034745324166483016,0.6604938271604939,0.7037037037037037,31.375267274985877,27,False
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,quantile,"(-0.000999, 0.0449]",1175,6,0.005106382978723404,0.0006219390104929557,-0.004484443968230448,0.004484443968230448,1e-06,0.04487179487179487,26.27066155342022,27,False
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,quantile,"(0.0449, 0.287]",165,20,0.12121212121212122,0.08713210752426252,-0.03408001368785869,0.03408001368785869,0.045454545454545456,0.28688524590163933,29.406048189520885,27,False
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,quantile,"(0.287, 0.639]",182,88,0.4835164835164835,0.44411961936396116,-0.03939686415252236,0.03939686415252236,0.29464285714285715,0.639344262295082,30.589216929501248,27,False
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,quantile,"(0.639, 1.0]",152,90,0.5921052631578947,0.7110571716160962,0.11895190845820147,0.11895190845820147,0.64,0.999999,31.36280817387349,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(-0.0009876, 2.89e-05]",168,0,0.0,2.2734752386417498e-05,2.2734752386417498e-05,2.2734752386417498e-05,1.235612379862906e-05,2.885967292268856e-05,25.528950200896887,21,False
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.000155, 0.000349]",167,0,0.0,0.00023648121903135203,0.00023648121903135203,0.00023648121903135203,0.00015486944772414546,0.0003482100266808103,26.116398917368752,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.000349, 0.00302]",167,0,0.0,0.0011117190121716903,0.0011117190121716903,0.0011117190121716903,0.0003490360231001925,0.0030172687371029577,26.59691554663586,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.00302, 0.0388]",168,3,0.017857142857142856,0.013137403936665317,-0.004719738920477539,0.004719738920477539,0.003020293231497073,0.038736326674697,27.983737767351386,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.0388, 0.222]",167,21,0.12574850299401197,0.1021174012480404,-0.023631101745971564,0.023631101745971564,0.03899573272614673,0.22089571699515884,29.371761526216595,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.222, 0.582]",167,70,0.41916167664670656,0.4001728758316571,-0.018988800815049445,0.018988800815049445,0.22428923873363005,0.5807489590032517,30.53465673312898,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.582, 0.855]",168,110,0.6547619047619048,0.699715594566971,0.0449536898050662,0.0449536898050662,0.5825950700313517,0.8554732937380619,31.36232171441949,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(2.89e-05, 4.49e-05]",167,0,0.0,3.566500077904359e-05,3.566500077904359e-05,3.566500077904359e-05,2.8919375669425827e-05,4.4867251061399476e-05,25.711408091445012,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(4.49e-05, 7.34e-05]",167,0,0.0,5.628127215496895e-05,5.628127215496895e-05,5.628127215496895e-05,4.4892195690410534e-05,7.291418182642693e-05,25.866776919008696,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(7.34e-05, 0.000155]",168,0,0.0,0.00010617993434972079,0.00010617993434972079,0.00010617993434972079,7.345103866589935e-05,0.00015441304926934937,26.037831618477785,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(-0.0009356, 0.0002]",168,0,0.0,0.00016248318645923802,0.00016248318645923802,0.00016248318645923802,6.444138688755589e-05,0.0002002468729003487,25.432859826561792,19,False
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(0.0002, 0.000263]",167,0,0.0,0.0002306784095657546,0.0002306784095657546,0.0002306784095657546,0.00020099645405425762,0.00026208376323917144,25.627342498307495,26,False
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(0.000263, 0.000363]",167,0,0.0,0.0003068282055105762,0.0003068282055105762,0.0003068282055105762,0.0002638240120100222,0.0003619629901254383,25.806246434454533,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(0.000363, 0.000497]",168,0,0.0,0.0004222788838667116,0.0004222788838667116,0.0004222788838667116,0.00036285039742329074,0.0004967006747298429,25.989194639653544,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(0.000497, 0.000778]",167,0,0.0,0.0006269396774115446,0.0006269396774115446,0.0006269396774115446,0.000496791673782484,0.0007776317903069148,26.23010549484981,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(0.000778, 0.00315]",167,0,0.0,0.0015004232139529488,0.0015004232139529488,0.0015004232139529488,0.0007782042547979316,0.0031178904587561597,26.729184710125708,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(0.00315, 0.0396]",168,3,0.017857142857142856,0.014746761527092615,-0.003110381330050241,0.003110381330050241,0.003161793239330388,0.03960506673470834,28.01254041212645,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(0.0396, 0.223]",167,18,0.10778443113772455,0.10241162894445482,-0.0053728021932697295,0.0053728021932697295,0.03978539006791809,0.22235817332181104,29.382220755380054,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(0.223, 0.581]",167,71,0.4251497005988024,0.39242186339752505,-0.032727837201277366,0.032727837201277366,0.2231428689169999,0.5811315235494218,30.5286579684059,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(0.581, 0.89]",168,112,0.6666666666666666,0.7042925430565226,0.03762587638985593,0.03762587638985593,0.58143037281386,0.8896328579305779,31.37303629584438,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,quantile,"(-0.0009605, 0.0002]",168,0,0.0,0.00014996482090827784,0.00014996482090827784,0.00014996482090827784,3.9525426797947656e-05,0.00020046041925373862,25.440672555420054,19,False
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.0002, 0.000258]",167,0,0.0,0.00022884031334201736,0.00022884031334201736,0.00022884031334201736,0.0002005159659202489,0.00025731182727643397,25.619680472576416,26,False
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.000258, 0.000356]",167,0,0.0,0.00030413231243723926,0.00030413231243723926,0.00030413231243723926,0.0002577312349744736,0.0003558871270044863,25.80595296080128,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.000356, 0.000491]",168,0,0.0,0.00041659945493932387,0.00041659945493932387,0.00041659945493932387,0.00035601064986219886,0.0004904339457348006,25.987946915809452,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.000491, 0.000778]",167,0,0.0,0.000622266446691968,0.000622266446691968,0.000622266446691968,0.0004940595855658228,0.0007777849471882093,26.231914408779375,26,False
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.000778, 0.00316]",167,0,0.0,0.0014879694469678885,0.0014879694469678885,0.0014879694469678885,0.0007790143743677984,0.003131357609902326,26.728835731201418,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.00316, 0.0386]",168,5,0.02976190476190476,0.01463474688662639,-0.015127157875278371,0.015127157875278371,0.0031673920182662086,0.03856783484923743,28.015213475528586,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.0386, 0.223]",167,15,0.08982035928143713,0.1020647382371919,0.012244378955754767,0.012244378955754767,0.03922213045137172,0.22283605815453436,29.379465900297973,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.223, 0.581]",167,72,0.4311377245508982,0.39253212400198567,-0.038605600548912544,0.038605600548912544,0.22288747320487015,0.5812485816309634,30.52861500167578,27,False
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.581, 0.89]",168,112,0.6666666666666666,0.7041222977611784,0.037455631094511777,0.037455631094511777,0.581346244498936,0.8897281247324423,31.37303629584438,27,False
M4_inertia_ridge,ge33,33.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,quantile,"(-0.000999, 0.0435]",1539,15,0.009746588693957114,0.005395537007515509,-0.004351051686441606,0.004351051686441606,1e-06,0.043478260869565216,27.17181454575468,27,False
M4_inertia_ridge,ge33,33.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,quantile,"(0.0435, 0.0494]",135,0,0.0,0.04938271604938271,0.04938271604938271,0.04938271604938271,0.04938271604938271,0.04938271604938271,31.38508899423147,21,False
