model_name,event_target,output_kind,output_id,validation_method,operating_point,station_id,focus_station_flag,threshold_mean,n,event_count,observed_event_rate,mean_output_value,probability_bias,Brier,TP,FP,FN,TN,precision,recall,F1,CSI,false_alarm_ratio,miss_rate
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S124,False,0.11000000000000003,62,0,0.0,0.12653575135985515,0.12653575135985515,0.07312190220791231,0,12,0,50,0.0,,,0.0,1.0,
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S125,False,0.09999999999999996,62,8,0.12903225806451613,0.12742625926296966,-0.0016059988015464655,0.06336328340630654,7,6,1,48,0.5384615384615384,0.875,0.6666666666666667,0.5,0.46153846153846156,0.125
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S126,False,0.09999999999999996,62,8,0.12903225806451613,0.12255021453183632,-0.00648204353267981,0.06805273561386334,6,6,2,48,0.5,0.75,0.6,0.42857142857142855,0.5,0.25
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S127,False,0.11000000000000003,62,10,0.16129032258064516,0.12309189810300518,-0.03819842447763998,0.04820281968915377,10,4,0,48,0.7142857142857143,1.0,0.8333333333333333,0.7142857142857143,0.2857142857142857,0.0
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S128,False,0.11000000000000003,62,11,0.1774193548387097,0.11527786504349806,-0.06214148979521163,0.04806406060606623,11,2,0,49,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.15384615384615385,0.0
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S129,False,0.09999999999999996,62,10,0.16129032258064516,0.11100409066690414,-0.050286231913741014,0.057573581212335904,8,3,2,49,0.7272727272727273,0.8,0.761904761904762,0.6153846153846154,0.2727272727272727,0.2
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S130,False,0.11000000000000003,62,6,0.0967741935483871,0.12585182033462702,0.02907762678623993,0.04985067300906045,6,6,0,50,0.5,1.0,0.6666666666666666,0.5,0.5,0.0
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S132,False,0.09999999999999996,62,9,0.14516129032258066,0.12205364168837242,-0.023107648634208236,0.051414976219366366,8,4,1,49,0.6666666666666666,0.8888888888888888,0.761904761904762,0.6153846153846154,0.3333333333333333,0.1111111111111111
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S135,False,0.09999999999999996,62,11,0.1774193548387097,0.10645890449475723,-0.07096045034395246,0.07108813808325415,9,2,2,49,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6923076923076923,0.18181818181818182,0.18181818181818182
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S137,False,0.08999999999999997,62,13,0.20967741935483872,0.11954911744473387,-0.09012830191010485,0.094483182219965,9,3,4,46,0.75,0.6923076923076923,0.7199999999999999,0.5625,0.25,0.3076923076923077
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S139,True,0.12000000000000001,62,1,0.016129032258064516,0.11799448335151423,0.10186545109344972,0.06628830493955717,1,10,0,51,0.09090909090909091,1.0,0.16666666666666669,0.09090909090909091,0.9090909090909091,0.0
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S140,False,0.11000000000000003,62,4,0.06451612903225806,0.1322633772370513,0.06774724820479325,0.049571910366755186,4,9,0,49,0.3076923076923077,1.0,0.47058823529411764,0.3076923076923077,0.6923076923076923,0.0
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S141,False,0.11000000000000003,62,10,0.16129032258064516,0.1158759679089027,-0.04541435467174246,0.06640576456756034,9,4,1,48,0.6923076923076923,0.9,0.7826086956521738,0.6428571428571429,0.3076923076923077,0.1
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S142,True,0.08999999999999997,62,15,0.24193548387096775,0.10272129650284094,-0.1392141873681268,0.10031975465320513,11,0,4,47,1.0,0.7333333333333333,0.846153846153846,0.7333333333333333,0.0,0.26666666666666666
M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,S143,False,0.11000000000000003,62,7,0.11290322580645161,0.1313938948341582,0.01849066902770659,0.050942526741446344,7,6,0,49,0.5384615384615384,1.0,0.7000000000000001,0.5384615384615384,0.46153846153846156,0.0
