source_path,row_id,model_name,official_wbgt_c,model_score,station_id,hour_sgt,timestamp,date,cv_scheme,fold,residual_c,abs_error_c,obs_ge31,obs_ge33,pred_ge31_fixed,pred_ge33_fixed,ge31_event_class,observed_wbgt_bin,predicted_score_bin,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,shortwave_3h_mean,cloud_cover,precipitation,direct_radiation,diffuse_radiation,has_weather_match,shortwave_bin,shortwave_3h_mean_bin,humidity_bin,wind_bin,temperature_bin,cloud_cover_bin,direct_radiation_bin,diffuse_radiation_bin,combined_radiation_hot_regime,radiation_hot_flag,shortwave_very_high_flag,shortwave_3h_very_high_flag,hour_sin,hour_cos
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,12,M4_inertia_ridge,29.8,31.226958852259536,S124,14,2026-05-07 14:00:00+08:00,2026-05-07,loso,S124,-1.426958852259535,1.426958852259535,False,False,True,False,false_alarm,29-30,31-32,29.9,75.0,5.4,676.0,711.1666666666666,100.0,0.1,332.0,344.0,True,very_high,very_high,low,high,very_high,mid,very_high,very_high,radiation_hot,True,True,True,-0.4999999999999997,-0.8660254037844388
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,13,M4_inertia_ridge,30.4,30.715242703400413,S124,15,2026-05-07 15:00:00+08:00,2026-05-07,loso,S124,-0.3152427034004148,0.3152427034004148,False,False,False,False,true_negative,30-31,30.5-31,28.8,79.0,8.0,564.0,686.0416666666666,100.0,0.2,218.0,346.0,True,very_high,very_high,low,very_high,high,mid,very_high,very_high,radiation_hot,True,True,True,-0.7071067811865471,-0.7071067811865479
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,14,M4_inertia_ridge,29.5,30.005677868277324,S124,16,2026-05-07 16:00:00+08:00,2026-05-07,loso,S124,-0.5056778682773242,0.5056778682773242,False,False,False,False,true_negative,29-30,30-30.5,28.8,78.0,6.9,378.0,585.2083333333334,100.0,0.0,81.0,297.0,True,very_high,very_high,low,very_high,high,mid,high,very_high,radiation_hot,True,True,True,-0.8660254037844385,-0.5000000000000004
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,15,M4_inertia_ridge,27.5,29.31441370086888,S124,17,2026-05-07 17:00:00+08:00,2026-05-07,loso,S124,-1.81441370086888,1.81441370086888,False,False,False,False,true_negative,<28,29-30,28.9,77.0,5.4,395.0,480.7916666666666,100.0,0.0,173.0,222.0,True,very_high,very_high,low,high,very_high,mid,very_high,very_high,radiation_hot,True,True,True,-0.9659258262890683,-0.25881904510252063
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,16,M4_inertia_ridge,27.0,28.02656345376732,S124,18,2026-05-07 18:00:00+08:00,2026-05-07,loso,S124,-1.0265634537673165,1.0265634537673165,False,False,False,False,true_negative,<28,28-29,29.0,77.0,3.8,239.0,377.9583333333333,100.0,0.0,125.0,114.0,True,high,very_high,low,mid,very_high,mid,high,high,radiation_hot,True,False,True,-1.0,-1.8369701987210297e-16
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,17,M4_inertia_ridge,26.6,27.53723328254677,S124,19,2026-05-07 19:00:00+08:00,2026-05-07,loso,S124,-0.9372332825467672,0.9372332825467672,False,False,False,False,true_negative,<28,<28,28.5,81.0,2.6,64.0,271.91666666666663,100.0,0.0,22.0,42.0,True,high,high,mid,low,high,mid,high,high,radiation_hot,True,False,False,-0.9659258262890684,0.2588190451025203
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,18,M4_inertia_ridge,26.5,26.374876704955486,S124,20,2026-05-07 20:00:00+08:00,2026-05-07,loso,S124,0.1251232950445135,0.1251232950445135,False,False,False,False,true_negative,<28,<28,27.3,89.0,2.2,0.0,150.375,100.0,0.0,0.0,0.0,True,low,high,mid,low,high,mid,low,low,radiation_hot,True,False,False,-0.8660254037844386,0.5000000000000001
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,19,M4_inertia_ridge,26.6,26.62053554910657,S124,21,2026-05-07 21:00:00+08:00,2026-05-07,loso,S124,-0.0205355491065688,0.0205355491065688,False,False,False,False,true_negative,<28,<28,27.600000000000005,90.0,4.2,0.0,61.16666666666666,100.0,0.0,0.0,0.0,True,low,high,mid,mid,high,mid,low,low,radiation_hot,True,False,False,-0.7071067811865477,0.7071067811865474
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,20,M4_inertia_ridge,26.7,26.53191029846204,S124,22,2026-05-07 22:00:00+08:00,2026-05-07,loso,S124,0.1680897015379621,0.1680897015379621,False,False,False,False,true_negative,<28,<28,27.6,90.0,4.3,0.0,13.333333333333332,100.0,0.0,0.0,0.0,True,low,mid,mid,mid,high,mid,low,low,hot_not_highradiation,False,False,False,-0.5000000000000004,0.8660254037844384
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,21,M4_inertia_ridge,26.8,26.50554140381364,S124,23,2026-05-07 23:00:00+08:00,2026-05-07,loso,S124,0.2944585961863595,0.2944585961863595,False,False,False,False,true_negative,<28,<28,27.5,92.0,1.5,0.0,0.0,100.0,0.0,0.0,0.0,True,low,low,high,low,high,mid,low,low,hot_not_highradiation,False,False,False,-0.25881904510252157,0.9659258262890681
