model_name,event_target,official_event_threshold_c,calibrator_id,calibrator_family,diagnostic_only,validation_method,bin_kind,probability_bin,n,event_count,observed_event_rate,mean_predicted_probability,calibration_gap,abs_calibration_gap,p_min,p_max,mean_score,station_count,low_support
M4_inertia_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,fixed,"[0.00,0.10)",1229,18,0.014646053702196907,0.005266933026396252,-0.009379120675800656,0.009379120675800656,1e-06,0.09937888198757763,26.40811356055115,27,False
M4_inertia_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,fixed,"[0.10,0.20)",110,1,0.00909090909090909,0.10643704121964992,0.09734613212874083,0.09734613212874083,0.10559006211180125,0.11180124223602485,29.361413543274203,19,False
M4_inertia_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,fixed,"[0.40,0.50)",168,73,0.43452380952380953,0.4336364980774919,-0.0008873114463176512,0.0008873114463176512,0.4161490683229814,0.4472049689440994,30.532219699628172,27,False
M4_inertia_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,fixed,"[0.60,0.70)",160,112,0.7,0.6728395061728395,-0.02716049382716046,0.02716049382716046,0.6604938271604939,0.6975308641975309,31.374455030655174,26,False
M4_inertia_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,fixed,"[0.70,0.80)",7,0,0.0,0.7037037037037036,0.7037037037037036,0.7037037037037036,0.7037037037037037,0.7037037037037037,31.39383285968765,1,True
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,fixed,"[0.00,0.10)",1318,9,0.006828528072837633,0.006850870196598894,2.2342123761260636e-05,2.2342123761260636e-05,1e-06,0.07230760564511671,26.59738839855405,27,False
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,fixed,"[0.20,0.30)",42,26,0.6190476190476191,0.28563708220475986,-0.3334105368428592,0.3334105368428592,0.2108249702798616,0.2975206611570248,30.244632136736083,9,False
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,fixed,"[0.30,0.40)",84,13,0.15476190476190477,0.30776108581335465,0.15299918105144988,0.15299918105144988,0.30327868852459017,0.3333333333333333,30.2873603613436,19,False
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,fixed,"[0.40,0.50)",1,0,0.0,0.4400495017415505,0.4400495017415505,0.4400495017415505,0.4400495017415505,0.4400495017415505,30.69266898778065,1,True
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,fixed,"[0.50,0.60)",1,1,1.0,0.5525231896087784,-0.44747681039122156,0.44747681039122156,0.5525231896087784,0.5525231896087784,30.72372060650616,1,True
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,fixed,"[0.60,0.70)",129,82,0.6356589147286822,0.6412154741199211,0.005556559391238891,0.005556559391238891,0.6229508196721312,0.664,31.01201818887616,27,False
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,fixed,"[0.70,0.80)",87,63,0.7241379310344828,0.7160857903415461,-0.008052140692936693,0.008052140692936693,0.7023809523809523,0.75,31.48380705139934,27,False
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,fixed,"[0.80,0.90)",5,4,0.8,0.8303031124546599,0.030303112454659886,0.030303112454659886,0.8,0.8848488956066332,31.85794751312439,4,True
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,fixed,"[0.90,1.00)",7,6,0.8571428571428571,0.9970790191247291,0.13993616198187198,0.13993616198187198,0.9795591338731036,0.999999,32.04159767871521,7,True
