model_name,event_target,bin_kind,score_bin,n,event_count,score_min,score_max,mean_score,observed_wbgt_mean,station_count,event_rate,validation_scope,event_rate_monotonicity
M4_inertia_ridge,ge31,fixed_score_0p5,"[24.50,25.00)",3,0,24.88615404687137,24.9976773951755,24.951916807222876,24.8,1,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[25.00,25.50)",124,0,25.083074545162617,25.49703055815203,25.38463702980301,25.18951612903226,19,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[25.50,26.00)",465,0,25.50083940157739,25.99955587519359,25.7455944661959,25.810752688172045,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[26.00,26.50)",288,0,26.00082132595993,26.497583232429808,26.215886915366337,26.25173611111111,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[26.50,27.00)",85,0,26.5004783011664,26.999947350806178,26.708990061557056,26.709411764705884,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[27.00,27.50)",74,0,27.00478890569216,27.4991923022448,27.247981623514164,27.064864864864866,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[27.50,28.00)",52,0,27.51108284910946,27.982461943582184,27.690873290809137,27.525,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[28.00,28.50)",31,0,28.00725372984245,28.472635439370297,28.180922507897698,27.651612903225807,13,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[28.50,29.00)",87,5,28.501517011069545,28.998109097932204,28.776718941226612,28.985057471264366,26,0.05747126436781609,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[29.00,29.50)",66,4,29.001940942432743,29.49549637961396,29.25394585972903,29.296969696969697,25,0.06060606060606061,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[29.50,30.00)",51,4,29.50037307767284,29.990177703165635,29.729123650687306,29.48627450980392,23,0.0784313725490196,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[30.00,30.50)",93,30,30.00169361483684,30.49958467327209,30.217519723461216,30.343010752688173,27,0.3225806451612903,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[30.50,31.00)",79,41,30.503355827415525,30.997290595484564,30.762521561812033,30.99746835443038,27,0.5189873417721519,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[31.00,31.50)",125,85,31.000451220549287,31.49909389897268,31.211929562202478,31.312,27,0.68,loso_station_grouped_source_rows,mostly_monotonic
