regime_variable,regime_bin,model_name,event_target,output_kind,output_id,validation_method,operating_point,threshold_mean,n,event_count,observed_event_rate,mean_output_value,probability_bias,TP,FP,FN,TN,precision,recall,F1,CSI,false_alarm_ratio,miss_rate
combined_radiation_hot_regime,highradiation_not_hot,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,0.10683870967741935,155,2,0.012903225806451613,0.014667044680424764,0.0017638188739731511,0,0,2,153,,0.0,,0.0,,1.0
combined_radiation_hot_regime,hot_not_highradiation,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,0.112,60,0,0.0,9.999999999999997e-07,9.999999999999997e-07,0,0,0,60,,,,,,
combined_radiation_hot_regime,other,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,0.10661473087818699,706,0,0.0,1e-06,1e-06,0,0,0,706,,,,,,
combined_radiation_hot_regime,radiation_hot,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,best_F1,0.10707835325365209,753,202,0.2682602921646746,0.2673813491218267,-0.0008789430428479128,185,150,17,401,0.5522388059701493,0.9158415841584159,0.6890130353817506,0.5255681818181818,0.44776119402985076,0.08415841584158416
combined_radiation_hot_regime,highradiation_not_hot,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,max_Youden,0.10683870967741935,155,2,0.012903225806451613,0.014667044680424764,0.0017638188739731511,0,0,2,153,,0.0,,0.0,,1.0
combined_radiation_hot_regime,hot_not_highradiation,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,max_Youden,0.112,60,0,0.0,9.999999999999997e-07,9.999999999999997e-07,0,0,0,60,,,,,,
combined_radiation_hot_regime,other,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,max_Youden,0.10661473087818699,706,0,0.0,1e-06,1e-06,0,0,0,706,,,,,,
combined_radiation_hot_regime,radiation_hot,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,max_Youden,0.10707835325365209,753,202,0.2682602921646746,0.2673813491218267,-0.0008789430428479128,185,150,17,401,0.5522388059701493,0.9158415841584159,0.6890130353817506,0.5255681818181818,0.44776119402985076,0.08415841584158416
combined_radiation_hot_regime,highradiation_not_hot,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,precision_70,0.45,2,0,0.0,0.006211180124223602,0.006211180124223602,0,0,0,2,,,,,,
combined_radiation_hot_regime,hot_not_highradiation,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,precision_70,0.45,6,0,0.0,1e-06,1e-06,0,0,0,6,,,,,,
combined_radiation_hot_regime,other,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,precision_70,0.44999999999999984,22,0,0.0,1.0000000000000002e-06,1.0000000000000002e-06,0,0,0,22,,,,,,
combined_radiation_hot_regime,radiation_hot,M4_inertia_ridge,ge31,probability,empirical_score_bin,station_grouped_loso,precision_70,0.45,32,0,0.0,0.24477394450195533,0.24477394450195533,0,7,0,25,0.0,,,0.0,1.0,
