model_name,event_target,official_event_threshold_c,calibrator_id,calibrator_family,diagnostic_only,validation_method,n,event_count,event_count_ge31,event_count_ge33,event_rate,Brier,log_loss,ROC_AUC,PR_AUC,average_precision,calibration_intercept,calibration_slope,mean_predicted_probability,probability_bias,p05_predicted_probability,p50_predicted_probability,p95_predicted_probability,p05_predicted_P_ge31,p50_predicted_P_ge31,p95_predicted_P_ge31,station_count,fold_count,ECE_fixed,MCE_fixed,ECE_quantile,MCE_quantile,station_Brier_mean,station_Brier_max,station_probability_bias_abs_mean,station_event_count_max,rank_score_ge31
M4_inertia_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,1674,204,204.0,,0.12186379928315412,0.052410136121039015,0.170253358750832,0.9467987194877951,0.6099563111732678,0.6099563111732678,-0.0521535552932742,0.7540940902118806,0.12187457400759862,1.0774724444495565e-05,1e-06,1e-06,0.7023809523809523,1e-06,1e-06,0.7023809523809523,27,27,0.01811263326456016,0.44747681039122156,0.021591005545145252,0.11895190845820147,0.05241013612103903,0.10513503435019975,0.04601935921324976,15,9.0
M4_inertia_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,1674,204,204.0,,0.12186379928315412,0.05553504365696664,0.16804949078350195,0.9542783780178739,0.653462532901801,0.653462532901801,-0.011768523597691217,0.9666795279488827,0.12185129607320692,-1.250320994719556e-05,0.00016886026548057267,0.0007779180225524232,0.6865387624193166,0.00016886026548057267,0.0007779180225524232,0.6865387624193166,27,27,0.022384122668710524,0.2157335706582958,0.008213722408138576,0.03762587638985593,0.05553504365696663,0.10628317579602503,0.047868694553503614,15,10.0
M7_compact_weather_ridge,ge31,31.0,isotonic_score_only,isotonic,False,station_grouped_loso,1674,204,204.0,,0.12186379928315412,0.05636239546274838,0.17597804503098977,0.9406029078297986,0.5546088583615136,0.5546088583615136,-0.06276774887961212,0.7950078707539404,0.12200678619711197,0.00014298691395785157,1e-06,1e-06,0.7377049180327869,1e-06,1e-06,0.7377049180327869,27,27,0.012931908663435231,0.8,0.01379061720057547,0.06203513164024649,0.056362395462748384,0.09374609180839762,0.04835776264932782,15,11.0
M7_compact_weather_ridge,ge31,31.0,logistic_score_only,logistic,False,station_grouped_loso,1674,204,204.0,,0.12186379928315412,0.05721098844024937,0.1764634995509983,0.9518574096305189,0.6236015488940276,0.6236015488940276,-0.015283557952797478,0.9743386953247101,0.12190116775972498,3.7368476570862064e-05,0.0006649336526370477,0.003618023856431962,0.7272993168179432,0.0006649336526370477,0.003618023856431962,0.7272993168179432,27,27,0.019796417452255667,0.24665014353136805,0.010055630739846836,0.05021129050516167,0.05721098844024936,0.09622853646690692,0.04841215404387253,15,15.0
M7_compact_weather_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,1674,204,204.0,,0.12186379928315412,0.058330978194543706,0.17736002390353,0.9320528211284513,0.5114530809740737,0.5114530809740737,-0.014556089288982261,0.9522661252752167,0.12155563567984327,-0.0003081636033108459,1e-06,1e-06,0.7037037037037037,1e-06,1e-06,0.7037037037037037,27,27,0.017062609961946133,0.2833333333333332,0.005926882066915692,0.028769576649011197,0.05833097819454371,0.09274812493205162,0.04793750022147775,15,18.0
M4_inertia_ridge,ge31,31.0,empirical_score_bin,empirical_bin,False,station_grouped_loso,1674,204,204.0,,0.12186379928315412,0.05817073476870397,0.17854507624599517,0.9317610377484327,0.49973822012980273,0.49973822012980273,-0.033085444193473645,0.8700477091233287,0.12163220657957069,-0.00023159270358343031,1e-06,1e-06,0.6728395061728395,1e-06,1e-06,0.6728395061728395,27,27,0.018910207351238627,0.7037037037037036,0.004056401456274713,0.016280236102002243,0.058170734768703984,0.10031975465320513,0.04845170584624339,15,21.0
M4_inertia_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,1674,204,204.0,,0.12186379928315412,0.05560713567346796,0.16888616035872653,0.9537481659330399,0.6528659786520004,0.6528659786520004,-0.01400727744082768,0.957864012119073,0.12179537521855592,-6.842406459819927e-05,0.00016374431458075962,0.0007783996607780039,0.68663017577278,0.00016374431458075962,0.0007783996607780039,0.68663017577278,27,27,0.021808266410586932,0.21516139409337398,0.01067052195059314,0.038605600548912544,0.05560713567346795,0.10656496386775632,0.04786354728476114,15,
M4_inertia_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,1674,204,204.0,,0.12186379928315412,0.05571491079037884,0.16800051814867747,0.9532146191810057,0.6404780663975661,0.6404780663975661,-0.014230653253790769,0.9517323618565663,0.12180641705763617,-5.738222551794625e-05,2.2932678163824237e-05,0.0003486230248905014,0.7003909417776933,2.2932678163824237e-05,0.0003486230248905014,0.7003909417776933,27,27,0.02544339043500478,0.2174825025458801,0.009393561461854489,0.0449536898050662,0.05571491079037884,0.10288844688524021,0.04692427062278527,15,
M7_compact_weather_ridge,ge31,31.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,1674,204,204.0,,0.12186379928315412,0.05707746056282728,0.1715126454907624,0.9503267973856209,0.5902804844086645,0.5902804844086645,-0.01903438893588706,0.9537128197743663,0.12203392999133636,0.00017013070818223952,4.058000555094028e-06,0.0003860912953464096,0.7148140460628047,4.058000555094028e-06,0.0003860912953464096,0.7148140460628047,27,27,0.018387768380288824,0.8076312756167859,0.0085862052951722,0.04170707214849534,0.05707746056282728,0.09546111731935987,0.04604103577817485,15,
M7_compact_weather_ridge,ge31,31.0,logistic_score_radiation_hot_diagnostic,logistic,True,station_grouped_loso,1674,204,204.0,,0.12186379928315412,0.05730733035495796,0.17709526037540102,0.9510070694944645,0.6222957265909188,0.6222957265909188,-0.01841604114866285,0.9661231957768809,0.12185965892155257,-4.140361601553955e-06,0.0004486213510043282,0.0027790878568166293,0.7229208552020373,0.0004486213510043282,0.0027790878568166293,0.7229208552020373,27,27,0.018954213306272207,0.20331549662074166,0.0070649783066521685,0.03543025344508009,0.05730733035495797,0.0958180509206313,0.04847883742901939,15,
