building_id,source_name,source_priority,source_building_id,area_m2,height_m_original,height_source_original,levels_original,building_type_original,confidence_original,raw_properties_json,candidate_id,geometry_source,is_ml_source,dedup_status,source_candidates,source_candidate_ids,n_source_candidates,best_iou,levels_promoted_from_source,levels_promoted_from_id,promoted_fields,type_promoted_from_source,type_promoted_from_id,height_promoted_from_source,height_promoted_from_id,lu_desc_v10,height_m,height_source,height_confidence,height_warning,intersects_v09_tile,v09_tile_types,v09_tile_ids,qa_category,qa_target_type,qa_priority_score,review_status,manual_decision,manual_height_m,manual_notes,centroid_x_svy21,centroid_y_svy21
v10_bldg_001008,osm,3,osm_220821671,1023.7309764130574,,height,,yes,,"{ ""osm_id"": ""220821671"", ""source_name"": ""osm"", ""building"": ""yes"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""3\"", \""addr:street\"": \""Pemimpin Drive\"", \""building\"": \""yes\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""1023.7309764130574"" }",cand_osm_000648,osm,False,accepted_new,osm,osm_220821671,1,0.0,,,,,,,,BUSINESS 1,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,False,,,large_low_confidence_building;transport_shelter_overhead_candidate,building,16.024,todo,,,,29003.158070105674,37152.73228082874
v10_bldg_000733,osm,3,osm_169537925,3963.8628523176426,,height,,industrial,,"{ ""osm_id"": ""169537925"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""1\"", \""addr:street\"": \""Toa Payoh Industrial Park\"", \""building\"": \""industrial\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""3963.8628523176426"" }",cand_osm_000409,osm,False,accepted_new,osm,osm_169537925,1,0.0,,,,,,,,BUSINESS 1,10.0,lu_default:INDUSTRIAL,medium,,True,clean_shaded_reference,T05_clean_shaded_reference,critical_tile_building_review;transport_shelter_overhead_candidate;very_large_default_height_building,building,15.964,todo,,,,31021.160575321494,35294.69132032694
v10_bldg_000734,osm,3,osm_169537926,3888.7533002367945,,height,,industrial,,"{ ""osm_id"": ""169537926"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""11\"", \""addr:street\"": \""Toa Payoh Industrial Park\"", \""building\"": \""industrial\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""3888.7533002367945"" }",cand_osm_000410,osm,False,accepted_new,osm,osm_169537926,1,0.0,,,,,,,,BUSINESS 1,10.0,lu_default:INDUSTRIAL,medium,,True,clean_shaded_reference,T05_clean_shaded_reference,critical_tile_building_review;transport_shelter_overhead_candidate;very_large_default_height_building,building,15.889,todo,,,,31012.227652707872,35474.62728180725
v10_bldg_000751,osm,3,osm_169537919,3099.6228765801643,,height,,industrial,,"{ ""osm_id"": ""169537919"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""12\"", \""addr:street\"": \""Toa Payoh Industrial Park\"", \""building\"": \""industrial\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""3099.6228765801643"" }",cand_osm_000403,osm,False,accepted_new,osm,osm_169537919,1,0.0,,,,,,,,BUSINESS 1,10.0,lu_default:INDUSTRIAL,medium,,True,clean_shaded_reference,T05_clean_shaded_reference,critical_tile_building_review;transport_shelter_overhead_candidate;very_large_default_height_building,building,15.1,todo,,,,31110.063358291165,35477.65259877062
v10_bldg_000703,osm,3,osm_183708669,8080.8738971106795,,height,4.0,office,,"{ ""osm_id"": ""183708669"", ""source_name"": ""osm"", ""building"": ""office"", ""building_levels"": ""4"", ""name"": ""Tat Ann Building"", ""raw_tags_json"": ""{ \""addr:housename\"": \""Tat Ann Building\"", \""addr:housenumber\"": \""40\"", \""addr:postcode\"": \""577185\"", \""addr:street\"": \""Jalan Pemimpin\"", \""building\"": \""office\"", \""building:levels\"": \""4\"", \""name\"": \""Tat Ann Building\"" }"", ""area_m2"": ""8080.8738971106795"" }",cand_osm_000595,osm,False,accepted_new,osm,osm_183708669,1,0.0,,,,,,,,BUSINESS 1,12.0,osm_levels_x_3m:levels_original,medium_high,,False,,,transport_shelter_overhead_candidate,building,15.081,todo,,,,29008.773473942765,36751.1858670609
v10_bldg_000698,osm,3,osm_1222166293,10728.146697840539,,height,,industrial,,"{ ""osm_id"": ""1222166293"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""building\"": \""industrial\"" }"", ""area_m2"": ""10728.146697840539"" }",cand_osm_004620,osm,False,accepted_new,osm,osm_1222166293,1,0.0,,,,,,,,RESERVE SITE,10.0,lu_default:INDUSTRIAL,medium,,True,clean_shaded_reference;overhead_confounded_hazard_case,T05_clean_shaded_reference;T06_overhead_confounded_hazard_case,critical_tile_building_review;very_large_default_height_building,building,15.0,todo,,,,31444.225994481465,35792.11131391112
v10_bldg_000756,osm,3,osm_875714797,2936.739683528314,,height,6.0,parking,,"{ ""osm_id"": ""875714797"", ""source_name"": ""osm"", ""building"": ""parking"", ""building_levels"": ""6"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:country\"": \""SG\"", \""addr:housenumber\"": \""2\"", \""addr:neighbourhood\"": \""Gem Residences\"", \""addr:postcode\"": \""319513\"", \""addr:street\"": \""Lorong 4 Toa Payoh\"", \""amenity\"": \""parking\"", \""building\"": \""parking\"", \""building:levels\"": \""6\"", \""parking\"": \""multi-storey\"" }"", ""area_m2"": ""2936.739683528314"" }",cand_osm_003599,osm,False,accepted_new,osm,osm_875714797,1,0.0,,,,,,,,RESIDENTIAL,18.0,osm_levels_x_3m:levels_original,medium_high,,True,social_risk_top,T03_social_risk_top,critical_tile_building_review;transport_shelter_overhead_candidate,building,14.937,todo,,,,30009.271441689994,35686.620641679016
v10_bldg_000705,osm,3,osm_117325095,7801.021769458473,,height,,industrial,,"{ ""osm_id"": ""117325095"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:country\"": \""SG\"", \""addr:housenumber\"": \""501\"", \""addr:postcode\"": \""569621\"", \""addr:street\"": \""Ang Mo Kio Industrial Park 1\"", \""building\"": \""industrial\"" }"", ""area_m2"": ""7801.021769458473"" }",cand_osm_000251,osm,False,accepted_new,osm,osm_117325095,1,0.0,,,,,,,,BUSINESS 1,10.0,lu_default:INDUSTRIAL,medium,,False,,,transport_shelter_overhead_candidate;very_large_default_height_building,building,14.801,todo,,,,30499.922896350596,37664.037805562155
v10_bldg_000768,osm,3,osm_1418040541,2708.6874631518835,,height,,parking,,"{ ""osm_id"": ""1418040541"", ""source_name"": ""osm"", ""building"": ""parking"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:country\"": \""SG\"", \""addr:housenumber\"": \""405\"", \""addr:postcode\"": \""310405\"", \""addr:street\"": \""Braddell Rise\"", \""amenity\"": \""parking\"", \""building\"": \""parking\"", \""parking\"": \""multi-storey\"" }"", ""area_m2"": ""2708.6874631518835"" }",cand_osm_005079,osm,False,accepted_new,osm,osm_1418040541,1,0.0,,,,,,,,EDUCATIONAL INSTITUTION,12.0,lu_default:EDUCATIONAL,medium,,True,conservative_risk_top,T02_conservative_risk_top,critical_tile_building_review;transport_shelter_overhead_candidate,building,14.709,todo,,,,28986.99355627305,35756.86283400491
v10_bldg_000772,osm,3,osm_169537915,2645.3979824663265,,height,,industrial,,"{ ""osm_id"": ""169537915"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""2\"", \""addr:street\"": \""Toa Payoh Industrial Park\"", \""building\"": \""industrial\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""2645.3979824663265"" }",cand_osm_000399,osm,False,accepted_new,osm,osm_169537915,1,0.0,,,,,,,,BUSINESS 1,10.0,lu_default:INDUSTRIAL,medium,,True,clean_shaded_reference,T05_clean_shaded_reference,critical_tile_building_review;transport_shelter_overhead_candidate,building,14.645,todo,,,,31122.148480326065,35294.92774107305
