cell_id,old_dsm_area_m2,new_dsm_area_m2,osm_area_m2,osm_count_intersections,old_vs_osm_completeness,new_vs_osm_completeness,coverage_gain_vs_osm,new_minus_old_dsm_area_m2,hazard_rank_true_v08,risk_rank_v08_conditioned,risk_rank_v08_social_conditioned,hazard_score,max_utci_c,qa_category,qa_target_type,old_hazard_rank,qa_priority_score,review_status,manual_decision,manual_height_m,manual_notes,centroid_x_svy21,centroid_y_svy21
TP_0985,0.0,4248.0,4247.950208153289,46.0,0.0,1.0000117213819069,1.0000117213819069,4248.0,9,16,21,0.7204764652845331,42.10885412845366,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,9,25.1,todo,,,,31450.000000000568,37550.00000000001
TP_0986,0.0,4276.0,4276.756556895271,54.0,0.0,0.9998231003132382,0.9998231003132382,4276.0,10,17,20,0.7183850444334857,42.07269237742725,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,10,24.999,todo,,,,31550.000000000287,37550.000000000095
TP_0984,0.0,4048.0,4055.54417096228,37.0,0.0,0.9981397882394436,0.9981397882394436,4048.0,12,20,25,0.7162028418269001,42.08098366270157,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,12,24.794,todo,,,,31350.00000000036,37549.99999999978
TP_0027,0.0,4104.0,4103.66000846949,45.0,0.0,1.0000828508038695,1.0000828508038695,4104.0,15,27,38,0.7153817467720393,42.001873110838325,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,15,24.5,todo,,,,31350.000000000706,34250.000000000044
TP_0820,0.0,4348.0,4272.401888881059,23.0,0.0,1.0176945224454856,1.0176945224454856,4348.0,19,36,86,0.7126581961056525,41.96788358688705,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,19,24.153,todo,,,,29450.000000000924,37049.999999999935
TP_0564,0.0,3248.0,3255.764803185629,3.0,0.0,0.99761506016097,0.99761506016097,3248.0,7,5,7,0.7211238662880441,41.94775963785132,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,7,23.789,todo,,,,29950.000000000648,36150.00000000022
TP_0012,0.0,3940.0,3937.0109787727474,13.0,0.0,1.0007592107930023,1.0007592107930023,3940.0,21,26,45,0.7104770564056284,41.682072516940025,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,21,23.782,todo,,,,29850.000000000302,34249.99999999993
TP_0983,0.0,3880.0,3883.317897365341,49.0,0.0,0.9991456024324992,0.9991456024324992,3880.0,24,25,32,0.7047586357461876,41.98047902305297,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,24,23.357,todo,,,,31250.00000000037,37550.0000000001
TP_0565,0.0,3320.0,3319.0746863859263,3.0,0.0,1.0002787866202196,1.0002787866202196,3320.0,13,9,15,0.7156407219594539,41.66475042485784,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,13,23.341,todo,,,,30050.000000000186,36149.99999999986
TP_0876,0.0,3416.0,3425.8195758833954,17.0,0.0,0.9971336564387332,0.9971336564387332,3416.0,18,86,169,0.7129364355248445,41.97273170179258,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,18,23.023,todo,,,,29250.00000000022,37249.999999999796
TP_0638,0.0,3180.0,3177.9875811656007,16.0,0.0,1.00063323684659,1.00063323684659,3180.0,14,107,193,0.715620184359219,41.885182878422285,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,14,22.962,todo,,,,31549.999999999825,36349.99999999999
TP_0760,0.0,3928.0,3934.7600325747744,43.0,0.0,0.9982819708142784,0.9982819708142784,3928.0,29,72,139,0.7019943544850712,41.86720418370104,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,29,22.951,todo,,,,29250.000000000153,36850.000000000065
TP_0902,0.0,4420.0,4439.9452197008095,54.0,0.0,0.995507777976109,0.995507777976109,4420.0,31,101,171,0.701876905005116,41.834756229541725,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,31,22.887,todo,,,,28950.000000000182,37349.99999999989
TP_0849,0.0,2696.0,2710.3074420123426,17.0,0.0,0.9947210999790784,0.9947210999790784,2696.0,8,39,93,0.7208228685872438,42.07783033202658,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,8,22.576,todo,,,,29450.00000000035,37150.00000000009
TP_0756,0.0,4400.0,4405.741206667117,6.0,0.0,0.9986968806387382,0.9986968806387382,4400.0,35,61,114,0.6988817809230385,41.894542733038215,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,35,22.496,todo,,,,28849.99999999974,36850.00000000007
TP_0028,0.0,4308.0,4313.566972261906,42.0,0.0,0.9987094271868956,0.9987094271868956,4308.0,39,43,47,0.6977906087940797,41.87528056620518,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,39,22.096,todo,,,,31450.000000000004,34249.99999999994
TP_0847,0.0,3404.0,3352.4795457188407,18.0,0.0,1.0153678653601188,1.0153678653601188,3404.0,30,92,161,0.7018966039421165,41.886039924013,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,30,21.854,todo,,,,29249.9999999997,37150.0
TP_0848,0.0,3268.0,3253.8405049171347,18.0,0.0,1.0043516254289255,1.0043516254289255,3268.0,27,70,137,0.7039758316020766,41.93023956897018,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,27,21.849,todo,,,,29350.000000000273,37149.999999999876
