source_path,dataset_label,tp,fp,fn,tn,precision,recall,f1,model,split_type,period,threshold,n,bias_pred_minus_obs,mae,rmse,p90_abs_error,station_id,station_name,bias,r2,cv_scheme,n_folds,n_features,wbgt_ge_31_precision,wbgt_ge_31_recall,wbgt_ge_31_f1,wbgt_ge_31_tp,wbgt_ge_31_fp,wbgt_ge_31_fn,wbgt_ge_33_precision,wbgt_ge_33_recall,wbgt_ge_33_f1,wbgt_ge_33_tp,wbgt_ge_33_fp,wbgt_ge_33_fn,dataset,operating_point,available,threshold_c,event_threshold_c,n_pos,n_pred_pos,score_threshold_c,recall_target,mae_delta_m2_minus_m1,mae_delta_m2_minus_m1b,mae_delta_m2_minus_m3,mae_delta_m2_minus_m4
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,268.0,2296.0,,0.0,,M0_raw_proxy,apparent,overall,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,10.0,2554.0,,0.0,,M0_raw_proxy,apparent,overall,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,268.0,703.0,,0.0,,M0_raw_proxy,apparent,daytime_09_18,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,10.0,961.0,,0.0,,M0_raw_proxy,apparent,daytime_09_18,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,205.0,226.0,,0.0,,M0_raw_proxy,apparent,peak_12_16,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,10.0,421.0,,0.0,,M0_raw_proxy,apparent,peak_12_16,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,0.0,1161.0,,,,M0_raw_proxy,apparent,night_00_07_20_23,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,0.0,1161.0,,,,M0_raw_proxy,apparent,night_00_07_20_23,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,268.0,2296.0,,0.0,,M0_raw_proxy,LOSO,overall,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,10.0,2554.0,,0.0,,M0_raw_proxy,LOSO,overall,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,268.0,703.0,,0.0,,M0_raw_proxy,LOSO,daytime_09_18,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,10.0,961.0,,0.0,,M0_raw_proxy,LOSO,daytime_09_18,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,205.0,226.0,,0.0,,M0_raw_proxy,LOSO,peak_12_16,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,10.0,421.0,,0.0,,M0_raw_proxy,LOSO,peak_12_16,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,0.0,1161.0,,,,M0_raw_proxy,LOSO,night_00_07_20_23,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,0.0,1161.0,,,,M0_raw_proxy,LOSO,night_00_07_20_23,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,268.0,2296.0,,0.0,,M1_global_bias,apparent,overall,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,10.0,2554.0,,0.0,,M1_global_bias,apparent,overall,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,268.0,703.0,,0.0,,M1_global_bias,apparent,daytime_09_18,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,10.0,961.0,,0.0,,M1_global_bias,apparent,daytime_09_18,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,205.0,226.0,,0.0,,M1_global_bias,apparent,peak_12_16,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,10.0,421.0,,0.0,,M1_global_bias,apparent,peak_12_16,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,0.0,1161.0,,,,M1_global_bias,apparent,night_00_07_20_23,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outputs/v09_beta_calibration/v09_beta_event_detection_metrics.csv,v09_beta_calibration,0.0,0.0,0.0,1161.0,,,,M1_global_bias,apparent,night_00_07_20_23,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
