target,model,feature_set,split_family,MAE,RMSE,R2,bias,median_abs_error,p90_abs_error,spearman,pearson,improvement_over_featureless_MAE,n_folds,n_test_rows,is_candidate_model,is_best_non_featureless_by_mae,model_card_interpretation
delta_tmrt_p90_c,extra_trees,physical_core,cell_grouped_holdout,0.9401263607854276,1.790149722060471,0.8073807334205718,-0.0182980110265666,0.4664296939378883,2.150324510404602,0.7233935691996528,0.9184760711688404,1.9076080665352648,5,1500,True,True,primary_delta_tmrt_evidence
delta_tmrt_p90_c,random_forest,physical_core,cell_grouped_holdout,0.9605041836626996,1.888338263554078,0.7450223950717894,-0.0129325151499202,0.4592838398418296,2.1426601255398645,0.704326867776174,0.914274834763902,1.8872302436579929,5,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,hist_gradient_boosting,physical_core,cell_grouped_holdout,1.109604426800626,2.3630563222236285,0.6207358144950024,-0.0960061265702935,0.4834414687951257,2.485530543519178,0.711971158229332,0.8684803946583604,1.7381300005200664,5,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,elasticnet,physical_core,cell_grouped_holdout,1.6087976402630657,2.491607448786864,0.6437693193126407,0.0147035815026832,1.0060922239781445,3.925702697490266,0.5132845317762628,0.8380890221148924,1.2389367870576269,5,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,ridge,physical_core,cell_grouped_holdout,1.689687270108417,2.594865614771468,0.4782551706131249,0.2384528871510179,1.0759197942826293,4.082758068653821,0.5391879592862366,0.8372396817109772,1.1580471572122757,5,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,featureless_mean,physical_core,cell_grouped_holdout,2.8477344273206926,5.123109731376405,-0.11327589891399,-3.3306690738754695e-17,1.8776323674519848,3.294814057668117,,,0.0,5,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,extra_trees,physical_core,feature_bin_holdout,2.229782733497906,3.556012265762837,0.378739371318514,1.237117181638998,0.8206959565346367,6.630059003035226,0.6634397919584172,0.7280473976965143,1.8619640229361285,10,3480,True,True,primary_delta_tmrt_evidence
delta_tmrt_p90_c,random_forest,physical_core,feature_bin_holdout,2.261005962812759,3.579278848968783,0.3964965399209282,1.2287499037380802,0.875296459473548,6.992336628320845,0.6456819249572019,0.7126355547051899,1.8307407936212765,10,3480,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,hist_gradient_boosting,physical_core,feature_bin_holdout,2.3229549099305578,3.789562879947712,0.3847104429841311,1.2659709997995792,0.9196546192580156,6.924154494950557,0.6365814316279629,0.7024309813539564,1.7687918465034769,10,3480,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,elasticnet,physical_core,feature_bin_holdout,3.6382885040231856,5.714922413133952,-15.781515750149376,1.2493039066373424,2.0338454100254943,10.159734524403715,0.5637492035448587,0.6216226824840434,0.4534582524108493,10,3480,False,False,primary_delta_tmrt_evidence
