cell_id,b87f2_veg_x_building_density,b87f2_veg_x_building_height,b87f2_veg_x_svf,b87f2_shade_x_building_density,b87f2_tree_building_proxy_strength,b87f2_overhead_x_vegetation_proxy,b87f2_overhead_x_building_density,b87f2_overhead_x_pedestrian_proxy,b87f2_water_x_open_sky_proxy,b87f2_water_x_pedestrian_proxy,b87f2_morphology_density_x_height,b87f2_built_fraction_x_svf_proxy,b87f2_proxy_only_tree_building_flag
TP_0001,0.0,0.0,0.0,0.09322066220829549,0.0,0.0,0.0,0.0,0.0,0.0,3.961200000063912,0.17947763335418415,1
TP_0002,0.0,0.0,0.0,0.2521889895450474,0.0,0.0,0.0,0.0,0.0,0.0,5.744399999954651,0.07642149931605362,1
TP_0003,0.0,0.0,0.0,0.007994414607915274,0.0,0.0,0.0023002752369653445,0.5501763732285093,0.0,0.0,1.96739999999184,0.12518836454822385,1
TP_0005,0.0,0.0,0.0,0.23513195925088318,0.0,0.0,0.0,0.0,0.0,0.0,3.5750399990008943,0.0594964116654287,1
TP_0006,0.0,0.0,0.0,0.24778728935152167,0.0,0.0,0.0,0.0,0.0,0.0,5.932800000059246,0.15056559285737897,1
TP_0010,0.0,0.0,0.0,0.1677460317459585,0.0,0.0,0.0,0.0,0.0,0.0,7.391199999996774,0.09411717092667303,1
TP_0015,0.0,0.0,0.0,0.11863268454197695,0.0,0.0,0.0,0.0,0.0,0.0,5.422400000130984,0.1863574571420347,1
TP_0016,0.0,0.0,0.0,0.11228544600865437,0.0,0.0,0.005336327532129428,4.423754541981155,0.0,0.0,7.973999999947781,0.16598036196322327,1
TP_0018,0.0039004387838443427,0.21064629040143956,0.012624503725227457,0.05891668625894057,0.004392508518223788,0.0013632895408730958,0.0047682643253477595,13.422159801599351,0.0,0.0,0.7367599924112719,0.04415567561654572,1
TP_0020,0.0,0.0,0.0,0.18104325739035468,0.0,0.0,0.0020104217849167,2.1816567334476504,0.019660265275815686,30.525006756414214,13.549840083402207,0.062067659659059686,1
TP_0023,0.0,0.0,0.0,0.076337888198262,0.0,0.0,0.00384618319578718,6.711000314806215,0.0,0.0,2.7695999282657047,0.030535668119173062,1
TP_0024,0.0,0.0,0.0,0.02253258268838948,0.0,0.0,0.00032935257830672167,0.0,0.07804107006954686,0.0,1.2624399673541342,0.01855799577744708,1
TP_0028,0.0,0.0,0.0,0.05984068838343974,0.0,0.0,0.0,0.0,0.0,0.0,4.329599999993619,0.2805435153330466,1
TP_0037,0.0,0.0,0.0,0.24565723722870883,0.0,0.0,0.044169330262482334,17.140483886906896,0.0,0.0,18.305999999892446,0.2017910200970677,1
TP_0040,0.0,0.0,0.0,0.051984998046661304,0.0,0.0,0.0,0.0,0.0,0.0,5.999200000004693,0.0873128599115961,1
TP_0041,0.0,0.0,0.0,0.07490909090900096,0.0,0.0,0.0,0.0,0.0,0.0,3.9439999999952646,0.18128656479721098,1
TP_0042,0.0,0.0,0.0,0.030514285714179124,0.0,0.0,0.0014782590683325057,2.3049926496490176,0.0,0.0,3.284399999988529,0.1880754941479837,1
TP_0045,0.0,0.0,0.0,0.18759543297285297,0.0,0.0,0.007243136258027208,0.0,0.03574917396672099,0.0,2.5451999999928234,0.03349221958882849,1
TP_0049,0.0,0.0,0.0,0.10608361176717107,0.0,0.0,0.0,0.0,0.03164295642979866,9.728630095218156,7.716920020836494,0.17593971003421485,1
TP_0050,0.0014798014927140735,0.21295767488934467,0.0020448804116695225,0.11418784485127273,0.0023469651448645417,8.752827820103487e-05,0.002451887116623062,2.279981095383279,0.0,0.0,5.965479844672797,0.05728224111631258,1
TP_0052,0.0,0.0,0.0,0.10530064198208865,0.0,0.0,0.006454213083653114,9.492137658920655,0.0,0.0,4.256199890533361,0.05092573602746909,1
TP_0053,0.057917766258354375,6.915851559762977,0.055396649232581974,0.15414317443558098,0.10002147055426949,0.007011421582553404,0.011217177016703123,2.7384825924827565,0.00400182192598631,1.0214390991893063,11.064279940053488,0.08862596739587085,1
TP_0056,0.0,0.0,0.0,0.1899198772609973,0.0,0.0,0.0,0.0,0.0,0.0,4.317200000050415,0.12415118659261783,1
TP_0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TP_0060,0.0,0.0,0.0,0.00022775047258983243,0.0,0.0,0.0,0.0,0.17029767199209664,0.0,0.302400000000054,0.0023206556745603898,1
TP_0063,0.0,0.0,0.0,0.16933884639226252,0.0,0.0,0.0042040091835685725,6.982074381325893,0.0,0.0,8.864399999993225,0.02830423614666018,1
TP_0065,0.0,0.0,0.0,0.20278530263633934,0.0,0.0,0.0,0.0,0.0,0.0,3.427199999978741,0.06033815288864221,1
TP_0066,0.0,0.0,0.0,0.11051422770185795,0.0,0.0,0.01866768077424499,20.065747621024475,0.0,0.0,3.530800000019973,0.09818244536998824,1
TP_0067,0.0,0.0,0.0,0.12324672342881655,0.0,0.0,0.0,0.0,0.0,0.0,7.101599999868754,0.02968715985108617,1
TP_0074,0.0,0.0,0.0,0.160933166613601,0.0,0.0,0.017158986625701374,10.94968442649532,0.003531856491273683,2.5259293249244985,11.38400034172854,0.10955192568528681,1
TP_0081,0.0,0.0,0.0,0.2007683654945571,0.0,0.0,0.012311505949659367,12.521705745293426,0.0,0.0,16.901439788205447,0.09799038531133582,1
TP_0082,0.0,0.0,0.0,0.12051611946421145,0.0,0.0,0.00897580502844955,10.884698358880891,0.0,0.0,12.20028012093593,0.026181308205376102,1
TP_0083,0.0,0.0,0.0,0.10744337832317541,0.0,0.0,0.007118234396705218,0.1911863446467072,0.0,0.0,5.766960160009621,0.07319260876536246,1
TP_0085,0.0,0.0,0.0,0.23006003062980057,0.0,0.0,0.0,0.0,0.0,0.0,6.0900000000510675,0.021413291175597173,1
TP_0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TP_0089,0.0,0.0,0.0,0.003658016601123082,0.0,0.0,0.016588055599513773,0.0,0.0,0.0,3.8015999999867165,0.02974181927371553,1
TP_0090,0.0160823933760496,24.178498895261903,0.07449725161186216,0.03942288635473498,0.04722429995317522,0.028264969067729025,0.0072890271598209195,0.0,0.009122825776053795,0.0,6.235200000005664,0.01921150131209059,1
TP_0097,0.0,0.0,0.0,0.12063269178699097,0.0,0.0,0.0,0.0,0.0,0.0,2.5032000000124293,0.05264959324688646,1
TP_0098,0.0,0.0,0.0,0.11533359528432682,0.0,0.0,0.027054736368461313,45.51306342900118,0.003891440861946315,4.241904272589203,7.389599999965053,0.09369658026167994,1
TP_0099,0.004668577036343812,0.7250504564223155,0.04157934147371464,0.02295159461797274,0.0052834198233943745,0.0027173166391797066,0.0010463751852637284,9.126406232693148,0.12716904474260177,124.53765848562826,0.27920000000201567,0.016011233475843982,1
TP_0102,0.0,0.0,0.0,0.00783722943723014,0.0,0.0,0.0027216582621893332,7.784133019175796,0.28455924055710236,40.60535218618216,0.468000000000042,0.01951080799265236,1
TP_0103,0.0,0.0,0.0,0.020504559270490594,0.0,0.0,0.002123304688497023,3.722015332053773,0.38270904348071016,107.42141585367992,2.7029999999965577,0.06497466292383135,1
TP_0104,0.0,0.0,0.0,0.02270562733444158,0.0,0.0,0.0005507723972422293,0.5799813932907316,0.32156690952818034,68.60310168238246,3.6322799316285326,0.08036572060877008,1
TP_0108,0.0013167499999840481,0.13550006824191743,0.0035085088779306522,0.06646636280685202,0.001813222250016419,0.0,0.0,0.0,0.0,0.0,3.4537200002251884,0.08942731498144121,1
TP_0110,0.0,0.0,0.0,0.1539805182974878,0.0,0.0,0.006470785760911574,10.88905071052515,0.0,0.0,4.4538000641110544,0.0033571903527855936,1
TP_0112,0.0,0.0,0.0,0.25933090688365074,0.0,0.0,0.011523978024384974,0.0,0.0,0.0,11.138240112244718,0.02849549863664971,1
TP_0114,0.0,0.0,0.0,0.002751428571459697,0.0,0.0,0.0,0.0,0.02222789517072133,12.38657580733537,0.0720000000008145,0.0016464559689607953,1
TP_0115,0.0,0.0,0.0,0.03897084198934154,0.0,0.0,0.0,0.0,0.1667251270025751,13.435710201173867,2.087999999992024,0.07094875912528549,1
TP_0116,0.0,0.0,0.0,0.01848869480850822,0.0,0.0,0.0,0.0,0.0,0.0,2.6820000000236113,0.13600322934428594,1
TP_0117,0.0,0.0,0.0,0.0007292719167875577,0.0,0.0,0.00108852357263948,14.821936204724798,0.0,0.0,0.143999999999421,0.00365036336588628,1
TP_0119,0.0,0.0,0.0,0.017591640972897202,0.0,0.0,0.0,0.0,0.0,0.0,2.094000091548124,0.03244264020478304,1
TP_0122,0.0,0.0,0.0,0.01564947089965217,0.0,0.0,0.002581899033311281,0.0,0.019967535405791437,0.0,0.300000000003475,0.006079756547431424,1
TP_0123,9.168749999952117e-05,0.318359375,0.006090444962331836,0.0024640181611676093,0.00011460937499940147,0.0,0.0,0.0,0.0745986096153099,0.0,0.044999999999765,0.0008608825271864583,1
TP_0126,0.0,0.0,0.029779677016117733,0.0,0.0,0.0019196806862711315,0.0,0.0,0.003882850356541365,0.0,0.0,0.0,1
TP_0127,7.663098679521115e-05,0.2873662004844126,0.009502967339150598,0.0011497142857048006,8.58267052106365e-05,0.007861535355575667,0.00026262914457470264,13.341733311514405,0.007177608283893519,2.9403177846082267,0.0095999999999208,0.00031746421917855833,1
TP_0133,0.024118432873522385,0.5238076637631339,0.01539129714476631,0.2517774580315535,0.028459750790756414,0.0,0.0,0.0,0.0,0.0,3.729599999970082,0.10958866355307431,1
TP_0135,0.0,0.0,0.0,0.06024844720428945,0.0,0.0,0.028401818399335636,0.0,0.0,0.0,1.6569999999813125,0.0737197167898815,1
TP_0136,0.0,0.0,0.0,0.009588546956261487,0.0,0.0,0.0,0.0,0.0,0.0,0.7136000000004282,0.10640623666728094,1
TP_0139,0.0,0.0,0.0,0.0012291337329604468,0.0,0.0,0.0007505393226434301,0.0,0.05361724954321921,0.0,0.0660000000001065,0.0026317729064723075,1
TP_0141,0.0,0.0,0.0,0.1738619343386557,0.0,0.0,0.002937538823005704,0.0,0.004052224959384265,0.0,6.84839999998829,0.030324578112381914,1
TP_0146,0.0,0.0,0.0,0.1713497174411018,0.0,0.0,0.0,0.0,0.0,0.0,0.9192000000065875,0.020456512947561168,1
TP_0153,0.02887008387706809,2.255475302889096,0.022715474575071618,0.036724721984713736,0.030602288909692178,0.003774042564187989,0.00019276189938274596,0.0,0.0,0.0,0.1152000000003498,0.001160208966910097,1
TP_0154,0.02078384790729083,5.216309282604749,0.02843536101167692,0.020316864767612432,0.022995563043085553,0.02384284849872803,0.0005155893113142702,0.0,0.0,0.0,0.11279999999848572,0.0006149000276441502,1
TP_0159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5259420187967963,59.44886631955357,0.0,0.0,1
TP_0160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018897394037924245,0.0,0.0,0.0,1
TP_0162,0.015670473688442602,0.3098292249439764,0.01595463143277216,0.175972737039252,0.01849115895236227,0.0,0.0,0.0,0.0,0.0,4.096800000043147,0.2109643919687962,1
TP_0165,0.0,0.0,0.0,0.274554208936142,0.0,0.0,0.0,0.0,0.0,0.0,4.344999999957083,0.08728234096098905,1
TP_0166,0.0,0.0,0.0,0.1578928571443018,0.0,0.0,0.0034185275441449177,0.0,0.0,0.0,7.2120001869861525,0.16191926099278575,1
TP_0168,0.0,0.0,0.0,0.01911097079698864,0.0,0.0,0.023010660276049467,0.0,0.0,0.0,4.899960214189812,0.09746194431288187,1
TP_0169,0.0,0.0,3.877692292474247e-05,0.0,0.0,1.2964490802886425e-05,0.0,0.0,0.0,0.0,0.0,0.0,1
TP_0170,0.0,0.0,0.01890168285551385,0.0,0.0,0.008477524875814033,0.0,0.0,0.0,0.0,0.0,0.0,1
TP_0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TP_0183,0.007781838074381683,0.6196311421375504,0.011277843222498878,0.11085501379921209,0.009898498055919051,0.0016826342545919891,0.006307877765057682,0.0,0.0,0.0,2.322880027766052,0.04227850247721079,1
TP_0192,0.025200251314910105,4.055618170408763,0.048909484003578405,0.08389030278588651,0.040060036290952096,0.0,0.0,0.0,0.0,0.0,5.401360037109416,0.06513870912703411,1
TP_0196,0.0,0.0,0.0,0.08017593073572217,0.0,0.0,0.03401103580777068,0.0,0.0,0.0,14.835080308494124,0.17247355421132443,1
TP_0197,0.0,0.0,0.0,0.06428623515909963,0.0,0.0,0.05883130589729471,0.0,0.0,0.0,9.858400085473246,0.1727881972253763,1
TP_0199,0.0,0.0,0.033020781191527834,0.0,0.0,0.07164585070816784,0.0,0.0,0.0,0.0,0.0,0.0,1
TP_0206,0.0,0.0,0.0,0.21386544138318764,0.0,0.0,0.0,0.0,0.0,0.0,2.862000000026186,0.01840486772513623,1
TP_0207,0.0,0.0,0.0,0.04606795366796451,0.0,0.0,0.0,0.0,0.0,0.0,4.641600000001097,0.2832699620847291,1
TP_0208,0.0,0.0,0.0,0.05650549653564361,0.0,0.0,0.0,0.0,0.0,0.0,4.80652017515787,0.10621398945380539,1
TP_0212,0.0,0.0,0.0,0.1314285714287148,0.0,0.0,0.04199234691595866,0.0,0.0,0.0,14.139920172897511,0.40094920470423046,1
TP_0215,0.0,0.0,0.0,0.12647547169825585,0.0,0.0,0.0022983250864099117,0.0,0.0,0.0,4.652479973607542,0.21062251395290904,1
TP_0218,0.0,0.0,0.0,0.15428499339089097,0.0,0.0,0.0,0.0,0.0,0.0,51.2981218319712,0.29330230805376967,1
TP_0221,0.03654920782831007,67.60279100583406,0.03610427719133738,0.04712682329335153,0.11118268909832592,0.011928622089626514,0.0009944672076697715,0.0,0.0002096254437829051,0.0,5.635919915739395,0.0030099469539426812,1
TP_0226,0.0,0.0,0.0,0.06184127555648586,0.0,0.0,0.021910547135997705,28.519435502653547,0.0,0.0,5.202400000030186,0.07989689818763472,1
TP_0227,0.0,0.0,0.0,0.16383106081985516,0.0,0.0,0.002912850569059761,0.0,0.0,0.0,10.023599999968638,0.06457761357504432,1
TP_0230,0.0,0.0,0.0,0.015521555052573716,0.0,0.0,0.0,0.0,0.0,0.0,2.4287999999975254,0.16829185908641878,1
TP_0233,0.0,0.0,0.0,0.05781414141398259,0.0,0.0,0.0,0.0,0.0,0.0,0.721199999998019,0.05862819187793259,1
TP_0234,0.0,0.0,0.0,0.00952060256973595,0.0,0.0,0.0,0.0,0.0,0.0,2.055599999989866,0.12353755118008901,1
TP_0236,0.0,0.0,0.0,0.015251470899519712,0.0,0.0,0.0,0.0,0.0,0.0,2.916000000009335,0.19891246695813405,1
TP_0237,0.0,0.0,0.0,0.01936010543796156,0.0,0.0,0.0,0.0,0.0,0.0,1.2728399993816135,0.05425554019261507,1
TP_0245,0.0,0.0,0.0,0.019973045821736212,0.0,0.0,0.0,0.0,0.0,0.0,1.8270000096939791,0.17542640635630818,1
TP_0248,0.018327405487822857,1.0559327027570884,0.01596457099715851,0.19469163253002253,0.02673262980161287,0.0,0.0,0.0,0.0,0.0,9.126439852735444,0.13798199127639793,1
TP_0254,0.0,0.0,0.0,0.29375294428437737,0.0,0.0,0.02691966571406186,33.22083740528905,0.0,0.0,7.81200000003467,0.04488425495694944,1
TP_0255,0.0,0.0,0.0,0.11846407230676295,0.0,0.0,0.009645931293681083,27.646745400824457,0.0,0.0,4.687199999978513,0.01841618046288945,1
TP_0256,0.0,0.0,0.0,0.25563373493980546,0.0,0.0,0.013043419613102382,0.0,0.0,0.0,9.690800000001762,0.0033645692464986813,1
TP_0257,0.0,0.0,0.0,0.16517212827960095,0.0,0.0,0.027138137992328584,0.0,0.0,0.0,5.1543999999911865,0.08597177315284776,1
TP_0263,0.0,0.0,0.0,0.026168446026061085,0.0,0.0,0.00038448198574387454,0.0,0.0,0.0,1.0499999999985479,0.03403245619369711,1
TP_0276,0.0,0.0,0.0,0.11635153229796615,0.0,0.0,0.0,0.0,0.0,0.0,5.8216401429163005,0.12890121139571084,1
