column_name,role,feature_family,non_null_count,missing_fraction,include_in_any_b87f2_feature_set,drop_reason
row_id,feature,other_patch,3000,0.0,no,categorical_cardinality_gt_limit
cell_id,metadata_or_forbidden,other_patch,3000,0.0,no,direct_cell_id
forcing_day_id,feature,context,3000,0.0,yes,
date,feature,other_patch,3000,0.0,yes,
hour_sgt,feature,context,3000,0.0,yes,
sample_group,metadata_or_forbidden,other_patch,3000,0.0,no,diagnostic_only_metadata
label_source,metadata_or_forbidden,other_patch,3000,0.0,no,diagnostic_only_metadata
protocol_id,metadata_or_forbidden,other_patch,3000,0.0,no,diagnostic_only_metadata
base_tmrt_mean_c,target,other_patch,3000,0.0,no,target_or_tmrt_component
overhead_tmrt_mean_c,target,pedestrian_overhead_patch,3000,0.0,no,target_or_tmrt_component
base_tmrt_median_c,target,other_patch,3000,0.0,no,target_or_tmrt_component
overhead_tmrt_median_c,target,pedestrian_overhead_patch,3000,0.0,no,target_or_tmrt_component
base_tmrt_p90_c,target,other_patch,1500,0.5,no,target_or_tmrt_component
overhead_tmrt_p90_c,target,pedestrian_overhead_patch,1500,0.5,no,target_or_tmrt_component
base_tmrt_p95_c,target,other_patch,3000,0.0,no,target_or_tmrt_component
overhead_tmrt_p95_c,target,pedestrian_overhead_patch,3000,0.0,no,target_or_tmrt_component
base_tmrt_max_c,target,other_patch,3000,0.0,no,target_or_tmrt_component
overhead_tmrt_max_c,target,pedestrian_overhead_patch,3000,0.0,no,target_or_tmrt_component
delta_tmrt_mean_c,target,other_patch,3000,0.0,no,target_or_tmrt_component
delta_tmrt_median_c,target,other_patch,3000,0.0,no,target_or_tmrt_component
delta_tmrt_p50_c,target,other_patch,3000,0.0,no,target_or_tmrt_component
delta_tmrt_p90_c,target,other_patch,3000,0.0,no,target_or_tmrt_component
delta_tmrt_p95_c,target,other_patch,3000,0.0,no,target_or_tmrt_component
delta_tmrt_max_c,target,other_patch,3000,0.0,no,target_or_tmrt_component
within_slice_rank,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:rank
rank_direction,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:rank
extraction_convention_id,feature,other_patch,3000,0.0,no,constant_or_empty
b87d_label_status,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:status
notes,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:note
ped_access_shade_frac,feature,pedestrian_overhead_patch,0,1.0,no,constant_or_empty
ped_access_shade_length_m,feature,pedestrian_overhead_patch,0,1.0,no,constant_or_empty
ped_access_denominator_m,feature,pedestrian_overhead_patch,0,1.0,no,constant_or_empty
ped_access_shade_frac_proxy,feature,pedestrian_overhead_patch,2970,0.01,yes,
ped_access_shade_length_m_proxy,feature,pedestrian_overhead_patch,1250,0.5833333333333334,yes,
ped_access_source_status,metadata_or_forbidden,pedestrian_overhead_patch,2970,0.01,no,forbidden_token:status
ped_access_proxy_method,metadata_or_forbidden,pedestrian_overhead_patch,2970,0.01,no,forbidden_token:method
shade_corridor_continuity_idx,feature,pedestrian_overhead_patch,0,1.0,no,constant_or_empty
max_connected_shade_length_m,feature,other_patch,0,1.0,no,constant_or_empty
shade_gap_count,feature,other_patch,0,1.0,no,constant_or_empty
shade_corridor_source_status,metadata_or_forbidden,pedestrian_overhead_patch,2970,0.01,no,forbidden_token:status
overhead_patch_count,feature,pedestrian_overhead_patch,2970,0.01,yes,
overhead_total_area_m2,feature,pedestrian_overhead_patch,2970,0.01,yes,
overhead_mean_patch_area_m2,feature,pedestrian_overhead_patch,1710,0.43,yes,
overhead_edge_density,feature,pedestrian_overhead_patch,0,1.0,no,constant_or_empty
overhead_total_area_proxy,feature,pedestrian_overhead_patch,0,1.0,no,constant_or_empty
overhead_shape_source_status,metadata_or_forbidden,pedestrian_overhead_patch,2970,0.01,no,forbidden_token:status
sunlit_hot_pocket_proxy_frac,feature,other_patch,2970,0.01,yes,
open_high_svf_low_shade_frac,feature,tree_building_patch,2970,0.01,yes,
hot_pocket_proxy_method,metadata_or_forbidden,other_patch,2970,0.01,no,forbidden_token:method
water_edge_contact_frac,feature,water_edge_patch,2970,0.01,yes,
park_edge_contact_frac,feature,water_edge_patch,2970,0.01,yes,
hardscape_edge_contact_frac,feature,other_patch,2970,0.01,yes,
boundary_edge_source_status,metadata_or_forbidden,other_patch,2970,0.01,no,forbidden_token:status
neighbourhood_shade_mean,feature,other_patch,2970,0.01,yes,
neighbourhood_overhead_frac,feature,pedestrian_overhead_patch,2970,0.01,yes,
neighbourhood_open_frac,feature,other_patch,2970,0.01,yes,
neighbourhood_context_radius_m,feature,other_patch,2970,0.01,no,constant_or_empty
neighbourhood_context_source_status,metadata_or_forbidden,other_patch,2970,0.01,no,forbidden_token:status
tree_building_overlap_proxy,feature,tree_building_patch,2970,0.01,yes,
tree_near_tall_building_frac,feature,tree_building_patch,2970,0.01,yes,
tree_building_interaction_method,metadata_or_forbidden,tree_building_patch,2970,0.01,no,forbidden_token:method
canyon_axis_orientation_deg,feature,other_patch,0,1.0,no,constant_or_empty
height_roughness_iqr_m,feature,tree_building_patch,2970,0.01,yes,
height_asymmetry_idx,feature,tree_building_patch,2970,0.01,yes,
canyon_source_status,metadata_or_forbidden,other_patch,2970,0.01,no,forbidden_token:status
typology_geometry_class,feature,other_patch,2970,0.01,no,categorical_cardinality_gt_limit
typology_shade_interaction,feature,other_patch,2970,0.01,yes,
typology_support_count,feature,other_patch,2970,0.01,yes,
feature_version,metadata_or_forbidden,other_patch,2970,0.01,no,forbidden_token:version
