cell_id,b87f2_tv_any_true_vector_source,b87f2_connected_shade_corridor_explicit_available,b87f2_tree_canopy_true_vector_available,b87f2_feature_geometry_method,b87f2_covered_walkway_count_50m,b87f2_covered_walkway_length_proxy_m_50m,b87f2_covered_walkway_density_proxy_50m,b87f2_overhead_count_50m,b87f2_overhead_area_m2_50m,b87f2_overhead_coverage_fraction_50m,b87f2_pedestrian_path_count_50m,b87f2_pedestrian_path_length_m_50m,b87f2_pedestrian_path_density_50m,b87f2_overhead_x_pedestrian_length_50m,b87f2_water_feature_count_50m,b87f2_water_area_proxy_m2_50m,b87f2_water_fraction_proxy_50m,b87f2_building_vector_count_50m,b87f2_building_vector_area_m2_50m,b87f2_building_vector_density_50m,b87f2_building_vector_mean_height_m_50m,b87f2_covered_walkway_count_100m,b87f2_covered_walkway_length_proxy_m_100m,b87f2_covered_walkway_density_proxy_100m,b87f2_overhead_count_100m,b87f2_overhead_area_m2_100m,b87f2_overhead_coverage_fraction_100m,b87f2_pedestrian_path_count_100m,b87f2_pedestrian_path_length_m_100m,b87f2_pedestrian_path_density_100m,b87f2_overhead_x_pedestrian_length_100m,b87f2_water_feature_count_100m,b87f2_water_area_proxy_m2_100m,b87f2_water_fraction_proxy_100m,b87f2_building_vector_count_100m,b87f2_building_vector_area_m2_100m,b87f2_building_vector_density_100m,b87f2_building_vector_mean_height_m_100m,b87f2_covered_walkway_count_150m,b87f2_covered_walkway_length_proxy_m_150m,b87f2_covered_walkway_density_proxy_150m,b87f2_overhead_count_150m,b87f2_overhead_area_m2_150m,b87f2_overhead_coverage_fraction_150m,b87f2_pedestrian_path_count_150m,b87f2_pedestrian_path_length_m_150m,b87f2_pedestrian_path_density_150m,b87f2_overhead_x_pedestrian_length_150m,b87f2_water_feature_count_150m,b87f2_water_area_proxy_m2_150m,b87f2_water_fraction_proxy_150m,b87f2_building_vector_count_150m,b87f2_building_vector_area_m2_150m,b87f2_building_vector_density_150m,b87f2_building_vector_mean_height_m_150m,b87f2_covered_walkway_count_250m,b87f2_covered_walkway_length_proxy_m_250m,b87f2_covered_walkway_density_proxy_250m,b87f2_overhead_count_250m,b87f2_overhead_area_m2_250m,b87f2_overhead_coverage_fraction_250m,b87f2_pedestrian_path_count_250m,b87f2_pedestrian_path_length_m_250m,b87f2_pedestrian_path_density_250m,b87f2_overhead_x_pedestrian_length_250m,b87f2_water_feature_count_250m,b87f2_water_area_proxy_m2_250m,b87f2_water_fraction_proxy_250m,b87f2_building_vector_count_250m,b87f2_building_vector_area_m2_250m,b87f2_building_vector_density_250m,b87f2_building_vector_mean_height_m_250m,b87f2_nearest_covered_walkway_m,b87f2_nearest_overhead_m,b87f2_nearest_pedestrian_path_m,b87f2_nearest_water_m,b87f2_nearest_building_vector_m,b87f2_overhead_cell_overlap_proxy_fraction,b87f2_water_edge_caveat_flag
TP_0001,1,0,0,centroid_buffer_proxy_no_polygon_overlay,0,0.0,0.0,0,0.0,0.0,3,242.31279408148205,0.030852223161981145,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,7,528.3413581930384,0.016817627759261544,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,12,658.0376005550443,0.009309327721659148,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,2,2404.4400046494566,0.012245712387451547,23,1549.783777548819,0.007892983965456797,18.978206402601025,0,0.0,0.0,0,0.0,0.0,,259.7156758501288,235.92346047268734,39.184818373562756,778.1495803128057,284.32072478582035,0.0,0
TP_0002,1,0,0,centroid_buffer_proxy_no_polygon_overlay,0,0.0,0.0,0,0.0,0.0,3,196.86908795631962,0.02506615079219311,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,4,301.6325357899277,0.009601261813662006,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,11,593.1174790195946,0.008390895877348623,0.0,0,0.0,0.0,0,0.0,0.0,,1,314.03613749815054,0.0015993729149541367,1,462.0542062477507,0.0023532227488234124,24,1288.6276342783135,0.0065629266496066785,3.032427863746224,0,0.0,0.0,2,5730.2505428195,0.02918392636943168,12.5,160.83733259330535,160.83733259330535,22.920980082493728,678.9855730369372,191.81744544879376,0.0,0
TP_0003,1,0,0,centroid_buffer_proxy_no_polygon_overlay,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,1,314.03613749815054,0.009996080718463354,1,462.0542062477507,0.014707642180146327,1,37.40751688745773,0.0011907182442864898,0.5501763732285093,0,0.0,0.0,0,0.0,0.0,,1,314.03613749815054,0.004442702541539268,1,462.0542062477507,0.006536729857842811,8,350.8046849381126,0.00496287108157294,2.293115458306101,0,0.0,0.0,2,5730.2505428195,0.08106646213731021,12.5,2,742.5870685656803,0.0037819648844271436,2,1095.8806028491842,0.005581274079423164,28,1162.706602248434,0.005921616099629456,6.4893842211033625,0,0.0,0.0,3,5825.0400876402855,0.02966668555700476,9.700000000000001,65.46039130015863,65.46039130015863,80.42072022338878,580.1085573646122,108.10386976803075,0.0,0
TP_0005,1,0,0,centroid_buffer_proxy_no_polygon_overlay,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1,94.78954482078552,0.012068979689327027,4.1,0,0.0,0.0,0,0.0,0.0,3,40.29976797517693,0.001282781455741174,0.0,0,0.0,0.0,2,3230.635751724243,0.10283432984326289,8.3,2,742.5870685656803,0.01050545801229762,2,1095.8806028491842,0.015503539109508788,8,154.27423394959143,0.0021825339488704865,2.3917966196269993,0,0.0,0.0,2,3230.635751724243,0.045704146597005724,8.3,6,1147.2268465201373,0.005842778351085025,6,1666.1433129844668,0.008485598213151513,32,863.2251585994209,0.004396369631756261,7.324981863358676,0,0.0,0.0,5,6988.703806817532,0.035593176213125015,34.339999999999996,102.25655037884773,102.25655037884773,70.32933953943136,384.1024217843287,23.678043973226032,0.0,0
TP_0006,1,0,0,centroid_buffer_proxy_no_polygon_overlay,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,4,86.80741722158265,0.0027631659095710805,0.0,0,0.0,0.0,1,94.78954482078552,0.0030172449223317566,4.1,0,0.0,0.0,0,0.0,0.0,10,262.5013941257844,0.0037136350616562134,0.0,0,0.0,0.0,2,676.6847131848335,0.009573130401607795,37.699999999999996,8,1413.9589033547695,0.007201233561526627,8,3989.68724244547,0.02031931027282783,32,883.6380107147004,0.00450033143389228,17.95491490857636,0,0.0,0.0,6,7570.462003290653,0.03855604637801856,40.49999999999999,170.09943111352294,170.09943111352294,65.76032251188626,288.1646618010412,85.80275312497558,0.0,0
TP_0010,1,0,0,centroid_buffer_proxy_no_polygon_overlay,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,4,211.65611769824508,0.00673722347346314,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,21,597.4855399701398,0.008452691298860263,0.0,0,0.0,0.0,1,878.3502748012543,0.012426114488955045,15.0,1,229.31524951602609,0.0011678929755784611,1,2276.418718483108,0.011593705330992141,59,2391.5655558583485,0.01218014335818152,27.727106334372117,2,562.2314453125,0.0028634212378619204,1,878.3502748012543,0.004473401216023816,15.0,243.73862953363107,243.73862953363107,60.26450026015684,153.3765994242611,108.10612325092828,0.0,0
TP_0015,1,0,0,centroid_buffer_proxy_no_polygon_overlay,0,0.0,0.0,0,0.0,0.0,1,58.17274804270303,0.007406784323388453,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,3,243.2255422564902,0.007742109467265417,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,2,269.64567422321693,0.0038147059498641633,14,489.9898782898769,0.006931938772873784,1.8691673040856107,0,0.0,0.0,0,0.0,0.0,,16,1223.7815704746074,0.006232668358585486,23,2746.6325017622653,0.013988484464394352,51,1651.4187780829986,0.008410606772693984,23.10084592142313,0,0.0,0.0,3,3033.1061922311783,0.015447482989319314,62.9,161.61944991208983,144.0250369598826,38.60836083479193,620.0085084253731,152.64279984520516,0.0,0
TP_0016,1,0,0,centroid_buffer_proxy_no_polygon_overlay,0,0.0,0.0,0,0.0,0.0,1,77.256907351448,0.00983665495438043,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,3,467.761366411734,0.014889306730369346,10,297.1095042966731,0.009457289249679647,4.423754541981155,0,0.0,0.0,0,0.0,0.0,,4,401.10113094652496,0.00567442023732347,9,1351.9106027889998,0.019125622671307838,16,440.14598465396404,0.0062267919235313674,8.418066022782966,0,0.0,0.0,1,1052.081706404686,0.01488391147652106,46.1,18,1536.3600976904595,0.007824617725330683,27,3763.2208685247556,0.019165926501513296,52,1954.2986404286337,0.009953161244863605,37.45594410446255,0,0.0,0.0,6,5222.4947944283485,0.02659794757775883,40.49999999999999,128.85904306161578,95.63183786748012,22.971982552758067,572.588827177197,134.40205406495568,0.0,0
TP_0018,1,0,0,centroid_buffer_proxy_no_polygon_overlay,2,291.20836494752325,0.037077800600885565,2,418.8125471306277,0.05332486968379743,0,0.0,0.0,0.0,0,0.0,0.0,1,790.0966056585312,0.10059822424854656,4.1,2,291.20836494752325,0.009269450150221391,6,1282.5294670235949,0.04082418086756382,9,328.77964765886355,0.010465381222583966,13.422159801599351,0,0.0,0.0,2,2005.2632741332054,0.06382951245578761,25.1,4,515.39456509281,0.007291341571308296,11,2068.570133653231,0.02926428105805994,18,740.185605620975,0.010471484261337455,21.660999598022524,0,0.0,0.0,7,7250.696438491344,0.10257637147063983,43.65714285714285,11,1092.4965162790747,0.005564039068047682,18,2870.883073622889,0.014621287430589967,39,1485.0011078897335,0.007563048538162947,21.712628033200335,0,0.0,0.0,31,24839.103997647762,0.1265045178623776,21.13225806451613,20.319392282860516,20.319392282860516,70.492016998873,450.5307907130918,25.889128500678076,0.04188125471306277,0
TP_0020,1,0,0,centroid_buffer_proxy_no_polygon_overlay,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,3,3889.4249482750893,0.49521696504233587,35.733333333333334,1,147.29589060568267,0.0046885738174034935,1,211.94383590837572,0.006746381828535108,2,323.38174578555834,0.01029356066949166,2.1816567334476504,0,0.0,0.0,6,7923.889321446419,0.2522252308042564,30.183333333333337,2,264.221039718613,0.003737963070230868,2,378.33155957785294,0.005352296696398328,16,909.6383346174625,0.012868749989355438,4.868654253290321,0,0.0,0.0,15,14473.962508022785,0.2047646826025416,22.893333333333327,5,782.3488700559828,0.003984470076536594,7,1673.4026988202597,0.008522569961618001,61,2314.0050274088785,0.011785130830451834,19.721269737627946,0,0.0,0.0,54,34981.42416489124,0.17815893031157498,18.48888888888889,89.57181752811474,89.57181752811474,62.67795109711004,397.614968123302,36.18733225106683,0.0,0
